"Relative Time (Process)","StudyAbroadGPT-7B - system/cpu","StudyAbroadGPT-7B - system/cpu__MIN","StudyAbroadGPT-7B - system/cpu__MAX"
"15.409319057","1.1847787739274875","1.1847787739274875","1.1847787739274875"
"25.407394499","1.8356858201585629","1.8356858201585629","1.8356858201585629"
"35.412249392","2.0476819779096793","2.0476819779096793","2.0476819779096793"
"45.407426339","2.16970009875038","2.16970009875038","2.16970009875038"
"55.407273893","2.4234113432012876","2.4234113432012876","2.4234113432012876"
"65.406799258","2.6981407660177497","2.6981407660177497","2.6981407660177497"
"75.407508654","2.968339749326719","2.968339749326719","2.968339749326719"
"85.40686782","3.231491700580149","3.231491700580149","3.231491700580149"
"95.406661462","3.48843000873503","3.48843000873503","3.48843000873503"
"105.407212065","3.7396623018948825","3.7396623018948825","3.7396623018948825"
"115.406679942","3.98510506655004","3.98510506655004","3.98510506655004"
"125.408046368","4.224658890916814","4.224658890916814","4.224658890916814"
"135.406851197","4.458823831348249","4.458823831348249","4.458823831348249"
"145.407377451","4.688319186523643","4.688319186523643","4.688319186523643"
"155.406948153","4.912207711260962","4.912207711260962","4.912207711260962"
"165.407416635","5.131209969946357","5.131209969946357","5.131209969946357"
"175.407582166","5.345490784313938","5.345490784313938","5.345490784313938"
"185.406701456","5.555470637509199","5.555470637509199","5.555470637509199"
"195.407747899","5.761006158977971","5.761006158977971","5.761006158977971"
"205.407425036","5.961994213651559","5.961994213651559","5.961994213651559"
"215.40709581","6.158826753200156","6.158826753200156","6.158826753200156"
"225.406908268","6.352141627504189","6.352141627504189","6.352141627504189"
"235.406995567","6.541285302997269","6.541285302997269","6.541285302997269"
"245.407601286","6.726631190929869","6.726631190929869","6.726631190929869"
"255.407586893","6.908055762326619","6.908055762326619","6.908055762326619"
"265.407730029","7.086153439876137","7.086153439876137","7.086153439876137"
"275.407630295","7.260787361592751","7.260787361592751","7.260787361592751"
"285.406930434","7.430611676541408","7.430611676541408","7.430611676541408"
"295.406946234","7.597188102911967","7.597188102911967","7.597188102911967"
"305.406554567","7.761798460536305","7.761798460536305","7.761798460536305"
"315.407814551","7.923546431208425","7.923546431208425","7.923546431208425"
"325.407587736","8.082301892936318","8.082301892936318","8.082301892936318"
"335.406560692","8.238143636613973","8.238143636613973","8.238143636613973"
"345.407580953","8.390903919164176","8.390903919164176","8.390903919164176"
"355.407113602","8.54136218928855","8.54136218928855","8.54136218928855"
"365.407602518","8.688674666785676","8.688674666785676","8.688674666785676"
"375.406751359","8.8336063438506","8.8336063438506","8.8336063438506"
"385.407284662","8.975758606099511","8.975758606099511","8.975758606099511"
"395.407332602","9.115870908547539","9.115870908547539","9.115870908547539"
"405.4075416","9.253345040422548","9.253345040422548","9.253345040422548"
"415.407119983","9.388254906521542","9.388254906521542","9.388254906521542"
"425.406755469","9.521084125371978","9.521084125371978","9.521084125371978"
"435.406695962","9.651673538394652","9.651673538394652","9.651673538394652"
"445.406754276","9.780080905203597","9.780080905203597","9.780080905203597"
"455.40752628","9.90635448978241","9.90635448978241","9.90635448978241"
"465.40709659","10.030563613285617","10.030563613285617","10.030563613285617"
"475.407295831","10.152742952243555","10.152742952243555","10.152742952243555"
"485.407031251","10.27274913176427","10.27274913176427","10.27274913176427"
"495.407635982","10.391024545241693","10.391024545241693","10.391024545241693"
"505.407477632","10.507426036636941","10.507426036636941","10.507426036636941"
"515.407598583","10.621787466275883","10.621787466275883","10.621787466275883"
"525.408279335","10.734754205058449","10.734754205058449","10.734754205058449"
"535.407875399","10.845571065381312","10.845571065381312","10.845571065381312"
"545.406989494","10.954884156696949","10.954884156696949","10.954884156696949"
"555.407543921","11.0623213799157","11.0623213799157","11.0623213799157"
"565.406664223","11.168519051553101","11.168519051553101","11.168519051553101"
"575.407678778","11.272911573871326","11.272911573871326","11.272911573871326"
"585.406707242","11.375573132225318","11.375573132225318","11.375573132225318"
"595.406893914","11.476886073810444","11.476886073810444","11.476886073810444"
"605.407479185","11.576703068265928","11.576703068265928","11.576703068265928"
"615.406829609","11.675070096925248","11.675070096925248","11.675070096925248"
"625.407258782","11.772000052432311","11.772000052432311","11.772000052432311"
"635.40718766","11.867357243673316","11.867357243673316","11.867357243673316"
"645.407482983","11.961701774543245","11.961701774543245","11.961701774543245"
"655.406947475","12.054359220396146","12.054359220396146","12.054359220396146"
