"Relative Time (Process)","StudyAbroadGPT-7B - system/disk./.usageGB","StudyAbroadGPT-7B - system/disk./.usageGB__MIN","StudyAbroadGPT-7B - system/disk./.usageGB__MAX"
"15.409933545","6178.583854675293","6178.583854675293","6178.583854675293"
"25.407463021","6181.780498504639","6181.780498504639","6181.780498504639"
"35.407340408","6181.802135467529","6181.802135467529","6181.802135467529"
"45.407527843","6181.841045379639","6181.841045379639","6181.841045379639"
"55.407560072","6181.841609954834","6181.841609954834","6181.841609954834"
"65.406816764","6181.841724395752","6181.841724395752","6181.841724395752"
"75.407467672","6181.841728210449","6181.841728210449","6181.841728210449"
"85.40686782","6181.841728210449","6181.841728210449","6181.841728210449"
"95.407189578","6181.841728210449","6181.841728210449","6181.841728210449"
"105.407379742","6181.841728210449","6181.841728210449","6181.841728210449"
"115.406830339","6181.841728210449","6181.841728210449","6181.841728210449"
"125.407713152","6181.8417320251465","6181.8417320251465","6181.8417320251465"
"135.407334682","6181.8417320251465","6181.8417320251465","6181.8417320251465"
"145.407418122","6181.8417320251465","6181.8417320251465","6181.8417320251465"
"155.406999453","6181.8417320251465","6181.8417320251465","6181.8417320251465"
"165.407651091","6181.841735839844","6181.841735839844","6181.841735839844"
"175.407524623","6181.841735839844","6181.841735839844","6181.841735839844"
"185.406805343","6181.841735839844","6181.841735839844","6181.841735839844"
"195.407552974","6181.841735839844","6181.841735839844","6181.841735839844"
"205.407784783","6181.841739654541","6181.841739654541","6181.841739654541"
"215.407192883","6181.841739654541","6181.841739654541","6181.841739654541"
"225.406918625","6181.841739654541","6181.841739654541","6181.841739654541"
"235.406810623","6181.841743469238","6181.841743469238","6181.841743469238"
"245.407628686","6181.841743469238","6181.841743469238","6181.841743469238"
"255.407125782","6181.841743469238","6181.841743469238","6181.841743469238"
"265.407750552","6181.841743469238","6181.841743469238","6181.841743469238"
"275.407750432","6181.841747283936","6181.841747283936","6181.841747283936"
"285.407427436","6181.8418617248535","6181.8418617248535","6181.8418617248535"
"295.407212216","6181.8419761657715","6181.8419761657715","6181.8419761657715"
