"Relative Time (Process)","StudyAbroadGPT-7B - system/gpu.0.gpu","StudyAbroadGPT-7B - system/gpu.0.gpu__MIN","StudyAbroadGPT-7B - system/gpu.0.gpu__MAX"
"15.425162786","0","0","0"
"25.411170905","0","0","0"
"35.41650665","0","0","0"
"45.412082953","18","18","18"
"55.411647896","97","97","97"
"65.410750028","100","100","100"
"75.411987443","100","100","100"
"85.411154126","100","100","100"
"95.413444781","100","100","100"
"105.411745891","100","100","100"
"115.41526759","100","100","100"
"125.41274821","100","100","100"
"135.411143151","100","100","100"
"145.411460307","100","100","100"
"155.411179978","100","100","100"
"165.412856815","100","100","100"
"175.411718585","100","100","100"
"185.417926847","100","100","100"
"195.416734093","100","100","100"
"205.412168924","100","100","100"
"215.412241878","100","100","100"
"225.410963416","100","100","100"
"235.410916983","100","100","100"
"245.412930809","100","100","100"
"255.413412871","100","100","100"
"265.413962464","100","100","100"
"275.411847665","100","100","100"
"285.412324095","100","100","100"
"295.411800343","100","100","100"
"305.410990462","100","100","100"
"315.411803627","100","100","100"
"325.411617658","100","100","100"
"335.411659993","100","100","100"
"345.411543407","100","100","100"
"355.413576806","100","100","100"
"365.413375701","100","100","100"
"375.411880802","100","100","100"
"385.411386865","100","100","100"
"395.411922033","100","100","100"
"405.411579238","100","100","100"
"415.413208171","100","100","100"
"425.411391685","100","100","100"
"435.420564496","100","100","100"
"445.411278326","100","100","100"
"455.41154727","100","100","100"
"465.411873358","100","100","100"
"475.411543309","100","100","100"
"485.411307525","100","100","100"
"495.414186389","100","100","100"
"505.411627115","100","100","100"
"515.411643092","100","100","100"
"525.411536543","100","100","100"
"535.411961667","100","100","100"
"545.414903766","100","100","100"
"555.411574335","100","100","100"
"565.411605238","100","100","100"
"575.411886907","100","100","100"
"585.411148157","100","100","100"
"595.411790811","100","100","100"
"605.412844287","100","100","100"
"615.410959963","100","100","100"
"625.411152162","100","100","100"
"635.41115456","100","100","100"
"645.411396866","100","100","100"
"655.411215965","100","100","100"
"665.411447617","100","100","100"
"675.411708735","100","100","100"
"685.413250269","100","100","100"
"695.415712913","100","100","100"
"705.414790098","100","100","100"
"715.416117331","100","100","100"
"725.41243373","59","59","59"
"735.412204049","100","100","100"
"745.422772159","95","95","95"
"755.41140016","100","100","100"
"765.413200131","100","100","100"
"775.411287526","100","100","100"
"785.413768296","100","100","100"
"795.414209559","100","100","100"
"805.410863026","100","100","100"
"815.418935021","100","100","100"
"825.411161662","100","100","100"
"835.411784927","100","100","100"
"845.411410987","100","100","100"
"855.411450387","100","100","100"
"865.411566001","100","100","100"
"875.411758451","100","100","100"
"885.411256187","100","100","100"
"895.413545923","100","100","100"
"905.414758753","100","100","100"
"915.414766365","100","100","100"
"925.411433485","100","100","100"
"935.416039687","100","100","100"
"945.415146133","100","100","100"
"955.411211883","100","100","100"
"965.410949956","100","100","100"
"975.411458911","100","100","100"
"985.41217042","100","100","100"
"995.410882181","100","100","100"
"1005.416159593","100","100","100"
"1015.417560419","100","100","100"
"1025.41220331","100","100","100"
"1035.412366807","100","100","100"
"1045.411945639","100","100","100"
"1055.411855749","100","100","100"
"1065.411972843","100","100","100"
"1075.414148612","100","100","100"
"1085.412118514","100","100","100"
"1095.411621803","100","100","100"
"1105.411358289","100","100","100"
"1165.411526091","0","0","0"
"1175.411280377","0","0","0"
"1185.411684127","100","100","100"
"1195.411098065","100","100","100"
"1205.411416427","100","100","100"
"1215.414845045","100","100","100"
"1225.416654044","100","100","100"
"1235.421953468","100","100","100"
"1245.412685559","100","100","100"
"1255.411782876","100","100","100"
"1265.417403917","100","100","100"
"1275.412366462","100","100","100"
"1285.412067447","100","100","100"
"1295.412269139","100","100","100"
"1305.414049776","100","100","100"
"1315.412324033","100","100","100"
"1325.411433718","100","100","100"
"1335.411620528","100","100","100"
"1345.42071848","100","100","100"
"1355.411978755","100","100","100"
"1365.411280973","100","100","100"
"1375.411685197","100","100","100"
"1385.412401337","100","100","100"
"1395.413757554","100","100","100"
"1405.415982389","100","100","100"
"1415.414811241","100","100","100"
"1425.411018948","100","100","100"
"1435.417357699","100","100","100"
"1445.412702813","100","100","100"
"1455.411861168","100","100","100"
"1465.411470573","100","100","100"
"1475.416475973","100","100","100"
"1485.411978191","100","100","100"
"1495.411225047","100","100","100"
"1505.411418593","100","100","100"
"1515.412096692","100","100","100"
"1525.411797115","100","100","100"
"1535.41215091","100","100","100"
"1545.411575285","100","100","100"
"1555.413502788","100","100","100"
"1565.411770218","100","100","100"
"1575.411377596","100","100","100"
"1585.413201754","96","96","96"
"1595.41208573","100","100","100"
"1605.411505287","100","100","100"
"1615.41119377","100","100","100"
"1625.414853191","100","100","100"
"1635.411561774","100","100","100"
"1645.411175304","100","100","100"
"1655.414889588","100","100","100"
"1665.412189542","100","100","100"
"1675.411589644","100","100","100"
"1685.411341906","100","100","100"
"1695.41133584","100","100","100"
"1705.411849433","100","100","100"
"1715.411816956","100","100","100"
"1725.411594798","100","100","100"
"1735.411436234","100","100","100"
"1745.412907621","100","100","100"
"1755.412017972","100","100","100"
"1765.412928491","100","100","100"
"1775.411452888","100","100","100"
"1785.41129968","100","100","100"
"1795.411356581","100","100","100"
"1805.41169315","100","100","100"
"1815.412798172","100","100","100"
"1825.411378939","100","100","100"
"1835.411087002","100","100","100"
"1845.415328485","100","100","100"
"1855.412131859","100","100","100"
"1865.411642772","100","100","100"
"1875.411685599","100","100","100"
"1885.415151084","100","100","100"
"1895.410943346","100","100","100"
"1905.411863177","100","100","100"
"1915.414444999","88","88","88"
"1925.411661817","100","100","100"
"1935.411822146","100","100","100"
"1945.410928452","100","100","100"
"1955.411954203","100","100","100"
"1965.411688597","100","100","100"
"1975.411296676","100","100","100"
"1985.411615627","100","100","100"
"1995.411671586","100","100","100"
"2005.411340933","100","100","100"
"2015.411535953","100","100","100"
"2025.419728547","100","100","100"
"2035.416590021","100","100","100"
