"Relative Time (Process)","StudyAbroadGPT-7B - system/gpu.0.memory","StudyAbroadGPT-7B - system/gpu.0.memory__MIN","StudyAbroadGPT-7B - system/gpu.0.memory__MAX"
"15.425162786","0","0","0"
"25.411170905","0","0","0"
"35.41650665","0","0","0"
"45.412082953","2","2","2"
"55.411647896","10","10","10"
"65.410750028","16","16","16"
"75.411987443","10","10","10"
"85.411154126","12","12","12"
"95.413444781","11","11","11"
"105.411745891","12","12","12"
"115.41526759","11","11","11"
"125.41274821","13","13","13"
"135.411143151","10","10","10"
"145.411460307","14","14","14"
"155.411179978","14","14","14"
"165.412856815","10","10","10"
"175.411718585","14","14","14"
"185.417926847","10","10","10"
"195.416734093","11","11","11"
"205.412168924","10","10","10"
"215.412241878","13","13","13"
"225.410963416","10","10","10"
"235.410916983","11","11","11"
"245.412930809","6","6","6"
"255.413412871","10","10","10"
"265.413962464","11","11","11"
"275.411847665","15","15","15"
"285.412324095","10","10","10"
"295.411800343","12","12","12"
"305.410990462","11","11","11"
"315.411803627","10","10","10"
"325.411617658","10","10","10"
"335.411659993","11","11","11"
"345.411543407","11","11","11"
"355.413576806","10","10","10"
"365.413375701","11","11","11"
"375.411880802","9","9","9"
"385.411386865","9","9","9"
"395.411922033","12","12","12"
"405.411579238","12","12","12"
"415.413208171","10","10","10"
"425.411391685","11","11","11"
"435.420564496","11","11","11"
"445.411278326","11","11","11"
"455.41154727","9","9","9"
"465.411873358","13","13","13"
"475.411543309","9","9","9"
"485.411307525","14","14","14"
"495.414186389","11","11","11"
"505.411627115","9","9","9"
"515.411643092","12","12","12"
"525.411536543","10","10","10"
"535.411961667","11","11","11"
"545.414903766","11","11","11"
"555.411574335","11","11","11"
"565.411605238","11","11","11"
"575.411886907","11","11","11"
"585.411148157","12","12","12"
"595.411790811","10","10","10"
"605.412844287","14","14","14"
"615.410959963","9","9","9"
"625.411152162","10","10","10"
"635.41115456","8","8","8"
"645.411396866","9","9","9"
"655.411215965","11","11","11"
"665.411447617","10","10","10"
"675.411708735","10","10","10"
"685.413250269","10","10","10"
"695.415712913","15","15","15"
"705.414790098","11","11","11"
"715.416117331","10","10","10"
"725.41243373","10","10","10"
"735.412204049","11","11","11"
"745.422772159","9","9","9"
"755.41140016","12","12","12"
"765.413200131","9","9","9"
"775.411287526","11","11","11"
"785.413768296","10","10","10"
"795.414209559","11","11","11"
"805.410863026","10","10","10"
"815.418935021","12","12","12"
"825.411161662","10","10","10"
"835.411784927","12","12","12"
"845.411410987","10","10","10"
"855.411450387","12","12","12"
"865.411566001","11","11","11"
"875.411758451","11","11","11"
"885.411256187","9","9","9"
"895.413545923","9","9","9"
"905.414758753","9","9","9"
"915.414766365","13","13","13"
"925.411433485","9","9","9"
"935.416039687","10","10","10"
"945.415146133","9","9","9"
"955.411211883","10","10","10"
"965.410949956","12","12","12"
"975.411458911","13","13","13"
"985.41217042","9","9","9"
"995.410882181","12","12","12"
"1005.416159593","9","9","9"
"1015.417560419","10","10","10"
"1025.41220331","10","10","10"
"1035.412366807","13","13","13"
"1045.411945639","6","6","6"
"1055.411855749","9","9","9"
"1065.411972843","10","10","10"
"1075.414148612","10","10","10"
"1085.412118514","11","11","11"
"1095.411621803","10","10","10"
"1105.411358289","11","11","11"
"1165.411526091","0","0","0"
"1175.411280377","0","0","0"
"1185.411684127","10","10","10"
"1195.411098065","12","12","12"
"1205.411416427","16","16","16"
"1215.414845045","11","11","11"
"1225.416654044","10","10","10"
"1235.421953468","9","9","9"
"1245.412685559","10","10","10"
"1255.411782876","14","14","14"
"1265.417403917","10","10","10"
"1275.412366462","10","10","10"
"1285.412067447","10","10","10"
"1295.412269139","11","11","11"
"1305.414049776","13","13","13"
"1315.412324033","12","12","12"
"1325.411433718","12","12","12"
"1335.411620528","13","13","13"
"1345.42071848","10","10","10"
"1355.411978755","11","11","11"
"1365.411280973","12","12","12"
"1375.411685197","10","10","10"
"1385.412401337","6","6","6"
"1395.413757554","9","9","9"
"1405.415982389","10","10","10"
"1415.414811241","9","9","9"
"1425.411018948","14","14","14"
"1435.417357699","10","10","10"
"1445.412702813","10","10","10"
"1455.411861168","10","10","10"
"1465.411470573","13","13","13"
"1475.416475973","10","10","10"
"1485.411978191","10","10","10"
"1495.411225047","11","11","11"
"1505.411418593","7","7","7"
"1515.412096692","9","9","9"
"1525.411797115","10","10","10"
"1535.41215091","6","6","6"
"1545.411575285","8","8","8"
"1555.413502788","13","13","13"
"1565.411770218","9","9","9"
"1575.411377596","11","11","11"
"1585.413201754","15","15","15"
"1595.41208573","10","10","10"
"1605.411505287","10","10","10"
"1615.41119377","12","12","12"
"1625.414853191","11","11","11"
"1635.411561774","9","9","9"
"1645.411175304","10","10","10"
"1655.414889588","10","10","10"
"1665.412189542","10","10","10"
"1675.411589644","10","10","10"
"1685.411341906","12","12","12"
"1695.41133584","9","9","9"
"1705.411849433","14","14","14"
"1715.411816956","8","8","8"
"1725.411594798","10","10","10"
"1735.411436234","11","11","11"
"1745.412907621","10","10","10"
"1755.412017972","10","10","10"
"1765.412928491","7","7","7"
"1775.411452888","9","9","9"
"1785.41129968","10","10","10"
"1795.411356581","11","11","11"
"1805.41169315","13","13","13"
"1815.412798172","11","11","11"
"1825.411378939","16","16","16"
"1835.411087002","11","11","11"
"1845.415328485","9","9","9"
"1855.412131859","11","11","11"
"1865.411642772","11","11","11"
"1875.411685599","13","13","13"
"1885.415151084","13","13","13"
"1895.410943346","11","11","11"
"1905.411863177","9","9","9"
"1915.414444999","12","12","12"
"1925.411661817","11","11","11"
"1935.411822146","10","10","10"
"1945.410928452","12","12","12"
"1955.411954203","10","10","10"
"1965.411688597","11","11","11"
"1975.411296676","11","11","11"
"1985.411615627","11","11","11"
"1995.411671586","11","11","11"
"2005.411340933","13","13","13"
"2015.411535953","10","10","10"
"2025.419728547","9","9","9"
"2035.416590021","9","9","9"
