"Relative Time (Process)","StudyAbroadGPT-7B - system/gpu.0.memoryAllocatedBytes","StudyAbroadGPT-7B - system/gpu.0.memoryAllocatedBytes__MIN","StudyAbroadGPT-7B - system/gpu.0.memoryAllocatedBytes__MAX"
"15.425162786","430833664","430833664","430833664"
"25.411170905","4602068992","4602068992","4602068992"
"35.41650665","4769841152","4769841152","4769841152"
"45.412082953","4950196224","4950196224","4950196224"
"55.411647896","7563247616","7563247616","7563247616"
"65.410750028","7680688128","7680688128","7680688128"
"75.411987443","7726825472","7726825472","7726825472"
"85.411154126","7731019776","7731019776","7731019776"
"95.413444781","7731019776","7731019776","7731019776"
"105.411745891","7731019776","7731019776","7731019776"
"115.41526759","7731019776","7731019776","7731019776"
"125.41274821","7731019776","7731019776","7731019776"
"135.411143151","7814905856","7814905856","7814905856"
"145.411460307","7814905856","7814905856","7814905856"
"155.411179978","7827488768","7827488768","7827488768"
"165.412856815","7827488768","7827488768","7827488768"
"175.411718585","7827488768","7827488768","7827488768"
"185.417926847","7827488768","7827488768","7827488768"
"195.416734093","7827488768","7827488768","7827488768"
"205.412168924","7827488768","7827488768","7827488768"
"215.412241878","7827488768","7827488768","7827488768"
"225.410963416","7827488768","7827488768","7827488768"
"235.410916983","7827488768","7827488768","7827488768"
"245.412930809","7827488768","7827488768","7827488768"
"255.413412871","7827488768","7827488768","7827488768"
"265.413962464","7827488768","7827488768","7827488768"
"275.411847665","7827488768","7827488768","7827488768"
"285.412324095","7827488768","7827488768","7827488768"
"295.411800343","7827488768","7827488768","7827488768"
"305.410990462","7827488768","7827488768","7827488768"
"315.411803627","7827488768","7827488768","7827488768"
"325.411617658","7827488768","7827488768","7827488768"
"335.411659993","7827488768","7827488768","7827488768"
"345.411543407","7827488768","7827488768","7827488768"
"355.413576806","7827488768","7827488768","7827488768"
"365.413375701","7827488768","7827488768","7827488768"
"375.411880802","7827488768","7827488768","7827488768"
"385.411386865","7827488768","7827488768","7827488768"
"395.411922033","7827488768","7827488768","7827488768"
"405.411579238","7827488768","7827488768","7827488768"
"415.413208171","7827488768","7827488768","7827488768"
"425.411391685","7827488768","7827488768","7827488768"
"435.420564496","7827488768","7827488768","7827488768"
"445.411278326","7827488768","7827488768","7827488768"
"455.41154727","7827488768","7827488768","7827488768"
"465.411873358","7827488768","7827488768","7827488768"
"475.411543309","7827488768","7827488768","7827488768"
