"Relative Time (Process)","StudyAbroadGPT-7B - system/gpu.0.powerWatts","StudyAbroadGPT-7B - system/gpu.0.powerWatts__MIN","StudyAbroadGPT-7B - system/gpu.0.powerWatts__MAX"
"15.425162786","33.106","33.106","33.106"
"25.411170905","33.332","33.332","33.332"
"35.41650665","33.513","33.513","33.513"
"45.412082953","33.332","33.332","33.332"
"55.411647896","167.239","167.239","167.239"
"65.410750028","182.161","182.161","182.161"
"75.411987443","239.257","239.257","239.257"
"85.411154126","155.963","155.963","155.963"
"95.413444781","171.157","171.157","171.157"
"105.411745891","229.864","229.864","229.864"
"115.41526759","184.135","184.135","184.135"
"125.41274821","193.431","193.431","193.431"
"135.411143151","165.497","165.497","165.497"
"145.411460307","191.35","191.35","191.35"
"155.411179978","163.29","163.29","163.29"
"165.412856815","198.957","198.957","198.957"
"175.411718585","255.321","255.321","255.321"
"185.417926847","190.003","190.003","190.003"
"195.416734093","165.309","165.309","165.309"
"205.412168924","235.351","235.351","235.351"
"215.412241878","228.122","228.122","228.122"
"225.410963416","249.28","249.28","249.28"
"235.410916983","252.795","252.795","252.795"
"245.412930809","198.697","198.697","198.697"
"255.413412871","205.598","205.598","205.598"
"265.413962464","185.515","185.515","185.515"
"275.411847665","107.265","107.265","107.265"
"285.412324095","185.987","185.987","185.987"
"295.411800343","168.709","168.709","168.709"
"305.410990462","180.878","180.878","180.878"
"315.411803627","186.337","186.337","186.337"
"325.411617658","224.071","224.071","224.071"
"335.411659993","195.78","195.78","195.78"
"345.411543407","245.653","245.653","245.653"
"355.413576806","178.189","178.189","178.189"
"365.413375701","203.846","203.846","203.846"
"375.411880802","127.622","127.622","127.622"
"385.411386865","171.29","171.29","171.29"
"395.411922033","174.369","174.369","174.369"
"405.411579238","197.347","197.347","197.347"
"415.413208171","186.827","186.827","186.827"
"425.411391685","226.176","226.176","226.176"
"435.420564496","191.343","191.343","191.343"
"445.411278326","142.066","142.066","142.066"
"455.41154727","232.941","232.941","232.941"
"465.411873358","233.13","233.13","233.13"
"475.411543309","178.788","178.788","178.788"
"485.411307525","180.863","180.863","180.863"
"495.414186389","118.683","118.683","118.683"
"505.411627115","159.471","159.471","159.471"
"515.411643092","207.828","207.828","207.828"
"525.411536543","174.614","174.614","174.614"
"535.411961667","183.807","183.807","183.807"
"545.414903766","238.512","238.512","238.512"
"555.411574335","105.245","105.245","105.245"
"565.411605238","171.038","171.038","171.038"
"575.411886907","105.1","105.1","105.1"
"585.411148157","203.624","203.624","203.624"
"595.411790811","187.349","187.349","187.349"
"605.412844287","260.173","260.173","260.173"
"615.410959963","168.673","168.673","168.673"
"625.411152162","191.49","191.49","191.49"
"635.41115456","207.648","207.648","207.648"
"645.411396866","191.111","191.111","191.111"
"655.411215965","187.839","187.839","187.839"
"665.411447617","178.62","178.62","178.62"
"675.411708735","190.039","190.039","190.039"
"685.413250269","176.918","176.918","176.918"
"695.415712913","266.339","266.339","266.339"
"705.414790098","160.776","160.776","160.776"
"715.416117331","174.323","174.323","174.323"
"725.41243373","233.888","233.888","233.888"
"735.412204049","165.634","165.634","165.634"
"745.422772159","185.238","185.238","185.238"
"755.41140016","203.735","203.735","203.735"
"765.413200131","214.374","214.374","214.374"
"775.411287526","199.38","199.38","199.38"
"785.413768296","234.401","234.401","234.401"
"795.414209559","185.604","185.604","185.604"
"805.410863026","185.632","185.632","185.632"
"815.418935021","244.892","244.892","244.892"
"825.411161662","237.39","237.39","237.39"
"835.411784927","229.21","229.21","229.21"
"845.411410987","237.587","237.587","237.587"
"855.411450387","161.971","161.971","161.971"
"865.411566001","231.293","231.293","231.293"
"875.411758451","186.874","186.874","186.874"
"885.411256187","244.632","244.632","244.632"
"895.413545923","173.116","173.116","173.116"
"905.414758753","241.178","241.178","241.178"
"915.414766365","239.313","239.313","239.313"
"925.411433485","158.98","158.98","158.98"
"935.416039687","179.11","179.11","179.11"
"945.415146133","258.246","258.246","258.246"
"955.411211883","233.814","233.814","233.814"
"965.410949956","186.094","186.094","186.094"
"975.411458911","237.939","237.939","237.939"
"985.41217042","218.118","218.118","218.118"
"995.410882181","199.202","199.202","199.202"
"1005.416159593","192.752","192.752","192.752"
"1015.417560419","164.271","164.271","164.271"
"1025.41220331","211.021","211.021","211.021"
"1035.412366807","255.44","255.44","255.44"
"1045.411945639","200.736","200.736","200.736"
"1055.411855749","245.381","245.381","245.381"
"1065.411972843","187.333","187.333","187.333"
"1075.414148612","243.776","243.776","243.776"
"1085.412118514","157.714","157.714","157.714"
"1095.411621803","245.484","245.484","245.484"
"1105.411358289","149.976","149.976","149.976"
"1165.411526091","38.369","38.369","38.369"
"1175.411280377","37.8","37.8","37.8"
"1185.411684127","180.335","180.335","180.335"
"1195.411098065","152.502","152.502","152.502"
"1205.411416427","244.34","244.34","244.34"
"1215.414845045","179.329","179.329","179.329"
"1225.416654044","234.619","234.619","234.619"
"1235.421953468","262.637","262.637","262.637"
"1245.412685559","229.98","229.98","229.98"
"1255.411782876","198.485","198.485","198.485"
"1265.417403917","249.305","249.305","249.305"
"1275.412366462","181.924","181.924","181.924"
"1285.412067447","182.925","182.925","182.925"
"1295.412269139","193.596","193.596","193.596"
"1305.414049776","158.231","158.231","158.231"
"1315.412324033","134.42","134.42","134.42"
"1325.411433718","200.703","200.703","200.703"
"1335.411620528","167.839","167.839","167.839"
"1345.42071848","179.098","179.098","179.098"
"1355.411978755","175.663","175.663","175.663"
"1365.411280973","163.842","163.842","163.842"
"1375.411685197","169.53","169.53","169.53"
"1385.412401337","193.313","193.313","193.313"
"1395.413757554","164.547","164.547","164.547"
"1405.415982389","237.92","237.92","237.92"
"1415.414811241","203.88","203.88","203.88"
"1425.411018948","257.239","257.239","257.239"
"1435.417357699","173.323","173.323","173.323"
"1445.412702813","149.988","149.988","149.988"
"1455.411861168","240.167","240.167","240.167"
"1465.411470573","234.747","234.747","234.747"
"1475.416475973","191.267","191.267","191.267"
"1485.411978191","184.869","184.869","184.869"
"1495.411225047","213.833","213.833","213.833"
"1505.411418593","193.368","193.368","193.368"
"1515.412096692","209.817","209.817","209.817"
"1525.411797115","157.999","157.999","157.999"
"1535.41215091","201.534","201.534","201.534"
"1545.411575285","190.923","190.923","190.923"
