"Relative Time (Process)","StudyAbroadGPT-7B - system/gpu.0.smClock","StudyAbroadGPT-7B - system/gpu.0.smClock__MIN","StudyAbroadGPT-7B - system/gpu.0.smClock__MAX"
"15.425162786","1189","1189","1189"
"25.411170905","1189","1189","1189"
"35.41650665","1189","1189","1189"
"45.412082953","1189","1189","1189"
"55.411647896","1328","1328","1328"
"65.410750028","1328","1328","1328"
"75.411987443","1328","1328","1328"
"85.411154126","1328","1328","1328"
"95.413444781","1290","1290","1290"
"105.411745891","1328","1328","1328"
"115.41526759","1290","1290","1290"
"125.41274821","1290","1290","1290"
"135.411143151","1328","1328","1328"
"145.411460307","1328","1328","1328"
"155.411179978","1328","1328","1328"
"165.412856815","1265","1265","1265"
"175.411718585","1328","1328","1328"
"185.417926847","1278","1278","1278"
"195.416734093","1278","1278","1278"
"205.412168924","1278","1278","1278"
"215.412241878","1328","1328","1328"
"225.410963416","1290","1290","1290"
"235.410916983","1290","1290","1290"
"245.412930809","1328","1328","1328"
"255.413412871","1328","1328","1328"
"265.413962464","1278","1278","1278"
"275.411847665","1328","1328","1328"
"285.412324095","1278","1278","1278"
"295.411800343","1290","1290","1290"
"305.410990462","1303","1303","1303"
"315.411803627","1303","1303","1303"
"325.411617658","1278","1278","1278"
"335.411659993","1303","1303","1303"
"345.411543407","1328","1328","1328"
"355.413576806","1278","1278","1278"
"365.413375701","1278","1278","1278"
"375.411880802","1328","1328","1328"
"385.411386865","1278","1278","1278"
"395.411922033","1278","1278","1278"
"405.411579238","1328","1328","1328"
"415.413208171","1278","1278","1278"
"425.411391685","1303","1303","1303"
"435.420564496","1303","1303","1303"
"445.411278326","1316","1316","1316"
"455.41154727","1278","1278","1278"
"465.411873358","1278","1278","1278"
"475.411543309","1265","1265","1265"
"485.411307525","1252","1252","1252"
"495.414186389","1316","1316","1316"
"505.411627115","1316","1316","1316"
"515.411643092","1278","1278","1278"
"525.411536543","1290","1290","1290"
"535.411961667","1290","1290","1290"
"545.414903766","1316","1316","1316"
"555.411574335","1316","1316","1316"
"565.411605238","1316","1316","1316"
"575.411886907","1328","1328","1328"
"585.411148157","1328","1328","1328"
"595.411790811","1278","1278","1278"
"605.412844287","1290","1290","1290"
"615.410959963","1278","1278","1278"
"625.411152162","1316","1316","1316"
"635.41115456","1328","1328","1328"
"645.411396866","1278","1278","1278"
"655.411215965","1316","1316","1316"
"665.411447617","1316","1316","1316"
"675.411708735","1303","1303","1303"
"685.413250269","1278","1278","1278"
"695.415712913","1278","1278","1278"
"705.414790098","1328","1328","1328"
"715.416117331","1278","1278","1278"
"725.41243373","1290","1290","1290"
"735.412204049","1316","1316","1316"
"745.422772159","1303","1303","1303"
"755.41140016","1278","1278","1278"
"765.413200131","1278","1278","1278"
"775.411287526","1316","1316","1316"
"785.413768296","1265","1265","1265"
"795.414209559","1278","1278","1278"
"805.410863026","1265","1265","1265"
"815.418935021","1278","1278","1278"
"825.411161662","1278","1278","1278"
"835.411784927","1328","1328","1328"
"845.411410987","1278","1278","1278"
"855.411450387","1316","1316","1316"
"865.411566001","1252","1252","1252"
"875.411758451","1316","1316","1316"
"885.411256187","1290","1290","1290"
"895.413545923","1328","1328","1328"
"905.414758753","1265","1265","1265"
"915.414766365","1290","1290","1290"
"925.411433485","1328","1328","1328"
"935.416039687","1316","1316","1316"
"945.415146133","1290","1290","1290"
"955.411211883","1265","1265","1265"
"965.410949956","1303","1303","1303"
"975.411458911","1278","1278","1278"
"985.41217042","1278","1278","1278"
"995.410882181","1278","1278","1278"
"1005.416159593","1265","1265","1265"
"1015.417560419","1316","1316","1316"
"1025.41220331","1278","1278","1278"
"1035.412366807","1316","1316","1316"
"1045.411945639","1328","1328","1328"
"1055.411855749","1278","1278","1278"
"1065.411972843","1316","1316","1316"
"1075.414148612","1278","1278","1278"
"1085.412118514","1328","1328","1328"
"1095.411621803","1290","1290","1290"
"1105.411358289","1316","1316","1316"
"1165.411526091","1189","1189","1189"
"1175.411280377","1189","1189","1189"
"1185.411684127","1316","1316","1316"
"1195.411098065","1328","1328","1328"
"1205.411416427","1328","1328","1328"
"1215.414845045","1316","1316","1316"
"1225.416654044","1278","1278","1278"
"1235.421953468","1278","1278","1278"
"1245.412685559","1265","1265","1265"
"1255.411782876","1328","1328","1328"
"1265.417403917","1290","1290","1290"
"1275.412366462","1290","1290","1290"
"1285.412067447","1278","1278","1278"
"1295.412269139","1303","1303","1303"
"1305.414049776","1328","1328","1328"
"1315.412324033","1290","1290","1290"
"1325.411433718","1328","1328","1328"
"1335.411620528","1328","1328","1328"
"1345.42071848","1303","1303","1303"
"1355.411978755","1303","1303","1303"
"1365.411280973","1328","1328","1328"
"1375.411685197","1328","1328","1328"
"1385.412401337","1328","1328","1328"
"1395.413757554","1252","1252","1252"
"1405.415982389","1278","1278","1278"
"1415.414811241","1278","1278","1278"
"1425.411018948","1328","1328","1328"
"1435.417357699","1265","1265","1265"
"1445.412702813","1328","1328","1328"
"1455.411861168","1290","1290","1290"
"1465.411470573","1278","1278","1278"
"1475.416475973","1278","1278","1278"
"1485.411978191","1316","1316","1316"
"1495.411225047","1278","1278","1278"
"1505.411418593","1328","1328","1328"
"1515.412096692","1328","1328","1328"
"1525.411797115","1316","1316","1316"
"1535.41215091","1328","1328","1328"
"1545.411575285","1328","1328","1328"
"1555.413502788","1278","1278","1278"
"1565.411770218","1278","1278","1278"
"1575.411377596","1303","1303","1303"
"1585.413201754","1328","1328","1328"
"1595.41208573","1316","1316","1316"
"1605.411505287","1278","1278","1278"
"1615.41119377","1328","1328","1328"
"1625.414853191","1316","1316","1316"
"1635.411561774","1278","1278","1278"
"1645.411175304","1328","1328","1328"
"1655.414889588","1316","1316","1316"
"1665.412189542","1316","1316","1316"
"1675.411589644","1278","1278","1278"
"1685.411341906","1278","1278","1278"
"1695.41133584","1278","1278","1278"
"1705.411849433","1328","1328","1328"
"1715.411816956","1328","1328","1328"
"1725.411594798","1328","1328","1328"
"1735.411436234","1316","1316","1316"
"1745.412907621","1316","1316","1316"
"1755.412017972","1316","1316","1316"
"1765.412928491","1328","1328","1328"
"1775.411452888","1278","1278","1278"
"1785.41129968","1265","1265","1265"
"1795.411356581","1278","1278","1278"
"1805.41169315","1290","1290","1290"
"1815.412798172","1316","1316","1316"
"1825.411378939","1328","1328","1328"
"1835.411087002","1278","1278","1278"
"1845.415328485","1252","1252","1252"
"1855.412131859","1303","1303","1303"
"1865.411642772","1316","1316","1316"
"1875.411685599","1278","1278","1278"
"1885.415151084","1278","1278","1278"
"1895.410943346","1290","1290","1290"
"1905.411863177","1316","1316","1316"
"1915.414444999","1278","1278","1278"
"1925.411661817","1316","1316","1316"
"1935.411822146","1278","1278","1278"
"1945.410928452","1328","1328","1328"
"1955.411954203","1278","1278","1278"
"1965.411688597","1290","1290","1290"
"1975.411296676","1316","1316","1316"
"1985.411615627","1316","1316","1316"
"1995.411671586","1278","1278","1278"
"2005.411340933","1278","1278","1278"
"2015.411535953","1278","1278","1278"
"2025.419728547","1328","1328","1328"
"2035.416590021","1278","1278","1278"
"2045.410984659","1316","1316","1316"
"2055.410947966","1290","1290","1290"
"2065.417816842","1303","1303","1303"
"2075.41819205","1278","1278","1278"
"2085.411611926","1290","1290","1290"
"2095.412664482","1328","1328","1328"
"2105.413740336","1278","1278","1278"
"2115.412671575","1316","1316","1316"
"2125.411266492","1278","1278","1278"
"2135.412028954","1290","1290","1290"
"2145.412587752","1252","1252","1252"
"2155.416712195","1278","1278","1278"
"2165.411165136","1328","1328","1328"
"2175.411513244","1303","1303","1303"
"2185.412031306","1328","1328","1328"
"2195.410952215","1328","1328","1328"
"2205.411903602","1328","1328","1328"
"2215.414278402","1328","1328","1328"
"2225.412007559","1328","1328","1328"
"2235.411102679","1316","1316","1316"
"2245.411622578","1278","1278","1278"
"2255.418894774","1328","1328","1328"
"2265.414956628","1278","1278","1278"
"2275.41184301","1278","1278","1278"
"2285.410963977","1328","1328","1328"
"2295.412530662","1278","1278","1278"
"2305.412772184","1290","1290","1290"
"2315.411893112","1316","1316","1316"
"2325.412098662","1278","1278","1278"
"2335.411781539","1278","1278","1278"
"2345.413673703","1328","1328","1328"
"2355.411483871","1328","1328","1328"
"2365.414724332","1290","1290","1290"
