"Relative Time (Process)","StudyAbroadGPT-7B - system/gpu.0.temp","StudyAbroadGPT-7B - system/gpu.0.temp__MIN","StudyAbroadGPT-7B - system/gpu.0.temp__MAX"
"15.425162786","36","36","36"
"25.411170905","36","36","36"
"35.41650665","36","36","36"
"45.412082953","36","36","36"
"55.411647896","46","46","46"
"65.410750028","51","51","51"
"75.411987443","56","56","56"
"85.411154126","59","59","59"
"95.413444781","63","63","63"
"105.411745891","64","64","64"
"115.41526759","68","68","68"
"125.41274821","69","69","69"
"135.411143151","71","71","71"
"145.411460307","73","73","73"
"155.411179978","75","75","75"
"165.412856815","75","75","75"
"175.411718585","73","73","73"
"185.417926847","74","74","74"
"195.416734093","74","74","74"
"205.412168924","74","74","74"
"215.412241878","73","73","73"
"225.410963416","74","74","74"
"235.410916983","73","73","73"
"245.412930809","73","73","73"
"255.413412871","73","73","73"
"265.413962464","74","74","74"
"275.411847665","72","72","72"
"285.412324095","74","74","74"
"295.411800343","73","73","73"
"305.410990462","73","73","73"
"315.411803627","73","73","73"
"325.411617658","74","74","74"
"335.411659993","74","74","74"
"345.411543407","73","73","73"
"355.413576806","73","73","73"
"365.413375701","73","73","73"
"375.411880802","72","72","72"
"385.411386865","73","73","73"
"395.411922033","74","74","74"
"405.411579238","73","73","73"
"415.413208171","74","74","74"
"425.411391685","73","73","73"
"435.420564496","74","74","74"
"445.411278326","72","72","72"
"455.41154727","74","74","74"
"465.411873358","73","73","73"
"475.411543309","73","73","73"
"485.411307525","73","73","73"
"495.414186389","72","72","72"
"505.411627115","73","73","73"
"515.411643092","73","73","73"
"525.411536543","73","73","73"
"535.411961667","73","73","73"
"545.414903766","73","73","73"
"555.411574335","72","72","72"
"565.411605238","73","73","73"
"575.411886907","72","72","72"
"585.411148157","72","72","72"
"595.411790811","73","73","73"
"605.412844287","74","74","74"
"615.410959963","73","73","73"
"625.411152162","73","73","73"
"635.41115456","73","73","73"
"645.411396866","74","74","74"
"655.411215965","73","73","73"
"665.411447617","73","73","73"
"675.411708735","73","73","73"
"685.413250269","73","73","73"
"695.415712913","72","72","72"
"705.414790098","73","73","73"
"715.416117331","73","73","73"
"725.41243373","72","72","72"
"735.412204049","73","73","73"
"745.422772159","73","73","73"
"755.41140016","73","73","73"
"765.413200131","73","73","73"
"775.411287526","73","73","73"
"785.413768296","74","74","74"
"795.414209559","73","73","73"
"805.410863026","73","73","73"
"815.418935021","73","73","73"
"825.411161662","74","74","74"
"835.411784927","72","72","72"
"845.411410987","74","74","74"
"855.411450387","73","73","73"
"865.411566001","74","74","74"
"875.411758451","72","72","72"
"885.411256187","74","74","74"
"895.413545923","73","73","73"
"905.414758753","73","73","73"
"915.414766365","73","73","73"
"925.411433485","73","73","73"
"935.416039687","73","73","73"
"945.415146133","73","73","73"
"955.411211883","73","73","73"
"965.410949956","73","73","73"
"975.411458911","74","74","74"
"985.41217042","73","73","73"
"995.410882181","73","73","73"
"1005.416159593","73","73","73"
"1015.417560419","73","73","73"
"1025.41220331","73","73","73"
"1035.412366807","73","73","73"
"1045.411945639","73","73","73"
"1055.411855749","73","73","73"
"1065.411972843","72","72","72"
"1075.414148612","73","73","73"
"1085.412118514","72","72","72"
"1095.411621803","73","73","73"
"1105.411358289","73","73","73"
"1165.411526091","54","54","54"
"1175.411280377","52","52","52"
"1185.411684127","61","61","61"
"1195.411098065","63","63","63"
"1205.411416427","66","66","66"
"1215.414845045","69","69","69"
"1225.416654044","72","72","72"
"1235.421953468","74","74","74"
"1245.412685559","76","76","76"
"1255.411782876","73","73","73"
"1265.417403917","74","74","74"
"1275.412366462","75","75","75"
"1285.412067447","74","74","74"
"1295.412269139","73","73","73"
"1305.414049776","74","74","74"
"1315.412324033","73","73","73"
"1325.411433718","73","73","73"
"1335.411620528","72","72","72"
"1345.42071848","74","74","74"
"1355.411978755","73","73","73"
"1365.411280973","73","73","73"
"1375.411685197","73","73","73"
"1385.412401337","73","73","73"
"1395.413757554","73","73","73"
"1405.415982389","73","73","73"
"1415.414811241","74","74","74"
"1425.411018948","73","73","73"
"1435.417357699","73","73","73"
"1445.412702813","72","72","72"
"1455.411861168","73","73","73"
"1465.411470573","74","74","74"
"1475.416475973","74","74","74"
