"Relative Time (Process)","StudyAbroadGPT-7B - system/proc.cpu.threads","StudyAbroadGPT-7B - system/proc.cpu.threads__MIN","StudyAbroadGPT-7B - system/proc.cpu.threads__MAX"
"15.409319057","156","156","156"
"25.407394499","25","25","25"
"35.412249392","31","31","31"
"45.407426339","33","33","33"
"55.407273893","43","43","43"
"65.406799258","47","47","47"
"75.407508654","47","47","47"
"85.40686782","29","29","29"
"95.406661462","29","29","29"
"105.407212065","29","29","29"
"115.406679942","29","29","29"
"125.408046368","29","29","29"
"135.406851197","29","29","29"
"145.407377451","29","29","29"
"155.406948153","29","29","29"
"165.407416635","29","29","29"
"175.407582166","29","29","29"
"185.406701456","29","29","29"
"195.407747899","29","29","29"
"205.407425036","29","29","29"
"215.40709581","29","29","29"
"225.406908268","29","29","29"
"235.406995567","29","29","29"
"245.407601286","29","29","29"
"255.407586893","29","29","29"
"265.407730029","29","29","29"
"275.407630295","29","29","29"
"285.406930434","33","33","33"
"295.406946234","37","37","37"
"305.406554567","37","37","37"
"315.407814551","37","37","37"
"325.407587736","37","37","37"
"335.406560692","37","37","37"
"345.407580953","37","37","37"
"355.407113602","37","37","37"
"365.407602518","37","37","37"
"375.406751359","37","37","37"
"385.407284662","37","37","37"
"395.407332602","37","37","37"
"405.4075416","29","29","29"
"415.407119983","29","29","29"
"425.406755469","29","29","29"
"435.406695962","29","29","29"
"445.406754276","29","29","29"
"455.40752628","29","29","29"
"465.40709659","29","29","29"
"475.407295831","29","29","29"
"485.407031251","29","29","29"
"495.407635982","29","29","29"
"505.407477632","29","29","29"
"515.407598583","29","29","29"
"525.408279335","29","29","29"
"535.407875399","29","29","29"
"545.406989494","29","29","29"
"555.407543921","29","29","29"
"565.406664223","29","29","29"
"575.407678778","29","29","29"
"585.406707242","29","29","29"
"595.406893914","29","29","29"
"605.407479185","29","29","29"
"615.406829609","29","29","29"
"625.407258782","29","29","29"
"635.40718766","29","29","29"
"645.407482983","29","29","29"
"655.406947475","29","29","29"
"665.407258661","29","29","29"
"675.406883262","29","29","29"
"685.407735164","29","29","29"
"695.407024694","29","29","29"
"705.407468605","29","29","29"
"715.407174983","29","29","29"
"725.40689199","29","29","29"
"735.407759583","29","29","29"
"745.407005501","29","29","29"
"755.407154412","29","29","29"
"765.407256134","29","29","29"
"775.407330584","29","29","29"
"785.406640528","29","29","29"
"795.407648889","29","29","29"
"805.407042445","29","29","29"
"815.406908113","29","29","29"
"825.407163018","29","29","29"
"835.407661746","29","29","29"
"845.407272162","29","29","29"
"855.407263463","29","29","29"
"865.407378752","29","29","29"
"875.407530549","29","29","29"
"885.406557235","29","29","29"
"895.407416082","29","29","29"
"905.407359831","29","29","29"
"915.40757305","29","29","29"
"925.407246895","29","29","29"
"935.406781487","29","29","29"
"945.407328145","29","29","29"
"955.407170123","29","29","29"
"965.406726156","29","29","29"
"975.407338703","29","29","29"
"985.407317299","29","29","29"
"995.407028255","29","29","29"
"1005.406974091","29","29","29"
"1015.407547787","29","29","29"
"1025.407144881","29","29","29"
"1035.40783205","29","29","29"
"1045.407436372","29","29","29"
"1055.406921782","29","29","29"
"1065.407642133","29","29","29"
"1075.407473264","29","29","29"
"1085.407335801","29","29","29"
"1095.407147751","29","29","29"
"1105.407274325","29","29","29"
"1165.407443364","29","29","29"
"1175.406965273","29","29","29"
"1185.407283812","29","29","29"
"1195.406655547","29","29","29"
"1205.406601237","29","29","29"
"1215.407092711","29","29","29"
"1225.40755636","29","29","29"
"1235.407904764","29","29","29"
"1245.406750119","29","29","29"
"1255.407682162","29","29","29"
"1265.407727124","29","29","29"
"1275.407582108","29","29","29"
"1285.407374816","29","29","29"
"1295.407026239","29","29","29"
"1305.40689143","29","29","29"
"1315.407674752","29","29","29"
"1325.407090782","29","29","29"
"1335.40721436","29","29","29"
"1345.40678851","29","29","29"
"1355.407461611","29","29","29"
"1365.407142289","29","29","29"
"1375.407434475","29","29","29"
"1385.407200579","29","29","29"
"1395.406528546","29","29","29"
"1405.407251113","29","29","29"
"1415.407019278","29","29","29"
"1425.406812084","29","29","29"
"1435.407464305","29","29","29"
"1445.407271576","29","29","29"
"1455.407588278","29","29","29"
"1465.407216689","29","29","29"
"1475.407568102","29","29","29"
"1485.407851261","29","29","29"
"1495.407236759","29","29","29"
"1505.407423235","29","29","29"
"1515.406538986","29","29","29"
"1525.407457162","29","29","29"
"1535.406791811","29","29","29"
"1545.406827291","29","29","29"
"1555.407619018","29","29","29"
"1565.407481756","29","29","29"
"1575.407009172","29","29","29"
"1585.407181842","29","29","29"
"1595.406798895","29","29","29"
"1605.406799216","29","29","29"
"1615.406849491","29","29","29"
"1625.406771271","29","29","29"
"1635.407251923","29","29","29"
"1645.406911912","29","29","29"
"1655.407441184","29","29","29"
"1665.406901195","29","29","29"
"1675.407324952","29","29","29"
"1685.406832206","29","29","29"
"1695.407017059","29","29","29"
"1705.40726496","29","29","29"
"1715.407410851","29","29","29"
"1725.407123697","29","29","29"
"1735.407406999","29","29","29"
"1745.406988437","29","29","29"
"1755.407159628","29","29","29"
"1765.407579525","29","29","29"
"1775.407211818","29","29","29"
"1785.40694868","29","29","29"
"1795.407009513","29","29","29"
"1805.407651764","29","29","29"
"1815.407615506","29","29","29"
"1825.406900865","29","29","29"
"1835.406725007","29","29","29"
"1845.40755822","29","29","29"
"1855.4070174","29","29","29"
"1865.407333135","29","29","29"
"1875.407169593","29","29","29"
"1885.407488849","29","29","29"
"1895.40654132","29","29","29"
"1905.407816051","29","29","29"
"1915.407238066","29","29","29"
"1925.407238184","29","29","29"
"1935.407519925","29","29","29"
"1945.406734905","29","29","29"
"1955.40744448","29","29","29"
"1965.407429548","29","29","29"
"1975.407027345","29","29","29"
"1985.40731373","29","29","29"
"1995.40735582","29","29","29"
"2005.407285555","29","29","29"
"2015.407245198","29","29","29"
"2025.407579567","29","29","29"
"2035.408480885","29","29","29"
"2045.406681118","29","29","29"
"2055.406545536","29","29","29"
"2065.407188843","29","29","29"
"2075.406774868","29","29","29"
"2085.407565037","29","29","29"
"2095.40758501","29","29","29"
"2105.406834256","29","29","29"
"2115.407795037","29","29","29"
"2125.407238551","29","29","29"
"2135.406793941","29","29","29"
"2145.407632152","29","29","29"
"2155.407501983","29","29","29"
"2165.406687888","29","29","29"
"2175.407049128","29","29","29"
"2185.407575224","29","29","29"
"2195.40665812","29","29","29"
"2205.406910286","29","29","29"
"2215.407184226","29","29","29"
"2225.407187857","29","29","29"
"2235.40668544","29","29","29"
"2245.4065579","29","29","29"
"2255.407400866","29","29","29"
"2265.40715787","29","29","29"
"2275.406764789","29","29","29"
"2285.406553","29","29","29"
"2295.407691609","29","29","29"
"2305.407504705","29","29","29"
"2315.406663611","29","29","29"
"2325.407835608","29","29","29"
"2335.407516424","29","29","29"
"2345.407651607","29","29","29"
"2355.407351593","29","29","29"
"2365.407000212","29","29","29"
"2375.406565745","29","29","29"
"2385.406804172","29","29","29"
"2395.406852298","29","29","29"
"2405.407121957","29","29","29"
