"Relative Time (Process)","StudyAbroadGPT-7B - system/proc.memory.rssMB","StudyAbroadGPT-7B - system/proc.memory.rssMB__MIN","StudyAbroadGPT-7B - system/proc.memory.rssMB__MAX"
"15.410223","3017.3359375","3017.3359375","3017.3359375"
"25.406978745","1519.76171875","1519.76171875","1519.76171875"
"35.408453986","1656.390625","1656.390625","1656.390625"
"45.407444348","1874.8984375","1874.8984375","1874.8984375"
"55.406852886","1913.390625","1913.390625","1913.390625"
"65.406193778","1921.52734375","1921.52734375","1921.52734375"
"75.406841306","2852.27734375","2852.27734375","2852.27734375"
"85.406630062","2916.1484375","2916.1484375","2916.1484375"
"95.406276047","3428.2734375","3428.2734375","3428.2734375"
"105.406984127","3428.2734375","3428.2734375","3428.2734375"
"115.406323589","3428.2734375","3428.2734375","3428.2734375"
"125.407373932","3428.2734375","3428.2734375","3428.2734375"
"135.406545723","3497.3984375","3497.3984375","3497.3984375"
"145.406816144","3497.3984375","3497.3984375","3497.3984375"
"155.406371646","3497.3984375","3497.3984375","3497.3984375"
"165.407719157","3497.3984375","3497.3984375","3497.3984375"
"175.407352265","3497.3984375","3497.3984375","3497.3984375"
"185.406600674","3497.3984375","3497.3984375","3497.3984375"
"195.407174218","3497.5234375","3497.5234375","3497.5234375"
"205.407132453","3498.3984375","3498.3984375","3498.3984375"
"215.407198101","3498.3984375","3498.3984375","3498.3984375"
"225.406682956","3498.3984375","3498.3984375","3498.3984375"
"235.406366898","3498.3984375","3498.3984375","3498.3984375"
"245.407034068","3498.3984375","3498.3984375","3498.3984375"
"255.406765561","3498.3984375","3498.3984375","3498.3984375"
"265.407298952","3498.3984375","3498.3984375","3498.3984375"
"275.407474001","3498.3984375","3498.3984375","3498.3984375"
"285.406517297","3505.3046875","3505.3046875","3505.3046875"
"295.406588472","3505.4296875","3505.4296875","3505.4296875"
"305.40654223","3505.4296875","3505.4296875","3505.4296875"
"315.406970831","3505.4296875","3505.4296875","3505.4296875"
"325.407017059","3505.4296875","3505.4296875","3505.4296875"
"335.406449192","3505.4296875","3505.4296875","3505.4296875"
"345.406837925","3505.4296875","3505.4296875","3505.4296875"
"355.406969622","3506.1796875","3506.1796875","3506.1796875"
"365.407736436","3506.3046875","3506.3046875","3506.3046875"
"375.40674994","3506.3046875","3506.3046875","3506.3046875"
"385.406797822","3506.3046875","3506.3046875","3506.3046875"
"395.40666899","3506.3046875","3506.3046875","3506.3046875"
"405.406911127","3506.3046875","3506.3046875","3506.3046875"
"415.406829961","3507.1796875","3507.1796875","3507.1796875"
"425.406391218","3507.1796875","3507.1796875","3507.1796875"
"435.406634428","3507.1796875","3507.1796875","3507.1796875"
"445.40653001","3507.1796875","3507.1796875","3507.1796875"
"455.40693328","3507.1796875","3507.1796875","3507.1796875"
"465.406943913","3507.1796875","3507.1796875","3507.1796875"
"475.406865378","3507.1796875","3507.1796875","3507.1796875"
"485.406918766","3507.1796875","3507.1796875","3507.1796875"
"495.407262296","3507.1796875","3507.1796875","3507.1796875"
"505.406943247","3507.8046875","3507.8046875","3507.8046875"
"515.407224082","3507.8046875","3507.8046875","3507.8046875"
"525.407274668","3507.8046875","3507.8046875","3507.8046875"
"535.407225197","3507.8046875","3507.8046875","3507.8046875"
"545.406800546","3507.8046875","3507.8046875","3507.8046875"
"555.407052496","3507.8046875","3507.8046875","3507.8046875"
"565.406496763","3507.9296875","3507.9296875","3507.9296875"
"575.407560477","3507.9296875","3507.9296875","3507.9296875"
"585.406663318","3508.0546875","3508.0546875","3508.0546875"
"595.406153217","3508.0546875","3508.0546875","3508.0546875"
"605.406846308","3508.0546875","3508.0546875","3508.0546875"
"615.406435529","3508.0546875","3508.0546875","3508.0546875"
"625.406670399","3508.0546875","3508.0546875","3508.0546875"
"635.406716948","3508.1796875","3508.1796875","3508.1796875"
"645.407051165","3508.3046875","3508.3046875","3508.3046875"
"655.406543738","3508.3046875","3508.3046875","3508.3046875"
"665.40724907","3508.3046875","3508.3046875","3508.3046875"
"675.406472865","3508.3046875","3508.3046875","3508.3046875"
"685.406938564","3508.3046875","3508.3046875","3508.3046875"
"695.406439409","3508.3046875","3508.3046875","3508.3046875"
"705.406338057","3508.3046875","3508.3046875","3508.3046875"
"715.407088469","3508.3046875","3508.3046875","3508.3046875"
"725.406659741","3508.6796875","3508.6796875","3508.6796875"
"735.407219713","3508.6796875","3508.6796875","3508.6796875"
"745.406637883","3508.6796875","3508.6796875","3508.6796875"
"755.406736055","3508.6796875","3508.6796875","3508.6796875"
"765.406980472","3508.6796875","3508.6796875","3508.6796875"
"775.406787535","3508.6796875","3508.6796875","3508.6796875"
"785.40627104","3508.6796875","3508.6796875","3508.6796875"
"795.407027841","3508.6796875","3508.6796875","3508.6796875"
"805.406485018","3508.9296875","3508.9296875","3508.9296875"
"815.40643358","3508.9296875","3508.9296875","3508.9296875"
"825.406628695","3508.9296875","3508.9296875","3508.9296875"
"835.407164717","3508.9296875","3508.9296875","3508.9296875"
"845.406837488","3508.9296875","3508.9296875","3508.9296875"
"855.406438134","3508.9296875","3508.9296875","3508.9296875"
"865.407693807","3508.9296875","3508.9296875","3508.9296875"
"875.407288439","3508.9296875","3508.9296875","3508.9296875"
"885.406562885","3509.5546875","3509.5546875","3509.5546875"
"895.407135077","3509.5546875","3509.5546875","3509.5546875"
"905.407176129","3509.5546875","3509.5546875","3509.5546875"
"915.407488517","3509.5546875","3509.5546875","3509.5546875"
"925.406861125","3509.5546875","3509.5546875","3509.5546875"
"935.406588446","3509.5546875","3509.5546875","3509.5546875"
"945.406650735","3509.5546875","3509.5546875","3509.5546875"
"955.406705215","3510.0546875","3510.0546875","3510.0546875"
"965.40658359","3510.0546875","3510.0546875","3510.0546875"
"975.406971255","3510.0546875","3510.0546875","3510.0546875"
"985.407023141","3510.0546875","3510.0546875","3510.0546875"
"995.40634297","3510.0546875","3510.0546875","3510.0546875"
"1005.406452494","3510.0546875","3510.0546875","3510.0546875"
"1015.406707104","3510.0546875","3510.0546875","3510.0546875"
"1025.406630375","3510.4296875","3510.4296875","3510.4296875"
"1035.407237457","3510.4296875","3510.4296875","3510.4296875"
"1045.407124184","3510.4296875","3510.4296875","3510.4296875"
"1055.406556757","3510.4296875","3510.4296875","3510.4296875"
"1065.407643991","3510.4296875","3510.4296875","3510.4296875"
"1075.406824846","3510.4296875","3510.4296875","3510.4296875"
"1085.407209019","3510.4296875","3510.4296875","3510.4296875"
"1095.406933599","3510.8046875","3510.8046875","3510.8046875"
"1105.406703227","3510.8046875","3510.8046875","3510.8046875"
"1165.407112572","3510.8046875","3510.8046875","3510.8046875"
"1175.406875112","3602.109375","3602.109375","3602.109375"
"1185.407041055","3642.8671875","3642.8671875","3642.8671875"
"1195.406370629","3642.8671875","3642.8671875","3642.8671875"
"1205.40636543","3642.8671875","3642.8671875","3642.8671875"
"1215.406963807","3642.8671875","3642.8671875","3642.8671875"
"1225.406948283","3642.8671875","3642.8671875","3642.8671875"
"1235.407162393","3642.8671875","3642.8671875","3642.8671875"
"1245.406384636","3642.8671875","3642.8671875","3642.8671875"
"1255.407235222","3642.8671875","3642.8671875","3642.8671875"
"1265.407148214","3643.9921875","3643.9921875","3643.9921875"
"1275.406935624","3643.9921875","3643.9921875","3643.9921875"
"1285.406939078","3643.9921875","3643.9921875","3643.9921875"
"1295.406679097","3643.9921875","3643.9921875","3643.9921875"
"1305.406353942","3643.9921875","3643.9921875","3643.9921875"
"1315.406936973","3643.9921875","3643.9921875","3643.9921875"
"1325.406898518","3643.9921875","3643.9921875","3643.9921875"
"1335.406882415","3643.9921875","3643.9921875","3643.9921875"
"1345.40700003","3644.8671875","3644.8671875","3644.8671875"
"1355.40734328","3644.8671875","3644.8671875","3644.8671875"
"1365.406790409","3644.8671875","3644.8671875","3644.8671875"
"1375.406868093","3644.8671875","3644.8671875","3644.8671875"
"1385.407082038","3644.8671875","3644.8671875","3644.8671875"
"1395.406320693","3644.8671875","3644.8671875","3644.8671875"
"1405.406725011","3644.8671875","3644.8671875","3644.8671875"
"1415.406640711","3645.4921875","3645.4921875","3645.4921875"
