"train/global_step","StudyAbroadGPT-7B - _step","StudyAbroadGPT-7B - _step__MIN","StudyAbroadGPT-7B - _step__MAX","StudyAbroadGPT-7B - train/epoch","StudyAbroadGPT-7B - train/epoch__MIN","StudyAbroadGPT-7B - train/epoch__MAX"
"1","7","0","14","0.003518029903254178","0.003518029903254178","0.003518029903254178"
"2","8","1","15","0.007036059806508356","0.007036059806508356","0.007036059806508356"
"3","9","2","16","0.010554089709762533","0.010554089709762533","0.010554089709762533"
"4","10","3","17","0.014072119613016711","0.014072119613016711","0.014072119613016711"
"5","11","4","18","0.01759014951627089","0.01759014951627089","0.01759014951627089"
"6","12","5","19","0.021108179419525065","0.021108179419525065","0.021108179419525065"
"7","13","6","20","0.024626209322779244","0.024626209322779244","0.024626209322779244"
"8","14","7","21","0.028144239226033423","0.028144239226033423","0.028144239226033423"
"9","15","8","22","0.0316622691292876","0.0316622691292876","0.0316622691292876"
"10","16","9","23","0.03518029903254178","0.03518029903254178","0.03518029903254178"
"11","17","10","24","0.03869832893579595","0.03869832893579595","0.03869832893579595"
"12","18","11","25","0.04221635883905013","0.04221635883905013","0.04221635883905013"
"13","19","12","26","0.04573438874230431","0.04573438874230431","0.04573438874230431"
"14","20","13","27","0.04925241864555849","0.04925241864555849","0.04925241864555849"
"15","28","28","28","0.052770448548812667","0.052770448548812667","0.052770448548812667"
"16","29","29","29","0.056288478452066845","0.056288478452066845","0.056288478452066845"
"17","30","30","30","0.05980650835532102","0.05980650835532102","0.05980650835532102"
"18","31","31","31","0.0633245382585752","0.0633245382585752","0.0633245382585752"
"19","32","32","32","0.06684256816182937","0.06684256816182937","0.06684256816182937"
"20","33","33","33","0.07036059806508356","0.07036059806508356","0.07036059806508356"
"21","34","34","34","0.07387862796833773","0.07387862796833773","0.07387862796833773"
"22","35","35","35","0.0773966578715919","0.0773966578715919","0.0773966578715919"
"23","36","36","36","0.08091468777484609","0.08091468777484609","0.08091468777484609"
"24","37","37","37","0.08443271767810026","0.08443271767810026","0.08443271767810026"
"25","38","38","38","0.08795074758135445","0.08795074758135445","0.08795074758135445"
"26","39","39","39","0.09146877748460862","0.09146877748460862","0.09146877748460862"
"27","40","40","40","0.09498680738786279","0.09498680738786279","0.09498680738786279"
"28","41","41","41","0.09850483729111698","0.09850483729111698","0.09850483729111698"
"29","42","42","42","0.10202286719437115","0.10202286719437115","0.10202286719437115"
"30","43","43","43","0.10554089709762533","0.10554089709762533","0.10554089709762533"
"31","44","44","44","0.1090589270008795","0.1090589270008795","0.1090589270008795"
"32","45","45","45","0.11257695690413369","0.11257695690413369","0.11257695690413369"
"33","46","46","46","0.11609498680738786","0.11609498680738786","0.11609498680738786"
"34","47","47","47","0.11961301671064203","0.11961301671064203","0.11961301671064203"
"35","48","48","48","0.12313104661389622","0.12313104661389622","0.12313104661389622"
"36","49","49","49","0.1266490765171504","0.1266490765171504","0.1266490765171504"
"37","50","50","50","0.13016710642040458","0.13016710642040458","0.13016710642040458"
"38","51","51","51","0.13368513632365875","0.13368513632365875","0.13368513632365875"
"39","52","52","52","0.13720316622691292","0.13720316622691292","0.13720316622691292"
"40","53","53","53","0.14072119613016712","0.14072119613016712","0.14072119613016712"
"41","54","54","54","0.1442392260334213","0.1442392260334213","0.1442392260334213"
"42","55","55","55","0.14775725593667546","0.14775725593667546","0.14775725593667546"
"43","56","56","56","0.15127528583992964","0.15127528583992964","0.15127528583992964"
"44","57","57","57","0.1547933157431838","0.1547933157431838","0.1547933157431838"
"45","58","58","58","0.158311345646438","0.158311345646438","0.158311345646438"
"46","59","59","59","0.16182937554969218","0.16182937554969218","0.16182937554969218"
"47","60","60","60","0.16534740545294635","0.16534740545294635","0.16534740545294635"
"48","61","61","61","0.16886543535620052","0.16886543535620052","0.16886543535620052"
"49","62","62","62","0.1723834652594547","0.1723834652594547","0.1723834652594547"
"50","63","63","63","0.1759014951627089","0.1759014951627089","0.1759014951627089"
"51","64","64","64","0.17941952506596306","0.17941952506596306","0.17941952506596306"
"52","65","65","65","0.18293755496921724","0.18293755496921724","0.18293755496921724"
"53","66","66","66","0.1864555848724714","0.1864555848724714","0.1864555848724714"
"54","67","67","67","0.18997361477572558","0.18997361477572558","0.18997361477572558"
"55","68","68","68","0.19349164467897978","0.19349164467897978","0.19349164467897978"
"56","69","69","69","0.19700967458223395","0.19700967458223395","0.19700967458223395"
"57","70","70","70","0.20052770448548812","0.20052770448548812","0.20052770448548812"
"58","71","71","71","0.2040457343887423","0.2040457343887423","0.2040457343887423"
"59","72","72","72","0.2075637642919965","0.2075637642919965","0.2075637642919965"
"60","73","73","73","0.21108179419525067","0.21108179419525067","0.21108179419525067"
"61","74","74","74","0.21459982409850484","0.21459982409850484","0.21459982409850484"
"62","75","75","75","0.218117854001759","0.218117854001759","0.218117854001759"
"63","76","76","76","0.22163588390501318","0.22163588390501318","0.22163588390501318"
"64","77","77","77","0.22515391380826738","0.22515391380826738","0.22515391380826738"
"65","78","78","78","0.22867194371152155","0.22867194371152155","0.22867194371152155"
"66","79","79","79","0.23218997361477572","0.23218997361477572","0.23218997361477572"
"67","80","80","80","0.2357080035180299","0.2357080035180299","0.2357080035180299"
"68","81","81","81","0.23922603342128407","0.23922603342128407","0.23922603342128407"
"69","82","82","82","0.24274406332453827","0.24274406332453827","0.24274406332453827"
"70","83","83","83","0.24626209322779244","0.24626209322779244","0.24626209322779244"
"71","84","84","84","0.2497801231310466","0.2497801231310466","0.2497801231310466"
"72","85","85","85","0.2532981530343008","0.2532981530343008","0.2532981530343008"
"73","86","86","86","0.256816182937555","0.256816182937555","0.256816182937555"
"74","87","87","87","0.26033421284080915","0.26033421284080915","0.26033421284080915"
"75","88","88","88","0.2638522427440633","0.2638522427440633","0.2638522427440633"
"76","89","89","89","0.2673702726473175","0.2673702726473175","0.2673702726473175"
"77","90","90","90","0.27088830255057167","0.27088830255057167","0.27088830255057167"
"78","91","91","91","0.27440633245382584","0.27440633245382584","0.27440633245382584"
"79","92","92","92","0.27792436235708","0.27792436235708","0.27792436235708"
"80","93","93","93","0.28144239226033424","0.28144239226033424","0.28144239226033424"
"81","94","94","94","0.2849604221635884","0.2849604221635884","0.2849604221635884"
"82","95","95","95","0.2884784520668426","0.2884784520668426","0.2884784520668426"
"83","96","96","96","0.29199648197009676","0.29199648197009676","0.29199648197009676"
"84","97","97","97","0.2955145118733509","0.2955145118733509","0.2955145118733509"
"85","98","98","98","0.2990325417766051","0.2990325417766051","0.2990325417766051"
"86","99","99","99","0.30255057167985927","0.30255057167985927","0.30255057167985927"
"87","100","100","100","0.30606860158311344","0.30606860158311344","0.30606860158311344"
"88","101","101","101","0.3095866314863676","0.3095866314863676","0.3095866314863676"
"89","102","102","102","0.3131046613896218","0.3131046613896218","0.3131046613896218"
"90","103","103","103","0.316622691292876","0.316622691292876","0.316622691292876"
"91","104","104","104","0.3201407211961302","0.3201407211961302","0.3201407211961302"
"92","105","105","105","0.32365875109938436","0.32365875109938436","0.32365875109938436"
"93","106","106","106","0.32717678100263853","0.32717678100263853","0.32717678100263853"
"94","107","107","107","0.3306948109058927","0.3306948109058927","0.3306948109058927"
"95","108","108","108","0.33421284080914687","0.33421284080914687","0.33421284080914687"
"96","109","109","109","0.33773087071240104","0.33773087071240104","0.33773087071240104"
"97","110","110","110","0.3412489006156552","0.3412489006156552","0.3412489006156552"
"98","111","111","111","0.3447669305189094","0.3447669305189094","0.3447669305189094"
"99","112","112","112","0.3482849604221636","0.3482849604221636","0.3482849604221636"
"100","113","113","113","0.3518029903254178","0.3518029903254178","0.3518029903254178"
"101","114","114","114","0.35532102022867196","0.35532102022867196","0.35532102022867196"
"102","115","115","115","0.35883905013192613","0.35883905013192613","0.35883905013192613"
"103","116","116","116","0.3623570800351803","0.3623570800351803","0.3623570800351803"
"104","117","117","117","0.3658751099384345","0.3658751099384345","0.3658751099384345"
"105","118","118","118","0.36939313984168864","0.36939313984168864","0.36939313984168864"
"106","119","119","119","0.3729111697449428","0.3729111697449428","0.3729111697449428"
"107","120","120","120","0.376429199648197","0.376429199648197","0.376429199648197"
"108","121","121","121","0.37994722955145116","0.37994722955145116","0.37994722955145116"
"109","122","122","122","0.3834652594547054","0.3834652594547054","0.3834652594547054"
"110","123","123","123","0.38698328935795956","0.38698328935795956","0.38698328935795956"
"111","124","124","124","0.39050131926121373","0.39050131926121373","0.39050131926121373"
"112","125","125","125","0.3940193491644679","0.3940193491644679","0.3940193491644679"
"113","126","126","126","0.3975373790677221","0.3975373790677221","0.3975373790677221"
"114","127","127","127","0.40105540897097625","0.40105540897097625","0.40105540897097625"
"115","128","128","128","0.4045734388742304","0.4045734388742304","0.4045734388742304"
"116","129","129","129","0.4080914687774846","0.4080914687774846","0.4080914687774846"
"117","130","130","130","0.41160949868073876","0.41160949868073876","0.41160949868073876"
"118","131","131","131","0.415127528583993","0.415127528583993","0.415127528583993"
"119","132","132","132","0.41864555848724716","0.41864555848724716","0.41864555848724716"
"120","133","133","133","0.42216358839050133","0.42216358839050133","0.42216358839050133"
"121","134","134","134","0.4256816182937555","0.4256816182937555","0.4256816182937555"
"122","135","135","135","0.4291996481970097","0.4291996481970097","0.4291996481970097"
"123","136","136","136","0.43271767810026385","0.43271767810026385","0.43271767810026385"
"124","137","137","137","0.436235708003518","0.436235708003518","0.436235708003518"
"125","138","138","138","0.4397537379067722","0.4397537379067722","0.4397537379067722"
"126","139","139","139","0.44327176781002636","0.44327176781002636","0.44327176781002636"
"127","140","140","140","0.4467897977132806","0.4467897977132806","0.4467897977132806"
"128","141","141","141","0.45030782761653476","0.45030782761653476","0.45030782761653476"
"129","142","142","142","0.45382585751978893","0.45382585751978893","0.45382585751978893"
"130","143","143","143","0.4573438874230431","0.4573438874230431","0.4573438874230431"
"131","144","144","144","0.4608619173262973","0.4608619173262973","0.4608619173262973"
"132","145","145","145","0.46437994722955145","0.46437994722955145","0.46437994722955145"
"133","146","146","146","0.4678979771328056","0.4678979771328056","0.4678979771328056"
"134","147","147","147","0.4714160070360598","0.4714160070360598","0.4714160070360598"
"135","148","148","148","0.47493403693931396","0.47493403693931396","0.47493403693931396"
"136","149","149","149","0.47845206684256814","0.47845206684256814","0.47845206684256814"
"137","150","150","150","0.48197009674582236","0.48197009674582236","0.48197009674582236"
"138","151","151","151","0.48548812664907653","0.48548812664907653","0.48548812664907653"
"139","152","152","152","0.4890061565523307","0.4890061565523307","0.4890061565523307"
"140","153","153","153","0.4925241864555849","0.4925241864555849","0.4925241864555849"
"141","154","154","154","0.49604221635883905","0.49604221635883905","0.49604221635883905"
"142","155","155","155","0.4995602462620932","0.4995602462620932","0.4995602462620932"
"143","156","156","156","0.5030782761653474","0.5030782761653474","0.5030782761653474"
"144","157","157","157","0.5065963060686016","0.5065963060686016","0.5065963060686016"
"145","158","158","158","0.5101143359718557","0.5101143359718557","0.5101143359718557"
"146","159","159","159","0.51363236587511","0.51363236587511","0.51363236587511"
"147","160","160","160","0.5171503957783641","0.5171503957783641","0.5171503957783641"
"148","161","161","161","0.5206684256816183","0.5206684256816183","0.5206684256816183"
"149","162","162","162","0.5241864555848724","0.5241864555848724","0.5241864555848724"
"150","163","163","163","0.5277044854881267","0.5277044854881267","0.5277044854881267"
