"train/global_step","StudyAbroadGPT-7B - _step","StudyAbroadGPT-7B - _step__MIN","StudyAbroadGPT-7B - _step__MAX","StudyAbroadGPT-7B - train/grad_norm","StudyAbroadGPT-7B - train/grad_norm__MIN","StudyAbroadGPT-7B - train/grad_norm__MAX"
"1","7","0","14","1.557644248008728","1.557644248008728","1.557644248008728"
"2","8","1","15","1.4894485473632812","1.4894485473632812","1.4894485473632812"
"3","9","2","16","1.428961157798767","1.3749606609344482","1.482961654663086"
"4","10","3","17","1.120409905910492","1.0325018167495728","1.2083179950714111"
"5","11","4","18","1.0553398728370667","0.9241454601287842","1.1865342855453491"
"6","12","5","19","0.8168593049049377","0.7581767439842224","0.8755418658256531"
"7","13","6","20","0.8950877487659454","0.8572646975517273","0.9329107999801636"
"8","14","7","21","0.9748648703098297","0.9554272294044495","0.99430251121521"
"9","15","8","22","0.8670850992202759","0.8127714991569519","0.9213986992835999"
"10","16","9","23","0.8442668616771698","0.7822088003158569","0.9063249230384827"
"11","17","10","24","0.8344703018665314","0.8122364282608032","0.8567041754722595"
"12","18","11","25","0.8136290609836578","0.7470362186431885","0.8802219033241272"
"13","19","12","26","0.7740791141986847","0.7313244342803955","0.8168337941169739"
"14","20","13","27","0.791819155216217","0.7242323160171509","0.8594059944152832"
"15","28","28","28","0.6897559762001038","0.6897559762001038","0.6897559762001038"
"16","29","29","29","0.6567963361740112","0.6567963361740112","0.6567963361740112"
"17","30","30","30","0.6604495048522949","0.6604495048522949","0.6604495048522949"
"18","31","31","31","0.6884754300117493","0.6884754300117493","0.6884754300117493"
"19","32","32","32","0.6067829132080078","0.6067829132080078","0.6067829132080078"
"20","33","33","33","0.5963581800460815","0.5963581800460815","0.5963581800460815"
"21","34","34","34","0.6352139115333557","0.6352139115333557","0.6352139115333557"
"22","35","35","35","0.6096919775009155","0.6096919775009155","0.6096919775009155"
"23","36","36","36","0.5911939740180969","0.5911939740180969","0.5911939740180969"
"24","37","37","37","0.5796844363212585","0.5796844363212585","0.5796844363212585"
"25","38","38","38","0.5849902033805847","0.5849902033805847","0.5849902033805847"
"26","39","39","39","0.5631422996520996","0.5631422996520996","0.5631422996520996"
"27","40","40","40","0.5562703013420105","0.5562703013420105","0.5562703013420105"
"28","41","41","41","0.6125953197479248","0.6125953197479248","0.6125953197479248"
"29","42","42","42","0.6125074625015259","0.6125074625015259","0.6125074625015259"
"30","43","43","43","0.572424590587616","0.572424590587616","0.572424590587616"
"31","44","44","44","0.552297055721283","0.552297055721283","0.552297055721283"
"32","45","45","45","0.5058383941650391","0.5058383941650391","0.5058383941650391"
"33","46","46","46","0.587838351726532","0.587838351726532","0.587838351726532"
"34","47","47","47","0.5807651281356812","0.5807651281356812","0.5807651281356812"
"35","48","48","48","0.5564947724342346","0.5564947724342346","0.5564947724342346"
"36","49","49","49","0.5246258974075317","0.5246258974075317","0.5246258974075317"
"37","50","50","50","0.5911756157875061","0.5911756157875061","0.5911756157875061"
"38","51","51","51","0.5598081946372986","0.5598081946372986","0.5598081946372986"
"39","52","52","52","0.5855889916419983","0.5855889916419983","0.5855889916419983"
"40","53","53","53","0.6057890057563782","0.6057890057563782","0.6057890057563782"
"41","54","54","54","0.5883784294128418","0.5883784294128418","0.5883784294128418"
"42","55","55","55","0.5465368628501892","0.5465368628501892","0.5465368628501892"
"43","56","56","56","0.5964597463607788","0.5964597463607788","0.5964597463607788"
"44","57","57","57","0.5857060551643372","0.5857060551643372","0.5857060551643372"
"45","58","58","58","0.5631182789802551","0.5631182789802551","0.5631182789802551"
"46","59","59","59","0.5231839418411255","0.5231839418411255","0.5231839418411255"
"47","60","60","60","0.5770462155342102","0.5770462155342102","0.5770462155342102"
"48","61","61","61","0.5948058366775513","0.5948058366775513","0.5948058366775513"
"49","62","62","62","0.5083545446395874","0.5083545446395874","0.5083545446395874"
"50","63","63","63","0.5497408509254456","0.5497408509254456","0.5497408509254456"
"51","64","64","64","0.529080331325531","0.529080331325531","0.529080331325531"
"52","65","65","65","0.501160204410553","0.501160204410553","0.501160204410553"
"53","66","66","66","0.5262587070465088","0.5262587070465088","0.5262587070465088"
"54","67","67","67","0.5483552813529968","0.5483552813529968","0.5483552813529968"
"55","68","68","68","0.547465443611145","0.547465443611145","0.547465443611145"
"56","69","69","69","0.6022886633872986","0.6022886633872986","0.6022886633872986"
"57","70","70","70","0.5121559500694275","0.5121559500694275","0.5121559500694275"
"58","71","71","71","0.5605424642562866","0.5605424642562866","0.5605424642562866"
"59","72","72","72","0.5398627519607544","0.5398627519607544","0.5398627519607544"
"60","73","73","73","0.5177125334739685","0.5177125334739685","0.5177125334739685"
"61","74","74","74","0.5332472324371338","0.5332472324371338","0.5332472324371338"
"62","75","75","75","0.5223137736320496","0.5223137736320496","0.5223137736320496"
"63","76","76","76","0.5099045634269714","0.5099045634269714","0.5099045634269714"
"64","77","77","77","0.5863269567489624","0.5863269567489624","0.5863269567489624"
"65","78","78","78","0.5305584073066711","0.5305584073066711","0.5305584073066711"
"66","79","79","79","0.47938472032546997","0.47938472032546997","0.47938472032546997"
"67","80","80","80","0.5070054531097412","0.5070054531097412","0.5070054531097412"
"68","81","81","81","0.4787367880344391","0.4787367880344391","0.4787367880344391"
"69","82","82","82","0.5171422958374023","0.5171422958374023","0.5171422958374023"
"70","83","83","83","0.5152197480201721","0.5152197480201721","0.5152197480201721"
"71","84","84","84","0.515794038772583","0.515794038772583","0.515794038772583"
"72","85","85","85","0.49034205079078674","0.49034205079078674","0.49034205079078674"
"73","86","86","86","0.5193750858306885","0.5193750858306885","0.5193750858306885"
"74","87","87","87","0.5058956146240234","0.5058956146240234","0.5058956146240234"
"75","88","88","88","0.5732362866401672","0.5732362866401672","0.5732362866401672"
"76","89","89","89","0.4990178644657135","0.4990178644657135","0.4990178644657135"
"77","90","90","90","0.5433014035224915","0.5433014035224915","0.5433014035224915"
"78","91","91","91","0.5061022043228149","0.5061022043228149","0.5061022043228149"
"79","92","92","92","0.5003442764282227","0.5003442764282227","0.5003442764282227"
"80","93","93","93","0.5401962399482727","0.5401962399482727","0.5401962399482727"
"81","94","94","94","0.5008741617202759","0.5008741617202759","0.5008741617202759"
"82","95","95","95","0.4884384870529175","0.4884384870529175","0.4884384870529175"
"83","96","96","96","0.5726686120033264","0.5726686120033264","0.5726686120033264"
"84","97","97","97","0.552787721157074","0.552787721157074","0.552787721157074"
"85","98","98","98","0.596614420413971","0.596614420413971","0.596614420413971"
"86","99","99","99","0.5015057325363159","0.5015057325363159","0.5015057325363159"
"87","100","100","100","0.5337561368942261","0.5337561368942261","0.5337561368942261"
"88","101","101","101","0.5217593908309937","0.5217593908309937","0.5217593908309937"
"89","102","102","102","0.47924062609672546","0.47924062609672546","0.47924062609672546"
"90","103","103","103","0.5082795023918152","0.5082795023918152","0.5082795023918152"
"91","104","104","104","0.4939118027687073","0.4939118027687073","0.4939118027687073"
"92","105","105","105","0.54289311170578","0.54289311170578","0.54289311170578"
"93","106","106","106","0.5175712704658508","0.5175712704658508","0.5175712704658508"
"94","107","107","107","0.5261497497558594","0.5261497497558594","0.5261497497558594"
"95","108","108","108","0.4846266806125641","0.4846266806125641","0.4846266806125641"
"96","109","109","109","0.5028946995735168","0.5028946995735168","0.5028946995735168"
"97","110","110","110","0.48604992032051086","0.48604992032051086","0.48604992032051086"
"98","111","111","111","0.4654301106929779","0.4654301106929779","0.4654301106929779"
"99","112","112","112","0.515728771686554","0.515728771686554","0.515728771686554"
"100","113","113","113","0.4953519403934479","0.4953519403934479","0.4953519403934479"
"101","114","114","114","0.5159247517585754","0.5159247517585754","0.5159247517585754"
"102","115","115","115","0.5331733226776123","0.5331733226776123","0.5331733226776123"
"103","116","116","116","0.5340971946716309","0.5340971946716309","0.5340971946716309"
"104","117","117","117","0.5182144641876221","0.5182144641876221","0.5182144641876221"
"105","118","118","118","0.4821819067001343","0.4821819067001343","0.4821819067001343"
"106","119","119","119","0.517341673374176","0.517341673374176","0.517341673374176"
"107","120","120","120","0.4964575171470642","0.4964575171470642","0.4964575171470642"
"108","121","121","121","0.4806160032749176","0.4806160032749176","0.4806160032749176"
"109","122","122","122","0.483639121055603","0.483639121055603","0.483639121055603"
"110","123","123","123","0.46949827671051025","0.46949827671051025","0.46949827671051025"
"111","124","124","124","0.5072451233863831","0.5072451233863831","0.5072451233863831"
"112","125","125","125","0.49871617555618286","0.49871617555618286","0.49871617555618286"
"113","126","126","126","0.5014030337333679","0.5014030337333679","0.5014030337333679"
"114","127","127","127","0.4878425598144531","0.4878425598144531","0.4878425598144531"
"115","128","128","128","0.48184773325920105","0.48184773325920105","0.48184773325920105"
"116","129","129","129","0.478135347366333","0.478135347366333","0.478135347366333"
"117","130","130","130","0.4894113838672638","0.4894113838672638","0.4894113838672638"
"118","131","131","131","0.48495790362358093","0.48495790362358093","0.48495790362358093"
"119","132","132","132","0.4527789056301117","0.4527789056301117","0.4527789056301117"
"120","133","133","133","0.48615360260009766","0.48615360260009766","0.48615360260009766"
"121","134","134","134","0.49065491557121277","0.49065491557121277","0.49065491557121277"
"122","135","135","135","0.473994642496109","0.473994642496109","0.473994642496109"
"123","136","136","136","0.5356849431991577","0.5356849431991577","0.5356849431991577"
"124","137","137","137","0.5019087791442871","0.5019087791442871","0.5019087791442871"
"125","138","138","138","0.4487576186656952","0.4487576186656952","0.4487576186656952"
"126","139","139","139","0.5339496731758118","0.5339496731758118","0.5339496731758118"
