"train/global_step","StudyAbroadGPT-7B - _step","StudyAbroadGPT-7B - _step__MIN","StudyAbroadGPT-7B - _step__MAX","StudyAbroadGPT-7B - train/learning_rate","StudyAbroadGPT-7B - train/learning_rate__MIN","StudyAbroadGPT-7B - train/learning_rate__MAX"
"1","7","0","14","0.000016666666666666667","0.000011111111111111112","0.000022222222222222223"
"2","8","1","15","0.000033333333333333335","0.000022222222222222223","0.000044444444444444447"
"3","9","2","16","0.00005","0.000033333333333333335","0.00006666666666666667"
"4","10","3","17","0.00006666666666666667","0.000044444444444444447","0.00008888888888888889"
"5","11","4","18","0.00008333333333333334","0.00005555555555555556","0.00011111111111111112"
"6","12","5","19","0.0001","0.00006666666666666667","0.00013333333333333334"
"7","13","6","20","0.00011666666666666667","0.00007777777777777778","0.00015555555555555556"
"8","14","7","21","0.00013333333333333334","0.00008888888888888889","0.00017777777777777779"
"9","15","8","22","0.00015000000000000001","0.0001","0.0002"
"10","16","9","23","0.0001551919191919192","0.00011111111111111112","0.00019927272727272727"
"11","17","10","24","0.0001603838383838384","0.00012222222222222224","0.00019854545454545456"
"12","18","11","25","0.0001655757575757576","0.00013333333333333334","0.00019781818181818184"
"13","19","12","26","0.00017076767676767678","0.00014444444444444444","0.0001970909090909091"
"14","20","13","27","0.00017595959595959596","0.00015555555555555556","0.00019636363636363636"
"15","28","28","28","0.00019563636363636365","0.00019563636363636365","0.00019563636363636365"
"16","29","29","29","0.0001949090909090909","0.0001949090909090909","0.0001949090909090909"
"17","30","30","30","0.0001941818181818182","0.0001941818181818182","0.0001941818181818182"
"18","31","31","31","0.00019345454545454546","0.00019345454545454546","0.00019345454545454546"
"19","32","32","32","0.00019272727272727274","0.00019272727272727274","0.00019272727272727274"
"20","33","33","33","0.000192","0.000192","0.000192"
"21","34","34","34","0.0001912727272727273","0.0001912727272727273","0.0001912727272727273"
"22","35","35","35","0.00019054545454545455","0.00019054545454545455","0.00019054545454545455"
"23","36","36","36","0.00018981818181818184","0.00018981818181818184","0.00018981818181818184"
"24","37","37","37","0.0001890909090909091","0.0001890909090909091","0.0001890909090909091"
"25","38","38","38","0.00018836363636363636","0.00018836363636363636","0.00018836363636363636"
"26","39","39","39","0.00018763636363636365","0.00018763636363636365","0.00018763636363636365"
"27","40","40","40","0.00018690909090909093","0.00018690909090909093","0.00018690909090909093"
"28","41","41","41","0.0001861818181818182","0.0001861818181818182","0.0001861818181818182"
"29","42","42","42","0.00018545454545454545","0.00018545454545454545","0.00018545454545454545"
"30","43","43","43","0.0001847272727272727","0.0001847272727272727","0.0001847272727272727"
"31","44","44","44","0.00018400000000000003","0.00018400000000000003","0.00018400000000000003"
"32","45","45","45","0.0001832727272727273","0.0001832727272727273","0.0001832727272727273"
"33","46","46","46","0.00018254545454545455","0.00018254545454545455","0.00018254545454545455"
"34","47","47","47","0.00018181818181818183","0.00018181818181818183","0.00018181818181818183"
"35","48","48","48","0.0001810909090909091","0.0001810909090909091","0.0001810909090909091"
"36","49","49","49","0.00018036363636363638","0.00018036363636363638","0.00018036363636363638"
"37","50","50","50","0.00017963636363636364","0.00017963636363636364","0.00017963636363636364"
"38","51","51","51","0.00017890909090909093","0.00017890909090909093","0.00017890909090909093"
"39","52","52","52","0.0001781818181818182","0.0001781818181818182","0.0001781818181818182"
"40","53","53","53","0.00017745454545454548","0.00017745454545454548","0.00017745454545454548"
"41","54","54","54","0.00017672727272727274","0.00017672727272727274","0.00017672727272727274"
"42","55","55","55","0.00017600000000000002","0.00017600000000000002","0.00017600000000000002"
"43","56","56","56","0.00017527272727272728","0.00017527272727272728","0.00017527272727272728"
"44","57","57","57","0.00017454545454545454","0.00017454545454545454","0.00017454545454545454"
"45","58","58","58","0.00017381818181818183","0.00017381818181818183","0.00017381818181818183"
"46","59","59","59","0.00017309090909090912","0.00017309090909090912","0.00017309090909090912"
"47","60","60","60","0.00017236363636363638","0.00017236363636363638","0.00017236363636363638"
"48","61","61","61","0.00017163636363636364","0.00017163636363636364","0.00017163636363636364"
"49","62","62","62","0.0001709090909090909","0.0001709090909090909","0.0001709090909090909"
"50","63","63","63","0.0001701818181818182","0.0001701818181818182","0.0001701818181818182"
