"train/global_step","StudyAbroadGPT-7B - _step","StudyAbroadGPT-7B - _step__MIN","StudyAbroadGPT-7B - _step__MAX","StudyAbroadGPT-7B - train/loss","StudyAbroadGPT-7B - train/loss__MIN","StudyAbroadGPT-7B - train/loss__MAX"
"1","7","0","14","1.0125","1.0125","1.0125"
"2","8","1","15","0.9972","0.9972","0.9972"
"3","9","2","16","1.01395","1.0057","1.0222"
"4","10","3","17","0.9017999999999999","0.8851","0.9185"
"5","11","4","18","0.87685","0.8516","0.9021"
"6","12","5","19","0.8039499999999999","0.7805","0.8274"
"7","13","6","20","0.833","0.812","0.854"
"8","14","7","21","0.8819","0.8479","0.9159"
"9","15","8","22","0.7928","0.7575","0.8281"
"10","16","9","23","0.75105","0.7099","0.7922"
"11","17","10","24","0.7294499999999999","0.7025","0.7564"
"12","18","11","25","0.6926","0.6632","0.722"
"13","19","12","26","0.68005","0.6567","0.7034"
"14","20","13","27","0.6738","0.6555","0.6921"
"15","28","28","28","0.6313","0.6313","0.6313"
"16","29","29","29","0.6085","0.6085","0.6085"
"17","30","30","30","0.6341","0.6341","0.6341"
"18","31","31","31","0.5996","0.5996","0.5996"
"19","32","32","32","0.6404","0.6404","0.6404"
"20","33","33","33","0.6158","0.6158","0.6158"
"21","34","34","34","0.6467","0.6467","0.6467"
"22","35","35","35","0.6","0.6","0.6"
"23","36","36","36","0.6055","0.6055","0.6055"
"24","37","37","37","0.6147","0.6147","0.6147"
"25","38","38","38","0.607","0.607","0.607"
"26","39","39","39","0.5701","0.5701","0.5701"
"27","40","40","40","0.563","0.563","0.563"
"28","41","41","41","0.6194","0.6194","0.6194"
"29","42","42","42","0.5813","0.5813","0.5813"
"30","43","43","43","0.5714","0.5714","0.5714"
"31","44","44","44","0.6052","0.6052","0.6052"
"32","45","45","45","0.5292","0.5292","0.5292"
"33","46","46","46","0.597","0.597","0.597"
"34","47","47","47","0.5849","0.5849","0.5849"
"35","48","48","48","0.5525","0.5525","0.5525"
"36","49","49","49","0.5632","0.5632","0.5632"
"37","50","50","50","0.516","0.516","0.516"
"38","51","51","51","0.5324","0.5324","0.5324"
"39","52","52","52","0.5936","0.5936","0.5936"
"40","53","53","53","0.6018","0.6018","0.6018"
"41","54","54","54","0.5684","0.5684","0.5684"
"42","55","55","55","0.5763","0.5763","0.5763"
"43","56","56","56","0.5821","0.5821","0.5821"
"44","57","57","57","0.5907","0.5907","0.5907"
"45","58","58","58","0.5522","0.5522","0.5522"
"46","59","59","59","0.5745","0.5745","0.5745"
"47","60","60","60","0.5754","0.5754","0.5754"
"48","61","61","61","0.5752","0.5752","0.5752"
"49","62","62","62","0.5346","0.5346","0.5346"
"50","63","63","63","0.5512","0.5512","0.5512"
"51","64","64","64","0.5657","0.5657","0.5657"
"52","65","65","65","0.5382","0.5382","0.5382"
"53","66","66","66","0.5467","0.5467","0.5467"
"54","67","67","67","0.5218","0.5218","0.5218"
"55","68","68","68","0.5206","0.5206","0.5206"
"56","69","69","69","0.5429","0.5429","0.5429"
"57","70","70","70","0.5274","0.5274","0.5274"
"58","71","71","71","0.5426","0.5426","0.5426"
"59","72","72","72","0.5354","0.5354","0.5354"
"60","73","73","73","0.5349","0.5349","0.5349"
"61","74","74","74","0.5364","0.5364","0.5364"
"62","75","75","75","0.5404","0.5404","0.5404"
"63","76","76","76","0.5183","0.5183","0.5183"
"64","77","77","77","0.542","0.542","0.542"
"65","78","78","78","0.4927","0.4927","0.4927"
"66","79","79","79","0.4882","0.4882","0.4882"
"67","80","80","80","0.5362","0.5362","0.5362"
"68","81","81","81","0.5327","0.5327","0.5327"
"69","82","82","82","0.5302","0.5302","0.5302"
"70","83","83","83","0.53","0.53","0.53"
"71","84","84","84","0.5471","0.5471","0.5471"
"72","85","85","85","0.5197","0.5197","0.5197"
"73","86","86","86","0.5376","0.5376","0.5376"
"74","87","87","87","0.5303","0.5303","0.5303"
"75","88","88","88","0.533","0.533","0.533"
"76","89","89","89","0.5254","0.5254","0.5254"
"77","90","90","90","0.5555","0.5555","0.5555"
"78","91","91","91","0.5329","0.5329","0.5329"
"79","92","92","92","0.4856","0.4856","0.4856"
"80","93","93","93","0.5581","0.5581","0.5581"
"81","94","94","94","0.5404","0.5404","0.5404"
"82","95","95","95","0.5033","0.5033","0.5033"
"83","96","96","96","0.5218","0.5218","0.5218"
"84","97","97","97","0.5433","0.5433","0.5433"
"85","98","98","98","0.5217","0.5217","0.5217"
"86","99","99","99","0.51","0.51","0.51"
"87","100","100","100","0.5289","0.5289","0.5289"
"88","101","101","101","0.5006","0.5006","0.5006"
"89","102","102","102","0.4945","0.4945","0.4945"
"90","103","103","103","0.5243","0.5243","0.5243"
"91","104","104","104","0.497","0.497","0.497"
"92","105","105","105","0.5517","0.5517","0.5517"
"93","106","106","106","0.518","0.518","0.518"
"94","107","107","107","0.4864","0.4864","0.4864"
"95","108","108","108","0.5074","0.5074","0.5074"
"96","109","109","109","0.5118","0.5118","0.5118"
"97","110","110","110","0.5323","0.5323","0.5323"
"98","111","111","111","0.5068","0.5068","0.5068"
"99","112","112","112","0.4947","0.4947","0.4947"
"100","113","113","113","0.5089","0.5089","0.5089"
"101","114","114","114","0.5226","0.5226","0.5226"
"102","115","115","115","0.517","0.517","0.517"
"103","116","116","116","0.5277","0.5277","0.5277"
"104","117","117","117","0.5178","0.5178","0.5178"
"105","118","118","118","0.4779","0.4779","0.4779"
"106","119","119","119","0.5066","0.5066","0.5066"
"107","120","120","120","0.5278","0.5278","0.5278"
"108","121","121","121","0.521","0.521","0.521"
"109","122","122","122","0.4793","0.4793","0.4793"
"110","123","123","123","0.4836","0.4836","0.4836"
"111","124","124","124","0.504","0.504","0.504"
"112","125","125","125","0.4558","0.4558","0.4558"
"113","126","126","126","0.5364","0.5364","0.5364"
"114","127","127","127","0.4966","0.4966","0.4966"
"115","128","128","128","0.5414","0.5414","0.5414"
"116","129","129","129","0.4872","0.4872","0.4872"
"117","130","130","130","0.5208","0.5208","0.5208"
"118","131","131","131","0.5056","0.5056","0.5056"
"119","132","132","132","0.4774","0.4774","0.4774"
"120","133","133","133","0.5078","0.5078","0.5078"
"121","134","134","134","0.5024","0.5024","0.5024"
"122","135","135","135","0.4845","0.4845","0.4845"
"123","136","136","136","0.5057","0.5057","0.5057"
"124","137","137","137","0.5312","0.5312","0.5312"
"125","138","138","138","0.4534","0.4534","0.4534"
"126","139","139","139","0.5339","0.5339","0.5339"
"127","140","140","140","0.5168","0.5168","0.5168"
"128","141","141","141","0.5166","0.5166","0.5166"
"129","142","142","142","0.4796","0.4796","0.4796"
"130","143","143","143","0.5242","0.5242","0.5242"
"131","144","144","144","0.5107","0.5107","0.5107"
"132","145","145","145","0.5103","0.5103","0.5103"
"133","146","146","146","0.5083","0.5083","0.5083"
"134","147","147","147","0.4986","0.4986","0.4986"
"135","148","148","148","0.4787","0.4787","0.4787"
"136","149","149","149","0.5236","0.5236","0.5236"
"137","150","150","150","0.5436","0.5436","0.5436"
"138","151","151","151","0.5434","0.5434","0.5434"
"139","152","152","152","0.4868","0.4868","0.4868"
"140","153","153","153","0.5249","0.5249","0.5249"
"141","154","154","154","0.481","0.481","0.481"
"142","155","155","155","0.4961","0.4961","0.4961"
"143","156","156","156","0.4492","0.4492","0.4492"
"144","157","157","157","0.4965","0.4965","0.4965"
"145","158","158","158","0.5118","0.5118","0.5118"
"146","159","159","159","0.5413","0.5413","0.5413"
"147","160","160","160","0.5122","0.5122","0.5122"
"148","161","161","161","0.5116","0.5116","0.5116"
"149","162","162","162","0.4759","0.4759","0.4759"
"150","163","163","163","0.5259","0.5259","0.5259"
"151","164","164","164","0.5058","0.5058","0.5058"
"152","165","165","165","0.479","0.479","0.479"
"153","166","166","166","0.5262","0.5262","0.5262"
"154","167","167","167","0.4935","0.4935","0.4935"
"155","168","168","168","0.5068","0.5068","0.5068"
"156","169","169","169","0.4998","0.4998","0.4998"
"157","170","170","170","0.5005","0.5005","0.5005"
"158","171","171","171","0.506","0.506","0.506"
"159","172","172","172","0.5115","0.5115","0.5115"
"160","173","173","173","0.4437","0.4437","0.4437"
"161","174","174","174","0.4972","0.4972","0.4972"
"162","175","175","175","0.4656","0.4656","0.4656"
"163","176","176","176","0.483","0.483","0.483"
"164","177","177","177","0.514","0.514","0.514"
"165","178","178","178","0.5028","0.5028","0.5028"
"166","179","179","179","0.4959","0.4959","0.4959"
"167","180","180","180","0.5115","0.5115","0.5115"
"168","181","181","181","0.4668","0.4668","0.4668"
"169","182","182","182","0.511","0.511","0.511"
"170","183","183","183","0.4661","0.4661","0.4661"
"171","184","184","184","0.4776","0.4776","0.4776"
"172","185","185","185","0.4898","0.4898","0.4898"
"173","186","186","186","0.4826","0.4826","0.4826"
"174","187","187","187","0.5216","0.5216","0.5216"
"175","188","188","188","0.4681","0.4681","0.4681"
"176","189","189","189","0.5311","0.5311","0.5311"
"177","190","190","190","0.4845","0.4845","0.4845"
"178","191","191","191","0.4916","0.4916","0.4916"
"179","192","192","192","0.485","0.485","0.485"
"180","193","193","193","0.5138","0.5138","0.5138"
"181","194","194","194","0.5015","0.5015","0.5015"
"182","195","195","195","0.5207","0.5207","0.5207"
"183","196","196","196","0.4891","0.4891","0.4891"
"184","197","197","197","0.4879","0.4879","0.4879"
"185","198","198","198","0.5013","0.5013","0.5013"
"186","199","199","199","0.4988","0.4988","0.4988"
"187","200","200","200","0.4675","0.4675","0.4675"
"188","201","201","201","0.5337","0.5337","0.5337"
"189","202","202","202","0.4646","0.4646","0.4646"
"190","203","203","203","0.4982","0.4982","0.4982"
"191","204","204","204","0.4667","0.4667","0.4667"
"192","205","205","205","0.4808","0.4808","0.4808"
"193","206","206","206","0.4718","0.4718","0.4718"
"194","207","207","207","0.4645","0.4645","0.4645"
"195","208","208","208","0.4729","0.4729","0.4729"
"196","209","209","209","0.4891","0.4891","0.4891"
"197","210","210","210","0.4742","0.4742","0.4742"
"198","211","211","211","0.5247","0.5247","0.5247"
"199","212","212","212","0.4807","0.4807","0.4807"
"200","213","213","213","0.5001","0.5001","0.5001"
"201","214","214","214","0.5108","0.5108","0.5108"
"202","215","215","215","0.4929","0.4929","0.4929"
"203","216","216","216","0.482","0.482","0.482"
"204","217","217","217","0.4718","0.4718","0.4718"
"205","218","218","218","0.4861","0.4861","0.4861"
"206","219","219","219","0.4975","0.4975","0.4975"
"207","220","220","220","0.4722","0.4722","0.4722"
"208","221","221","221","0.5314","0.5314","0.5314"
"209","222","222","222","0.4874","0.4874","0.4874"
"210","223","223","223","0.4983","0.4983","0.4983"
"211","224","224","224","0.4846","0.4846","0.4846"
"212","225","225","225","0.4729","0.4729","0.4729"
"213","226","226","226","0.4918","0.4918","0.4918"
"214","227","227","227","0.4844","0.4844","0.4844"
"215","228","228","228","0.4822","0.4822","0.4822"
"216","229","229","229","0.4511","0.4511","0.4511"
"217","230","230","230","0.4996","0.4996","0.4996"
"218","231","231","231","0.4985","0.4985","0.4985"
"219","232","232","232","0.4631","0.4631","0.4631"
"220","233","233","233","0.4454","0.4454","0.4454"
"221","234","234","234","0.4703","0.4703","0.4703"
"222","235","235","235","0.4757","0.4757","0.4757"
"223","236","236","236","0.4711","0.4711","0.4711"
"224","237","237","237","0.5003","0.5003","0.5003"
"225","238","238","238","0.4838","0.4838","0.4838"
"226","239","239","239","0.4427","0.4427","0.4427"
"227","240","240","240","0.4866","0.4866","0.4866"
"228","241","241","241","0.5324","0.5324","0.5324"
"229","242","242","242","0.4819","0.4819","0.4819"
"230","243","243","243","0.4542","0.4542","0.4542"
"231","244","244","244","0.4761","0.4761","0.4761"
"232","245","245","245","0.4879","0.4879","0.4879"
"233","246","246","246","0.4968","0.4968","0.4968"
"234","247","247","247","0.5248","0.5248","0.5248"
"235","248","248","248","0.4953","0.4953","0.4953"
"236","249","249","249","0.4266","0.4266","0.4266"
"237","250","250","250","0.4996","0.4996","0.4996"
"238","251","251","251","0.4999","0.4999","0.4999"
"239","252","252","252","0.4982","0.4982","0.4982"
"240","253","253","253","0.478","0.478","0.478"
"241","254","254","254","0.4748","0.4748","0.4748"
"242","255","255","255","0.4978","0.4978","0.4978"
"243","256","256","256","0.4707","0.4707","0.4707"
"244","257","257","257","0.4815","0.4815","0.4815"
"245","258","258","258","0.4579","0.4579","0.4579"
"246","259","259","259","0.4748","0.4748","0.4748"
"247","260","260","260","0.4628","0.4628","0.4628"
"248","261","261","261","0.4857","0.4857","0.4857"
"249","262","262","262","0.4995","0.4995","0.4995"
"250","263","263","263","0.4884","0.4884","0.4884"
"251","264","264","264","0.4613","0.4613","0.4613"
"252","265","265","265","0.4595","0.4595","0.4595"
"253","266","266","266","0.4539","0.4539","0.4539"
"254","267","267","267","0.4474","0.4474","0.4474"
"255","268","268","268","0.4829","0.4829","0.4829"
"256","269","269","269","0.5052","0.5052","0.5052"
"257","270","270","270","0.4794","0.4794","0.4794"
