"Relative Time (Process)","StudyAbroadGPT-7B-continued - system/disk./.usageGB","StudyAbroadGPT-7B-continued - system/disk./.usageGB__MIN","StudyAbroadGPT-7B-continued - system/disk./.usageGB__MAX"
"15.25864416","6180.388488769531","6180.388488769531","6180.388488769531"
"25.257118192","6181.780540466309","6181.780540466309","6181.780540466309"
"35.256764108","6181.971187591553","6181.971187591553","6181.971187591553"
"45.257072777","6181.997562408447","6181.997562408447","6181.997562408447"
"55.257024609","6181.999755859375","6181.999755859375","6181.999755859375"
"65.256755739","6181.999893188477","6181.999893188477","6181.999893188477"
"75.256996476","6182.001605987549","6182.001605987549","6182.001605987549"
"85.257063331","6182.001697540283","6182.001697540283","6182.001697540283"
"95.25641391","6182.0017013549805","6182.0017013549805","6182.0017013549805"
"105.256862415","6182.001770019531","6182.001770019531","6182.001770019531"
"115.256831828","6182.002685546875","6182.002685546875","6182.002685546875"
"125.260466269","6182.002685546875","6182.002685546875","6182.002685546875"
"135.256911033","6182.002689361572","6182.002689361572","6182.002689361572"
"145.257009605","6182.0026931762695","6182.0026931762695","6182.0026931762695"
"155.256823766","6182.0026931762695","6182.0026931762695","6182.0026931762695"
"165.256124786","6182.002696990967","6182.002696990967","6182.002696990967"
"175.256302035","6182.002696990967","6182.002696990967","6182.002696990967"
"945.256445451","6182.002853393555","6182.002853393555","6182.002853393555"
"955.256357613","6180.70853805542","6180.70853805542","6180.70853805542"
"965.256305692","6182.057697296143","6182.057697296143","6182.057697296143"
"975.256663768","6182.272491455078","6182.272491455078","6182.272491455078"
"985.256521329","6182.5798988342285","6182.5798988342285","6182.5798988342285"
"995.257222246","6183.647075653076","6183.647075653076","6183.647075653076"
"1005.25647869","6184.801475524902","6184.801475524902","6184.801475524902"
"1015.256332759","6185.119274139404","6185.119274139404","6185.119274139404"
"1035.257806733","6183.581050872803","6183.581050872803","6183.581050872803"
"1045.256800184","6183.581050872803","6183.581050872803","6183.581050872803"
"1055.257094591","6183.5810546875","6183.5810546875","6183.5810546875"
"1065.257087815","6183.5810546875","6183.5810546875","6183.5810546875"
"1075.256573768","6183.581058502197","6183.581058502197","6183.581058502197"
"1085.25701107","6183.581058502197","6183.581058502197","6183.581058502197"
"1095.256649717","6183.5810623168945","6183.5810623168945","6183.5810623168945"
"1105.257201751","6183.581066131592","6183.581066131592","6183.581066131592"
"1115.256552135","6183.581066131592","6183.581066131592","6183.581066131592"
"1125.256529018","6183.581069946289","6183.581069946289","6183.581069946289"
"1135.256132906","6183.581069946289","6183.581069946289","6183.581069946289"
"1145.256492816","6183.581073760986","6183.581073760986","6183.581073760986"
"1155.257559843","6183.581073760986","6183.581073760986","6183.581073760986"
"1165.256545745","6183.581077575684","6183.581077575684","6183.581077575684"
"1175.256536528","6183.581077575684","6183.581077575684","6183.581077575684"
"1185.256831343","6183.581676483154","6183.581676483154","6183.581676483154"
"1195.256820557","6183.581676483154","6183.581676483154","6183.581676483154"
"1205.256648239","6183.581680297852","6183.581680297852","6183.581680297852"
