"Relative Time (Process)","StudyAbroadGPT-7B-continued - system/gpu.0.gpu","StudyAbroadGPT-7B-continued - system/gpu.0.gpu__MIN","StudyAbroadGPT-7B-continued - system/gpu.0.gpu__MAX","StudyAbroadGPT-7B-continued - system/gpu.1.gpu","StudyAbroadGPT-7B-continued - system/gpu.1.gpu__MIN","StudyAbroadGPT-7B-continued - system/gpu.1.gpu__MAX"
"15.282726015","0","0","0","0","0","0"
"25.265648523","0","0","0","0","0","0"
"35.268134699","0","0","0","0","0","0"
"45.276054403","100","100","100","0","0","0"
"55.269090567","84","84","84","0","0","0"
"65.271829729","100","100","100","0","0","0"
"75.268575932","0","0","0","0","0","0"
"85.276529561","100","100","100","0","0","0"
"95.267709641","100","100","100","0","0","0"
"105.26622235","99","99","99","0","0","0"
"115.265448016","100","100","100","0","0","0"
"125.268289862","100","100","100","0","0","0"
"135.268787834","100","100","100","0","0","0"
"145.267607564","100","100","100","0","0","0"
"155.266615147","100","100","100","0","0","0"
"165.273888851","100","100","100","0","0","0"
"175.266194678","100","100","100","0","0","0"
"945.267685732","0","0","0","0","0","0"
"955.265614151","0","0","0","0","0","0"
"965.266567442","0","0","0","0","0","0"
"975.267032727","0","0","0","0","0","0"
"985.267835171","0","0","0","0","0","0"
"995.265477487","0","0","0","0","0","0"
"1005.267035756","0","0","0","0","0","0"
"1015.265546242","0","0","0","0","0","0"
"1035.2668394","0","0","0","0","0","0"
"1045.266411634","100","100","100","0","0","0"
"1055.265837761","100","100","100","0","0","0"
"1065.271039921","100","100","100","0","0","0"
"1075.268876502","100","100","100","0","0","0"
"1085.273139789","100","100","100","0","0","0"
"1095.267500395","100","100","100","0","0","0"
"1105.265939952","100","100","100","0","0","0"
"1115.26547951","100","100","100","0","0","0"
"1125.268191527","100","100","100","0","0","0"
"1135.267267404","100","100","100","0","0","0"
"1145.265542271","100","100","100","0","0","0"
"1155.270195255","100","100","100","0","0","0"
"1165.265521817","100","100","100","0","0","0"
"1175.26691707","100","100","100","0","0","0"
"1185.272515968","0","0","0","0","0","0"
"1195.266001313","100","100","100","0","0","0"
"1205.265507775","100","100","100","0","0","0"
"1215.273814613","100","100","100","0","0","0"
"1225.265528457","100","100","100","0","0","0"
"1235.265692333","100","100","100","0","0","0"
"1245.274446643","100","100","100","0","0","0"
"1255.275641964","100","100","100","0","0","0"
"1265.265354113","100","100","100","0","0","0"
"1275.270426836","100","100","100","0","0","0"
"1285.265503381","100","100","100","0","0","0"
"1295.268258961","100","100","100","0","0","0"
"1305.271934497","100","100","100","0","0","0"
"1315.265738672","100","100","100","0","0","0"
"1325.272673178","100","100","100","0","0","0"
"1335.275614913","100","100","100","0","0","0"
"1345.267954801","100","100","100","0","0","0"
"1355.265229372","100","100","100","0","0","0"
"1365.268519901","100","100","100","0","0","0"
"1375.267413549","100","100","100","0","0","0"
"1385.272998202","100","100","100","0","0","0"
"1395.268350244","100","100","100","0","0","0"
"1405.268613342","100","100","100","0","0","0"
"1415.267982808","100","100","100","0","0","0"
"1425.267386786","100","100","100","0","0","0"
"1435.26550606","100","100","100","0","0","0"
"1445.277250061","100","100","100","0","0","0"
"1455.266123245","100","100","100","0","0","0"
"1465.267954251","100","100","100","0","0","0"
"1475.271793395","100","100","100","0","0","0"
"1485.278676568","100","100","100","0","0","0"
"1495.266083721","100","100","100","0","0","0"
"1505.269389895","100","100","100","0","0","0"
"1515.26953179","100","100","100","0","0","0"
"1525.266012213","100","100","100","0","0","0"
"1535.266745837","100","100","100","0","0","0"
"1545.275819445","100","100","100","0","0","0"
"1555.271631822","100","100","100","0","0","0"
"1565.266599464","100","100","100","0","0","0"
"1575.265281584","100","100","100","0","0","0"
"1585.269237838","100","100","100","0","0","0"
"1595.26853866","100","100","100","0","0","0"
"1605.267992268","100","100","100","0","0","0"
"1615.267880841","100","100","100","0","0","0"
"1625.271129483","100","100","100","0","0","0"
"1635.276349915","100","100","100","0","0","0"
"1645.270105984","100","100","100","0","0","0"
"1655.265537282","100","100","100","0","0","0"
"1665.27384965","100","100","100","0","0","0"
"1675.26928571","100","100","100","0","0","0"
"1685.277326669","100","100","100","0","0","0"
"1695.268443525","100","100","100","0","0","0"
"1705.267053081","100","100","100","0","0","0"
"1715.269343698","100","100","100","0","0","0"
"1725.273265352","100","100","100","0","0","0"
"1735.268585195","100","100","100","0","0","0"
"1745.267097476","100","100","100","0","0","0"
"1755.265345918","100","100","100","0","0","0"
"1765.269911679","100","100","100","0","0","0"
"1775.266144078","100","100","100","0","0","0"
"1785.266635934","100","100","100","0","0","0"
"1795.267275418","100","100","100","0","0","0"
"1805.267045778","100","100","100","0","0","0"
"1815.26689334","100","100","100","0","0","0"
"1825.26683354","100","100","100","0","0","0"
"1835.271801952","100","100","100","0","0","0"
"1845.269770361","100","100","100","0","0","0"
"1855.27610869","100","100","100","0","0","0"
"1865.278790661","100","100","100","0","0","0"
"1875.266656143","100","100","100","0","0","0"
"1885.276794145","100","100","100","0","0","0"
"1895.271543898","100","100","100","0","0","0"
"1905.269028552","100","100","100","0","0","0"
"1915.270332614","100","100","100","0","0","0"
"1925.265761443","100","100","100","0","0","0"
