"Relative Time (Process)","StudyAbroadGPT-7B-continued - system/gpu.0.memoryAllocatedBytes","StudyAbroadGPT-7B-continued - system/gpu.0.memoryAllocatedBytes__MIN","StudyAbroadGPT-7B-continued - system/gpu.0.memoryAllocatedBytes__MAX","StudyAbroadGPT-7B-continued - system/gpu.1.memoryAllocatedBytes","StudyAbroadGPT-7B-continued - system/gpu.1.memoryAllocatedBytes__MIN","StudyAbroadGPT-7B-continued - system/gpu.1.memoryAllocatedBytes__MAX"
"15.282726015","427687936","427687936","427687936","406716416","406716416","406716416"
"25.265648523","4584243200","4584243200","4584243200","406716416","406716416","406716416"
"35.268134699","4940759040","4940759040","4940759040","406716416","406716416","406716416"
"45.276054403","7975337984","7975337984","7975337984","406716416","406716416","406716416"
"55.269090567","9185394688","9185394688","9185394688","406716416","406716416","406716416"
"65.271829729","9344778240","9344778240","9344778240","406716416","406716416","406716416"
"75.268575932","9357361152","9357361152","9357361152","410910720","410910720","410910720"
"85.276529561","9359458304","9359458304","9359458304","410910720","410910720","410910720"
"95.267709641","9359458304","9359458304","9359458304","410910720","410910720","410910720"
"105.26622235","9359458304","9359458304","9359458304","410910720","410910720","410910720"
"115.265448016","9359458304","9359458304","9359458304","410910720","410910720","410910720"
"125.268289862","9359458304","9359458304","9359458304","410910720","410910720","410910720"
"135.268787834","9361555456","9361555456","9361555456","413007872","413007872","413007872"
"145.267607564","9361555456","9361555456","9361555456","413007872","413007872","413007872"
"155.266615147","9361555456","9361555456","9361555456","413007872","413007872","413007872"
"165.273888851","9361555456","9361555456","9361555456","413007872","413007872","413007872"
"175.266194678","9361555456","9361555456","9361555456","413007872","413007872","413007872"
"945.267685732","9439150080","9439150080","9439150080","413007872","413007872","413007872"
"955.265614151","9439150080","9439150080","9439150080","413007872","413007872","413007872"
"965.266567442","9439150080","9439150080","9439150080","413007872","413007872","413007872"
"975.267032727","9439150080","9439150080","9439150080","413007872","413007872","413007872"
"985.267835171","9439150080","9439150080","9439150080","413007872","413007872","413007872"
"995.265477487","9439150080","9439150080","9439150080","413007872","413007872","413007872"
"1005.267035756","9439150080","9439150080","9439150080","413007872","413007872","413007872"
"1015.265546242","9439150080","9439150080","9439150080","413007872","413007872","413007872"
"1035.2668394","9214754816","9214754816","9214754816","413007872","413007872","413007872"
"1045.266411634","11167203328","11167203328","11167203328","413007872","413007872","413007872"
"1055.265837761","11771183104","11771183104","11771183104","413007872","413007872","413007872"
"1065.271039921","11842486272","11842486272","11842486272","413007872","413007872","413007872"
"1075.268876502","11846680576","11846680576","11846680576","413007872","413007872","413007872"
"1085.273139789","11846680576","11846680576","11846680576","413007872","413007872","413007872"
"1095.267500395","11846680576","11846680576","11846680576","413007872","413007872","413007872"
"1105.265939952","11846680576","11846680576","11846680576","413007872","413007872","413007872"
"1115.26547951","11846680576","11846680576","11846680576","413007872","413007872","413007872"
"1125.268191527","11846680576","11846680576","11846680576","413007872","413007872","413007872"
"1135.267267404","11846680576","11846680576","11846680576","413007872","413007872","413007872"
"1145.265542271","11846680576","11846680576","11846680576","413007872","413007872","413007872"
"1155.270195255","11846680576","11846680576","11846680576","413007872","413007872","413007872"
"1165.265521817","11846680576","11846680576","11846680576","413007872","413007872","413007872"
"1175.26691707","11846680576","11846680576","11846680576","413007872","413007872","413007872"
"1185.272515968","11924275200","11924275200","11924275200","413007872","413007872","413007872"
"1195.266001313","11930566656","11930566656","11930566656","413007872","413007872","413007872"
"1205.265507775","11934760960","11934760960","11934760960","413007872","413007872","413007872"
"1215.273814613","11936858112","11936858112","11936858112","413007872","413007872","413007872"
"1225.265528457","11936858112","11936858112","11936858112","413007872","413007872","413007872"
"1235.265692333","11936858112","11936858112","11936858112","413007872","413007872","413007872"
"1245.274446643","11936858112","11936858112","11936858112","413007872","413007872","413007872"
"1255.275641964","11936858112","11936858112","11936858112","413007872","413007872","413007872"
"1265.265354113","11936858112","11936858112","11936858112","413007872","413007872","413007872"
"1275.270426836","11936858112","11936858112","11936858112","413007872","413007872","413007872"
"1285.265503381","11936858112","11936858112","11936858112","413007872","413007872","413007872"
"1295.268258961","11936858112","11936858112","11936858112","413007872","413007872","413007872"
"1305.271934497","11936858112","11936858112","11936858112","413007872","413007872","413007872"
"1315.265738672","11936858112","11936858112","11936858112","413007872","413007872","413007872"
