"Relative Time (Process)","StudyAbroadGPT-7B-continued - system/gpu.0.memory","StudyAbroadGPT-7B-continued - system/gpu.0.memory__MIN","StudyAbroadGPT-7B-continued - system/gpu.0.memory__MAX","StudyAbroadGPT-7B-continued - system/gpu.1.memory","StudyAbroadGPT-7B-continued - system/gpu.1.memory__MIN","StudyAbroadGPT-7B-continued - system/gpu.1.memory__MAX"
"15.282726015","0","0","0","0","0","0"
"25.265648523","0","0","0","0","0","0"
"35.268134699","0","0","0","0","0","0"
"45.276054403","48","48","48","0","0","0"
"55.269090567","48","48","48","0","0","0"
"65.271829729","45","45","45","0","0","0"
"75.268575932","0","0","0","0","0","0"
"85.276529561","52","52","52","0","0","0"
"95.267709641","63","63","63","0","0","0"
"105.26622235","35","35","35","0","0","0"
"115.265448016","47","47","47","0","0","0"
"125.268289862","60","60","60","0","0","0"
"135.268787834","39","39","39","0","0","0"
"145.267607564","45","45","45","0","0","0"
"155.266615147","37","37","37","0","0","0"
"165.273888851","51","51","51","0","0","0"
"175.266194678","41","41","41","0","0","0"
"945.267685732","0","0","0","0","0","0"
"955.265614151","0","0","0","0","0","0"
"965.266567442","0","0","0","0","0","0"
"975.267032727","0","0","0","0","0","0"
"985.267835171","0","0","0","0","0","0"
"995.265477487","0","0","0","0","0","0"
"1005.267035756","0","0","0","0","0","0"
"1015.265546242","0","0","0","0","0","0"
"1035.2668394","0","0","0","0","0","0"
"1045.266411634","37","37","37","0","0","0"
"1055.265837761","55","55","55","0","0","0"
"1065.271039921","36","36","36","0","0","0"
"1075.268876502","41","41","41","0","0","0"
"1085.273139789","35","35","35","0","0","0"
"1095.267500395","58","58","58","0","0","0"
"1105.265939952","58","58","58","0","0","0"
"1115.26547951","36","36","36","0","0","0"
"1125.268191527","57","57","57","0","0","0"
"1135.267267404","37","37","37","0","0","0"
"1145.265542271","39","39","39","0","0","0"
"1155.270195255","64","64","64","0","0","0"
"1165.265521817","53","53","53","0","0","0"
"1175.26691707","42","42","42","0","0","0"
"1185.272515968","0","0","0","0","0","0"
"1195.266001313","37","37","37","0","0","0"
"1205.265507775","46","46","46","0","0","0"
"1215.273814613","43","43","43","0","0","0"
"1225.265528457","35","35","35","0","0","0"
"1235.265692333","50","50","50","0","0","0"
"1245.274446643","36","36","36","0","0","0"
"1255.275641964","55","55","55","0","0","0"
"1265.265354113","35","35","35","0","0","0"
"1275.270426836","46","46","46","0","0","0"
"1285.265503381","41","41","41","0","0","0"
"1295.268258961","35","35","35","0","0","0"
"1305.271934497","47","47","47","0","0","0"
"1315.265738672","48","48","48","0","0","0"
"1325.272673178","32","32","32","0","0","0"
"1335.275614913","45","45","45","0","0","0"
"1345.267954801","34","34","34","0","0","0"
"1355.265229372","40","40","40","0","0","0"
"1365.268519901","45","45","45","0","0","0"
"1375.267413549","43","43","43","0","0","0"
"1385.272998202","45","45","45","0","0","0"
"1395.268350244","35","35","35","0","0","0"
"1405.268613342","61","61","61","0","0","0"
"1415.267982808","51","51","51","0","0","0"
"1425.267386786","35","35","35","0","0","0"
"1435.26550606","48","48","48","0","0","0"
"1445.277250061","42","42","42","0","0","0"
"1455.266123245","35","35","35","0","0","0"
"1465.267954251","42","42","42","0","0","0"
"1475.271793395","49","49","49","0","0","0"
"1485.278676568","33","33","33","0","0","0"
"1495.266083721","57","57","57","0","0","0"
"1505.269389895","42","42","42","0","0","0"
"1515.26953179","55","55","55","0","0","0"
"1525.266012213","55","55","55","0","0","0"
"1535.266745837","36","36","36","0","0","0"
"1545.275819445","46","46","46","0","0","0"
"1555.271631822","52","52","52","0","0","0"
"1565.266599464","36","36","36","0","0","0"
"1575.265281584","49","49","49","0","0","0"
"1585.269237838","36","36","36","0","0","0"
"1595.26853866","45","45","45","0","0","0"
"1605.267992268","58","58","58","0","0","0"
"1615.267880841","52","52","52","0","0","0"
"1625.271129483","48","48","48","0","0","0"
"1635.276349915","53","53","53","0","0","0"
"1645.270105984","50","50","50","0","0","0"
"1655.265537282","37","37","37","0","0","0"
"1665.27384965","45","45","45","0","0","0"
"1675.26928571","33","33","33","0","0","0"
"1685.277326669","53","53","53","0","0","0"
"1695.268443525","52","52","52","0","0","0"
"1705.267053081","34","34","34","0","0","0"
"1715.269343698","55","55","55","0","0","0"
"1725.273265352","35","35","35","0","0","0"
"1735.268585195","46","46","46","0","0","0"
"1745.267097476","46","46","46","0","0","0"
"1755.265345918","36","36","36","0","0","0"
"1765.269911679","39","39","39","0","0","0"
"1775.266144078","48","48","48","0","0","0"
"1785.266635934","50","50","50","0","0","0"
"1795.267275418","56","56","56","0","0","0"
"1805.267045778","34","34","34","0","0","0"
"1815.26689334","42","42","42","0","0","0"
"1825.26683354","49","49","49","0","0","0"
"1835.271801952","38","38","38","0","0","0"
"1845.269770361","45","45","45","0","0","0"
"1855.27610869","35","35","35","0","0","0"
"1865.278790661","57","57","57","0","0","0"
"1875.266656143","57","57","57","0","0","0"
"1885.276794145","44","44","44","0","0","0"
"1895.271543898","48","48","48","0","0","0"
"1905.269028552","36","36","36","0","0","0"
"1915.270332614","54","54","54","0","0","0"
"1925.265761443","44","44","44","0","0","0"
