"Relative Time (Process)","StudyAbroadGPT-7B-continued - system/gpu.0.powerWatts","StudyAbroadGPT-7B-continued - system/gpu.0.powerWatts__MIN","StudyAbroadGPT-7B-continued - system/gpu.0.powerWatts__MAX","StudyAbroadGPT-7B-continued - system/gpu.1.powerWatts","StudyAbroadGPT-7B-continued - system/gpu.1.powerWatts__MIN","StudyAbroadGPT-7B-continued - system/gpu.1.powerWatts__MAX"
"15.282726015","25.979","25.979","25.979","25.571","25.571","25.571"
"25.265648523","26.077","26.077","26.077","25.669","25.669","25.669"
"35.268134699","26.077","26.077","26.077","25.866","25.866","25.866"
"45.276054403","69.057","69.057","69.057","25.95","25.95","25.95"
"55.269090567","29.002","29.002","29.002","25.965","25.965","25.965"
"65.271829729","65.293","65.293","65.293","26.049","26.049","26.049"
"75.268575932","27.344","27.344","27.344","26.147","26.147","26.147"
"85.276529561","70.129","70.129","70.129","26.246","26.246","26.246"
"95.267709641","63.399","63.399","63.399","26.344","26.344","26.344"
"105.26622235","37.107","37.107","37.107","26.541","26.541","26.541"
"115.265448016","73.16","73.16","73.16","26.541","26.541","26.541"
"125.268289862","69.069","69.069","69.069","26.541","26.541","26.541"
"135.268787834","69.794","69.794","69.794","26.639","26.639","26.639"
"145.267607564","60.743","60.743","60.743","26.738","26.738","26.738"
"155.266615147","66.911","66.911","66.911","26.836","26.836","26.836"
"165.273888851","63.243","63.243","63.243","26.821","26.821","26.821"
"175.266194678","68.624","68.624","68.624","26.836","26.836","26.836"
"945.267685732","30.166","30.166","30.166","29.084","29.084","29.084"
"955.265614151","30.068","30.068","30.068","29.084","29.084","29.084"
"965.266567442","30.166","30.166","30.166","29.068","29.068","29.068"
"975.267032727","30.166","30.166","30.166","29.166","29.166","29.166"
"985.267835171","30.166","30.166","30.166","29.166","29.166","29.166"
"995.265477487","30.166","30.166","30.166","29.084","29.084","29.084"
"1005.267035756","30.166","30.166","30.166","29.084","29.084","29.084"
"1015.265546242","30.166","30.166","30.166","29.182","29.182","29.182"
"1035.2668394","30.264","30.264","30.264","29.166","29.166","29.166"
"1045.266411634","55.991","55.991","55.991","29.166","29.166","29.166"
"1055.265837761","67.997","67.997","67.997","29.166","29.166","29.166"
"1065.271039921","68.484","68.484","68.484","29.166","29.166","29.166"
"1075.268876502","69.263","69.263","69.263","28.773","28.773","28.773"
"1085.273139789","68.137","68.137","68.137","28.281","28.281","28.281"
"1095.267500395","68.721","68.721","68.721","27.903","27.903","27.903"
"1105.265939952","65.74","65.74","65.74","27.707","27.707","27.707"
"1115.26547951","67.844","67.844","67.844","27.525","27.525","27.525"
"1125.268191527","71.309","71.309","71.309","27.328","27.328","27.328"
"1135.267267404","68.429","68.429","68.429","27.313","27.313","27.313"
"1145.265542271","66.326","66.326","66.326","27.328","27.328","27.328"
"1155.270195255","68.081","68.081","68.081","27.23","27.23","27.23"
"1165.265521817","68.819","68.819","68.819","27.132","27.132","27.132"
"1175.26691707","71.699","71.699","71.699","26.935","26.935","26.935"
"1185.272515968","34.888","34.888","34.888","26.851","26.851","26.851"
"1195.266001313","68.276","68.276","68.276","26.836","26.836","26.836"
"1205.265507775","52.47","52.47","52.47","26.738","26.738","26.738"
"1215.273814613","69.111","69.111","69.111","26.639","26.639","26.639"
"1225.265528457","58.275","58.275","58.275","26.654","26.654","26.654"
"1235.265692333","67.301","67.301","67.301","26.556","26.556","26.556"
