"Relative Time (Process)","StudyAbroadGPT-7B-continued - system/gpu.0.smClock","StudyAbroadGPT-7B-continued - system/gpu.0.smClock__MIN","StudyAbroadGPT-7B-continued - system/gpu.0.smClock__MAX","StudyAbroadGPT-7B-continued - system/gpu.1.smClock","StudyAbroadGPT-7B-continued - system/gpu.1.smClock__MIN","StudyAbroadGPT-7B-continued - system/gpu.1.smClock__MAX"
"15.282726015","585","585","585","585","585","585"
"25.265648523","585","585","585","585","585","585"
"35.268134699","585","585","585","585","585","585"
"45.276054403","735","735","735","585","585","585"
"55.269090567","1545","1545","1545","585","585","585"
"65.271829729","660","660","660","585","585","585"
"75.268575932","585","585","585","585","585","585"
"85.276529561","630","630","630","585","585","585"
"95.267709641","615","615","615","585","585","585"
"105.26622235","1575","1575","1575","585","585","585"
"115.265448016","585","585","585","585","585","585"
"125.268289862","855","855","855","585","585","585"
"135.268787834","645","645","645","585","585","585"
"145.267607564","855","855","855","585","585","585"
"155.266615147","585","585","585","585","585","585"
"165.273888851","450","450","450","585","585","585"
"175.266194678","555","555","555","585","585","585"
"945.267685732","585","585","585","585","585","585"
"955.265614151","585","585","585","585","585","585"
"965.266567442","585","585","585","585","585","585"
"975.267032727","585","585","585","585","585","585"
"985.267835171","585","585","585","585","585","585"
"995.265477487","585","585","585","585","585","585"
"1005.267035756","585","585","585","585","585","585"
"1015.265546242","585","585","585","585","585","585"
"1035.2668394","585","585","585","585","585","585"
"1045.266411634","720","720","720","585","585","585"
"1055.265837761","615","615","615","585","585","585"
"1065.271039921","600","600","600","585","585","585"
"1075.268876502","495","495","495","585","585","585"
"1085.273139789","615","615","615","585","585","585"
"1095.267500395","615","615","615","585","585","585"
"1105.265939952","615","615","615","585","585","585"
"1115.26547951","660","660","660","585","585","585"
"1125.268191527","495","495","495","585","585","585"
"1135.267267404","630","630","630","585","585","585"
"1145.265542271","480","480","480","585","585","585"
"1155.270195255","600","600","600","585","585","585"
"1165.265521817","630","630","630","585","585","585"
"1175.26691707","690","690","690","585","585","585"
"1185.272515968","1020","1020","1020","585","585","585"
"1195.266001313","630","630","630","585","585","585"
"1205.265507775","525","525","525","585","585","585"
"1215.273814613","495","495","495","585","585","585"
"1225.265528457","615","615","615","585","585","585"
"1235.265692333","495","495","495","585","585","585"
"1245.274446643","660","660","660","585","585","585"
"1255.275641964","750","750","750","585","585","585"
"1265.265354113","675","675","675","585","585","585"
"1275.270426836","960","960","960","585","585","585"
"1285.265503381","555","555","555","585","585","585"
"1295.268258961","600","600","600","585","585","585"
"1305.271934497","735","735","735","585","585","585"
"1315.265738672","585","585","585","585","585","585"
"1325.272673178","720","720","720","585","585","585"
"1335.275614913","570","570","570","585","585","585"
"1345.267954801","615","615","615","585","585","585"
"1355.265229372","480","480","480","585","585","585"
"1365.268519901","600","600","600","585","585","585"
"1375.267413549","555","555","555","585","585","585"
"1385.272998202","570","570","570","585","585","585"
"1395.268350244","705","705","705","585","585","585"
"1405.268613342","600","600","600","585","585","585"
"1415.267982808","585","585","585","585","585","585"
"1425.267386786","600","600","600","585","585","585"
"1435.26550606","555","555","555","585","585","585"
"1445.277250061","495","495","495","585","585","585"
"1455.266123245","630","630","630","585","585","585"
"1465.267954251","780","780","780","585","585","585"
"1475.271793395","600","600","600","585","585","585"
"1485.278676568","600","600","600","585","585","585"
"1495.266083721","585","585","585","585","585","585"
"1505.269389895","945","945","945","585","585","585"
"1515.26953179","765","765","765","585","585","585"
"1525.266012213","900","900","900","585","585","585"
"1535.266745837","630","630","630","585","585","585"
"1545.275819445","600","600","600","585","585","585"
"1555.271631822","600","600","600","585","585","585"
"1565.266599464","600","600","600","585","585","585"
"1575.265281584","840","840","840","585","585","585"
"1585.269237838","630","630","630","585","585","585"
"1595.26853866","600","600","600","585","585","585"
"1605.267992268","600","600","600","585","585","585"
"1615.267880841","750","750","750","585","585","585"
"1625.271129483","645","645","645","585","585","585"
"1635.276349915","615","615","615","585","585","585"
"1645.270105984","585","585","585","585","585","585"
"1655.265537282","645","645","645","585","585","585"
"1665.27384965","855","855","855","585","585","585"
"1675.26928571","600","600","600","585","585","585"
"1685.277326669","555","555","555","585","585","585"
"1695.268443525","465","465","465","585","585","585"
"1705.267053081","570","570","570","585","585","585"
"1715.269343698","480","480","480","585","585","585"
"1725.273265352","645","645","645","585","585","585"
"1735.268585195","480","480","480","585","585","585"
"1745.267097476","795","795","795","585","585","585"
"1755.265345918","615","615","615","585","585","585"
"1765.269911679","495","495","495","585","585","585"
"1775.266144078","450","450","450","585","585","585"
"1785.266635934","510","510","510","585","585","585"
"1795.267275418","765","765","765","585","585","585"
"1805.267045778","585","585","585","585","585","585"
"1815.26689334","600","600","600","585","585","585"
"1825.26683354","570","570","570","585","585","585"
"1835.271801952","675","675","675","585","585","585"
"1845.269770361","585","585","585","585","585","585"
"1855.27610869","615","615","615","585","585","585"
"1865.278790661","585","585","585","585","585","585"
"1875.266656143","525","525","525","585","585","585"
"1885.276794145","630","630","630","585","585","585"
"1895.271543898","555","555","555","585","585","585"
"1905.269028552","615","615","615","585","585","585"
"1915.270332614","840","840","840","585","585","585"
"1925.265761443","435","435","435","585","585","585"
"1935.272480052","630","630","630","585","585","585"
"1945.266799366","585","585","585","585","585","585"
"1955.271863979","585","585","585","585","585","585"
"1965.267282401","630","630","630","585","585","585"
"1975.267491962","585","585","585","585","585","585"
"1985.265093311","600","600","600","585","585","585"
"1995.268007845","525","525","525","585","585","585"
"2005.266706374","615","615","615","585","585","585"
"2015.266817986","855","855","855","585","585","585"
"2025.266251374","555","555","555","585","585","585"
"2035.265732348","615","615","615","585","585","585"
"2045.267223778","540","540","540","585","585","585"
"2055.274725907","600","600","600","585","585","585"
"2065.27115954","525","525","525","585","585","585"
"2075.26774375","435","435","435","585","585","585"
"2085.265976736","600","600","600","585","585","585"
"2095.270005366","600","600","600","585","585","585"
"2105.276182641","585","585","585","585","585","585"
"2115.268211421","630","630","630","585","585","585"
"2125.267017844","435","435","435","585","585","585"
"2135.266607762","615","615","615","585","585","585"
"2145.267921145","630","630","630","585","585","585"
"2155.269618332","570","570","570","585","585","585"
"2165.267561466","585","585","585","585","585","585"
"2175.266147109","615","615","615","585","585","585"
"2185.266571834","435","435","435","585","585","585"
"2195.269245093","615","615","615","585","585","585"
"2205.27263517","510","510","510","585","585","585"
"2215.265277177","975","975","975","585","585","585"
"2225.272642469","1005","1005","1005","585","585","585"
"2235.267314278","555","555","555","585","585","585"
"2245.267459558","645","645","645","585","585","585"
"2255.274675387","810","810","810","585","585","585"
"2265.270022487","840","840","840","585","585","585"
"2275.281602606","750","750","750","585","585","585"
"2285.270281626","570","570","570","585","585","585"
"2295.27745621","570","570","570","585","585","585"
"2305.269133449","1020","1020","1020","585","585","585"
"2315.268426861","825","825","825","585","585","585"
"2325.269286617","600","600","600","585","585","585"
"2335.269805861","510","510","510","585","585","585"
"2345.268670194","570","570","570","585","585","585"
"2355.268776163","465","465","465","585","585","585"
"2365.269933866","585","585","585","585","585","585"
"2375.270735103","615","615","615","585","585","585"
"2385.278791673","615","615","615","585","585","585"
"2395.26693152","615","615","615","585","585","585"
"2405.268414341","585","585","585","585","585","585"
"2415.268109819","660","660","660","585","585","585"
"2425.267155547","765","765","765","585","585","585"
"2435.266346117","540","540","540","585","585","585"
"2445.266166085","630","630","630","585","585","585"
"2455.273274064","510","510","510","585","585","585"
"2465.267590452","930","930","930","585","585","585"
"2475.266043811","525","525","525","585","585","585"
"2485.265839923","570","570","570","585","585","585"
"2495.266739408","630","630","630","585","585","585"
"2505.267934602","600","600","600","585","585","585"
"2515.271041929","585","585","585","585","585","585"
"2525.267353795","600","600","600","585","585","585"
"2535.26976709","525","525","525","585","585","585"
"2545.27037988","615","615","615","585","585","585"
