"Relative Time (Process)","StudyAbroadGPT-7B-continued - system/gpu.0.temp","StudyAbroadGPT-7B-continued - system/gpu.0.temp__MIN","StudyAbroadGPT-7B-continued - system/gpu.0.temp__MAX","StudyAbroadGPT-7B-continued - system/gpu.1.temp","StudyAbroadGPT-7B-continued - system/gpu.1.temp__MIN","StudyAbroadGPT-7B-continued - system/gpu.1.temp__MAX"
"15.282726015","43","43","43","42","42","42"
"25.265648523","44","44","44","43","43","43"
"35.268134699","45","45","45","44","44","44"
"45.276054403","48","48","48","45","45","45"
"55.269090567","50","50","50","46","46","46"
"65.271829729","56","56","56","47","47","47"
"75.268575932","56","56","56","48","48","48"
"85.276529561","62","62","62","49","49","49"
"95.267709641","65","65","65","49","49","49"
"105.26622235","67","67","67","50","50","50"
"115.265448016","70","70","70","51","51","51"
"125.268289862","72","72","72","51","51","51"
"135.268787834","75","75","75","52","52","52"
"145.267607564","77","77","77","53","53","53"
"155.266615147","79","79","79","53","53","53"
"165.273888851","80","80","80","54","54","54"
"175.266194678","80","80","80","53","53","53"
"945.267685732","72","72","72","70","70","70"
"955.265614151","72","72","72","69","69","69"
"965.266567442","72","72","72","70","70","70"
"975.267032727","72","72","72","70","70","70"
"985.267835171","72","72","72","70","70","70"
"995.265477487","72","72","72","70","70","70"
"1005.267035756","72","72","72","70","70","70"
"1015.265546242","72","72","72","70","70","70"
"1035.2668394","72","72","72","70","70","70"
"1045.266411634","75","75","75","70","70","70"
"1055.265837761","78","78","78","70","70","70"
"1065.271039921","81","81","81","70","70","70"
"1075.268876502","81","81","81","68","68","68"
"1085.273139789","78","78","78","64","64","64"
"1095.267500395","77","77","77","61","61","61"
"1105.265939952","75","75","75","59","59","59"
"1115.26547951","75","75","75","58","58","58"
"1125.268191527","76","76","76","57","57","57"
"1135.267267404","77","77","77","57","57","57"
"1145.265542271","78","78","78","57","57","57"
"1155.270195255","78","78","78","56","56","56"
"1165.265521817","77","77","77","55","55","55"
"1175.26691707","77","77","77","55","55","55"
"1185.272515968","76","76","76","54","54","54"
"1195.266001313","77","77","77","54","54","54"
"1205.265507775","77","77","77","53","53","53"
"1215.273814613","77","77","77","53","53","53"
"1225.265528457","77","77","77","52","52","52"
"1235.265692333","77","77","77","52","52","52"
