"Relative Time (Process)","StudyAbroadGPT-7B-continued - system/proc.cpu.threads","StudyAbroadGPT-7B-continued - system/proc.cpu.threads__MIN","StudyAbroadGPT-7B-continued - system/proc.cpu.threads__MAX"
"15.26030913","158","158","158"
"25.256576969","26","26","26"
"35.256913246","31","31","31"
"45.256503487","37","37","37"
"55.256860128","37","37","37"
"65.25645041","41","41","41"
"75.256605235","35","35","35"
"85.256846855","35","35","35"
"95.256247523","35","35","35"
"105.256670801","37","37","37"
"115.256737405","37","37","37"
"125.2573158","37","37","37"
"135.257299036","37","37","37"
"145.257018699","37","37","37"
"155.256749934","37","37","37"
"165.256255855","35","35","35"
"175.256350252","35","35","35"
"945.256272106","35","35","35"
"955.256319829","35","35","35"
"965.256176525","35","35","35"
"975.255958728","35","35","35"
"985.25631333","35","35","35"
"995.256685564","35","35","35"
"1005.256419803","35","35","35"
"1015.256084494","35","35","35"
"1035.25681847","31","31","31"
"1045.256581313","31","31","31"
"1055.257094591","31","31","31"
"1065.256736731","31","31","31"
"1075.256451507","31","31","31"
"1085.256971055","31","31","31"
"1095.256660482","31","31","31"
"1105.256989692","31","31","31"
"1115.256701234","31","31","31"
"1125.25660097","31","31","31"
"1135.256249366","31","31","31"
"1145.256498911","31","31","31"
"1155.256783172","31","31","31"
"1165.256597198","31","31","31"
"1175.256394597","31","31","31"
"1185.257222337","35","35","35"
"1195.256787962","35","35","35"
"1205.256495916","35","35","35"
"1215.256193549","35","35","35"
"1225.256586583","35","35","35"
"1235.256320022","35","35","35"
"1245.256553963","35","35","35"
"1255.256848122","35","35","35"
"1265.256065609","35","35","35"
"1275.256456516","35","35","35"
"1285.256531787","35","35","35"
"1295.25651099","35","35","35"
"1305.257239212","35","35","35"
"1315.256965833","35","35","35"
"1325.25653814","35","35","35"
"1335.256966398","35","35","35"
"1345.257129709","35","35","35"
"1355.256461753","35","35","35"
"1365.257381705","31","31","31"
"1375.256502435","31","31","31"
"1385.256594025","31","31","31"
"1395.257478414","31","31","31"
"1405.256760491","31","31","31"
"1415.256454407","31","31","31"
"1425.256479857","31","31","31"
"1435.256811629","31","31","31"
"1445.256590754","31","31","31"
"1455.257369905","35","35","35"
"1465.256690838","39","39","39"
"1475.256445407","39","39","39"
"1485.256653179","39","39","39"
"1495.256160052","39","39","39"
"1505.256645634","39","39","39"
"1515.25684706","39","39","39"
"1525.256996112","39","39","39"
"1535.256493698","39","39","39"
"1545.256294646","39","39","39"
"1555.256597575","39","39","39"
"1565.256451234","39","39","39"
"1575.256007188","39","39","39"
"1585.256039254","39","39","39"
"1595.256694811","39","39","39"
"1605.257205354","39","39","39"
"1615.256494078","39","39","39"
"1625.256578162","39","39","39"
"1635.256371817","39","39","39"
"1645.256866874","39","39","39"
"1655.256593256","39","39","39"
"1665.256260416","39","39","39"
"1675.256321434","31","31","31"
"1685.256086865","31","31","31"
"1695.257764068","31","31","31"
"1705.256735053","31","31","31"
"1715.255984728","31","31","31"
"1725.256589917","31","31","31"
"1735.256787184","31","31","31"
"1745.256436129","31","31","31"
"1755.256398666","31","31","31"
"1765.256674597","31","31","31"
"1775.256019131","31","31","31"
"1785.257047723","31","31","31"
"1795.256740778","31","31","31"
"1805.256811619","31","31","31"
"1815.256441413","31","31","31"
"1825.256282242","31","31","31"
"1835.25633459","31","31","31"
"1845.256511301","31","31","31"
"1855.256485191","31","31","31"
"1865.256688889","31","31","31"
"1875.256972611","31","31","31"
"1885.256728977","31","31","31"
"1895.256126087","31","31","31"
"1905.257711299","31","31","31"
"1915.257044749","31","31","31"
"1925.256905046","31","31","31"
"1935.257322879","31","31","31"
"1945.25617925","31","31","31"
"1955.256811073","31","31","31"
"1965.257158245","31","31","31"
"1975.256856557","31","31","31"
"1985.256248037","31","31","31"
"1995.257425717","31","31","31"
"2005.25654562","31","31","31"
"2015.256662697","31","31","31"
"2025.256751876","31","31","31"
"2035.256424841","31","31","31"
"2045.256801121","31","31","31"
"2055.257007287","31","31","31"
"2065.256825659","31","31","31"
"2075.256322073","31","31","31"
"2085.256600273","31","31","31"
"2095.256435667","31","31","31"
"2105.256954057","31","31","31"
"2115.256577132","31","31","31"
"2125.256812183","31","31","31"
"2135.256971854","31","31","31"
"2145.256992311","31","31","31"
"2155.256381023","31","31","31"
"2165.255898668","31","31","31"
"2175.25672081","31","31","31"
"2185.256257381","31","31","31"
"2195.256630546","31","31","31"
"2205.256364342","31","31","31"
"2215.256437403","31","31","31"
"2225.256442465","31","31","31"
"2235.256434827","31","31","31"
"2245.256752414","31","31","31"
"2255.25639357","31","31","31"
"2265.25616809","31","31","31"
"2275.256648644","31","31","31"
"2285.257549579","31","31","31"
"2295.257119356","31","31","31"
"2305.256274226","31","31","31"
"2315.256575523","31","31","31"
"2325.257160645","31","31","31"
"2335.25713221","31","31","31"
"2345.25809009","31","31","31"
"2355.256196438","31","31","31"
"2365.256705978","31","31","31"
"2375.256402797","31","31","31"
"2385.256387361","31","31","31"
"2395.256459239","31","31","31"
"2405.256965896","31","31","31"
"2415.256112844","31","31","31"
"2425.25644351","31","31","31"
"2435.25660736","31","31","31"
"2445.256899282","31","31","31"
"2455.256566219","31","31","31"
"2465.256652438","31","31","31"
"2475.256587315","31","31","31"
"2485.256835816","31","31","31"
"2495.256107896","31","31","31"
"2505.257011959","31","31","31"
"2515.256191639","31","31","31"
"2525.25658086","31","31","31"
"2535.256045926","31","31","31"
"2545.256804191","31","31","31"
"2555.25601182","31","31","31"
"2565.257188655","31","31","31"
"2575.256109727","31","31","31"
"2585.25681653","31","31","31"
"2595.257663441","31","31","31"
"2605.257036474","31","31","31"
"2615.256806278","31","31","31"
"2625.256129681","31","31","31"
"2635.257080076","31","31","31"
"2645.257199583","31","31","31"
"2655.257995427","31","31","31"
"2665.256274515","31","31","31"
"2675.256914987","31","31","31"
"2685.256883519","31","31","31"
"2695.256927119","31","31","31"
"2705.256157681","31","31","31"
"2715.256688523","31","31","31"
"2725.256559045","31","31","31"
"2735.256717636","31","31","31"
"2745.256453046","31","31","31"
"2755.255859007","31","31","31"
"2765.255839305","31","31","31"
"2775.257184426","31","31","31"
"2785.256806873","31","31","31"
"2795.256609759","31","31","31"
"2805.257560813","31","31","31"
"2815.256669978","31","31","31"
"2825.25651944","31","31","31"
"2835.256553167","31","31","31"
"2845.256761664","31","31","31"
"2855.256135455","31","31","31"
"2865.256106004","31","31","31"
"2875.256719536","31","31","31"
"2885.256460324","31","31","31"
"2895.256927362","31","31","31"
"2905.2569777","31","31","31"
"2915.256370817","31","31","31"
"2925.256969475","31","31","31"
"2935.256716756","31","31","31"
"2945.256576416","31","31","31"
"2955.256975425","31","31","31"
"2965.256114415","31","31","31"
"2975.256820545","31","31","31"
"2985.256277112","31","31","31"
"2995.257590744","31","31","31"
"3005.257010344","31","31","31"
"3015.256041039","31","31","31"
"3025.256014477","31","31","31"
"3035.256352683","31","31","31"
"3045.256617176","31","31","31"
"3055.256550412","31","31","31"
"3065.25657026","31","31","31"
"3075.256994069","31","31","31"
"3085.257003966","31","31","31"
"3095.25705623","31","31","31"
"3105.256891394","31","31","31"
"3115.256581986","31","31","31"
"3125.256137642","31","31","31"
"3135.25623448","31","31","31"
"3145.256330452","31","31","31"
"3155.256828067","31","31","31"
"3165.25707205","31","31","31"
"3175.257011791","31","31","31"
"3185.256333175","31","31","31"
"3195.256577296","31","31","31"
"3205.256742669","31","31","31"
"3215.256055235","31","31","31"
"3225.257286852","31","31","31"
"3235.25624871","31","31","31"
"3245.256395005","31","31","31"
"3255.255985194","31","31","31"
"3265.256841679","31","31","31"
"3275.256495451","31","31","31"
"3285.256680205","31","31","31"
"3295.256396834","31","31","31"
"3305.256135629","31","31","31"
"3315.255910553","31","31","31"
"3325.256513405","31","31","31"
"3335.256252949","31","31","31"
"3345.256277567","31","31","31"
"3355.256670054","31","31","31"
"3365.256416611","31","31","31"
"3375.256431162","31","31","31"
"3385.2559569","31","31","31"
"3395.25634609","31","31","31"
"3405.257164309","31","31","31"
"3415.256727385","31","31","31"
"3425.256380513","31","31","31"
"3435.255850203","31","31","31"
"3445.256577727","31","31","31"
"3455.256607852","31","31","31"
"3465.25639037","31","31","31"
"3475.256140155","31","31","31"
"3485.256393155","31","31","31"
"3495.257505154","31","31","31"
"3505.257044536","31","31","31"
"3515.256617962","31","31","31"
"3525.256494485","31","31","31"
"3535.255891146","31","31","31"
"3545.25612657","31","31","31"
"3555.255990752","31","31","31"
"3565.257056336","31","31","31"
"3575.256524929","31","31","31"
"3585.256072887","31","31","31"
"3595.256850438","31","31","31"
"3605.256912424","31","31","31"
"3615.25698496","31","31","31"
"3625.256952633","31","31","31"
"3635.256176235","31","31","31"
"3645.256678567","31","31","31"
"3655.256336635","31","31","31"
"3665.256352133","31","31","31"
"3675.256925171","31","31","31"
"3685.256723456","31","31","31"
"3695.256548512","31","31","31"
"3705.257949271","31","31","31"
"3715.256476749","31","31","31"
"3725.256820596","31","31","31"
"3735.256584202","31","31","31"
"3745.256760734","31","31","31"
"3755.255983598","31","31","31"
"3765.256613773","31","31","31"
"3775.256547837","31","31","31"
"3785.256500096","31","31","31"
"3795.256153837","31","31","31"
"3805.256565045","31","31","31"
"3815.256205185","31","31","31"
"3825.256915517","31","31","31"
"3835.256910311","31","31","31"
"3845.256123786","31","31","31"
"3855.256396124","31","31","31"
"3865.256641033","31","31","31"
"3875.256692747","31","31","31"
"3885.25648808","31","31","31"
"3895.256646031","31","31","31"
"3905.256766264","31","31","31"
"3915.258628976","31","31","31"
"3925.257044093","31","31","31"
"3935.256449649","31","31","31"
"3945.256758073","31","31","31"
"3955.256783288","31","31","31"
"3965.256491609","31","31","31"
