"Relative Time (Process)","StudyAbroadGPT-7B-continued - system/proc.memory.rssMB","StudyAbroadGPT-7B-continued - system/proc.memory.rssMB__MIN","StudyAbroadGPT-7B-continued - system/proc.memory.rssMB__MAX"
"15.25775746","3898.2578125","3898.2578125","3898.2578125"
"25.256304886","1611.03515625","1611.03515625","1611.03515625"
"35.256166487","1848.91796875","1848.91796875","1848.91796875"
"45.256248151","2067.40625","2067.40625","2067.40625"
"55.256638911","2182.8046875","2182.8046875","2182.8046875"
"65.256049609","2189.62109375","2189.62109375","2189.62109375"
"75.256288117","4206.52734375","4206.52734375","4206.52734375"
"85.256440853","4206.65234375","4206.65234375","4206.65234375"
"95.255844461","4206.77734375","4206.77734375","4206.77734375"
"105.256358168","4208.77734375","4208.77734375","4208.77734375"
"115.256422058","4212.90234375","4212.90234375","4212.90234375"
"125.256566361","4212.90234375","4212.90234375","4212.90234375"
"135.256541987","5108.90234375","5108.90234375","5108.90234375"
"145.256739459","5108.90234375","5108.90234375","5108.90234375"
"155.256676409","5109.02734375","5109.02734375","5109.02734375"
"165.255865333","5109.15234375","5109.15234375","5109.15234375"
"175.255725164","5109.15234375","5109.15234375","5109.15234375"
"945.255796058","5176.90234375","5176.90234375","5176.90234375"
"955.25597522","5176.90234375","5176.90234375","5176.90234375"
"965.255800661","5176.90234375","5176.90234375","5176.90234375"
"975.25583691","5176.90234375","5176.90234375","5176.90234375"
"985.256487045","5176.90234375","5176.90234375","5176.90234375"
"995.256408785","5176.90234375","5176.90234375","5176.90234375"
"1005.256739888","5176.90234375","5176.90234375","5176.90234375"
"1015.255710961","5176.90234375","5176.90234375","5176.90234375"
"1035.257062615","5225.42578125","5225.42578125","5225.42578125"
"1045.256504806","5452.9921875","5452.9921875","5452.9921875"
"1055.256480766","5452.9921875","5452.9921875","5452.9921875"
"1065.257105506","5452.9921875","5452.9921875","5452.9921875"
"1075.255951909","5452.9921875","5452.9921875","5452.9921875"
"1085.256542976","5452.9921875","5452.9921875","5452.9921875"
"1095.256861898","5452.9921875","5452.9921875","5452.9921875"
"1105.256516167","5452.9921875","5452.9921875","5452.9921875"
"1115.256378072","5452.9921875","5452.9921875","5452.9921875"
"1125.255797019","5452.9921875","5452.9921875","5452.9921875"
"1135.255781974","5452.9921875","5452.9921875","5452.9921875"
"1145.256393601","5452.9921875","5452.9921875","5452.9921875"
"1155.256277173","5453.1171875","5453.1171875","5453.1171875"
"1165.256087796","5453.1171875","5453.1171875","5453.1171875"
"1175.256158506","5453.1171875","5453.1171875","5453.1171875"
"1185.256495144","5425.2109375","5425.2109375","5425.2109375"
"1195.256656413","5425.3359375","5425.3359375","5425.3359375"
"1205.256093527","5425.3359375","5425.3359375","5425.3359375"
"1215.255714512","5425.3359375","5425.3359375","5425.3359375"
"1225.256084346","5425.3359375","5425.3359375","5425.3359375"
"1235.256088923","5425.3359375","5425.3359375","5425.3359375"
"1245.256796185","5425.3359375","5425.3359375","5425.3359375"
"1255.256651888","5425.3359375","5425.3359375","5425.3359375"
"1265.255641428","5425.3359375","5425.3359375","5425.3359375"
"1275.256091315","5425.3359375","5425.3359375","5425.3359375"
"1285.256091763","5425.4609375","5425.4609375","5425.4609375"
"1295.256173224","5425.4609375","5425.4609375","5425.4609375"
"1305.255976688","5425.4609375","5425.4609375","5425.4609375"
"1315.256498161","5427.5859375","5427.5859375","5427.5859375"
"1325.256291917","5427.7109375","5427.7109375","5427.7109375"
"1335.256127062","5427.7109375","5427.7109375","5427.7109375"
"1345.256520435","5427.7109375","5427.7109375","5427.7109375"
"1355.255939648","5427.7109375","5427.7109375","5427.7109375"
"1365.256507249","5427.7109375","5427.7109375","5427.7109375"
"1375.255722434","5427.7109375","5427.7109375","5427.7109375"
"1385.256323877","5427.7109375","5427.7109375","5427.7109375"
"1395.256617766","5427.7109375","5427.7109375","5427.7109375"
"1405.256325162","5427.7109375","5427.7109375","5427.7109375"
"1415.25600085","5427.7109375","5427.7109375","5427.7109375"
"1425.255720939","5427.8359375","5427.8359375","5427.8359375"
"1435.256192136","5427.8359375","5427.8359375","5427.8359375"
"1445.256282404","5429.3359375","5429.3359375","5429.3359375"
"1455.256372232","5429.3984375","5429.3984375","5429.3984375"
"1465.256746313","5429.5859375","5429.5859375","5429.5859375"
"1475.255671573","5429.5859375","5429.5859375","5429.5859375"
"1485.25632786","5429.5859375","5429.5859375","5429.5859375"
"1495.25570031","5429.5859375","5429.5859375","5429.5859375"
"1505.256310724","5429.5859375","5429.5859375","5429.5859375"
"1515.256033746","5429.5859375","5429.5859375","5429.5859375"
"1525.256277136","5429.5859375","5429.5859375","5429.5859375"
"1535.256582207","5429.5859375","5429.5859375","5429.5859375"
"1545.256458027","5429.5859375","5429.5859375","5429.5859375"
"1555.25634967","5429.5859375","5429.5859375","5429.5859375"
"1565.256069809","5430.5859375","5430.5859375","5430.5859375"
"1575.255592626","5430.5859375","5430.5859375","5430.5859375"
"1585.255625923","5430.5859375","5430.5859375","5430.5859375"
"1595.257139297","5430.5859375","5430.5859375","5430.5859375"
"1605.256523517","5430.5859375","5430.5859375","5430.5859375"
"1615.255858024","5430.5859375","5430.5859375","5430.5859375"
"1625.256130686","5430.5859375","5430.5859375","5430.5859375"
"1635.256456431","5430.5859375","5430.5859375","5430.5859375"
"1645.256472418","5430.5859375","5430.5859375","5430.5859375"
"1655.256256156","5430.5859375","5430.5859375","5430.5859375"
"1665.256489282","5430.5859375","5430.5859375","5430.5859375"
"1675.255962279","5430.5859375","5430.5859375","5430.5859375"
"1685.256411023","5430.5859375","5430.5859375","5430.5859375"
"1695.256540683","5430.5859375","5430.5859375","5430.5859375"
"1705.256135976","5431.5859375","5431.5859375","5431.5859375"
"1715.255676481","5431.5859375","5431.5859375","5431.5859375"
"1725.255997655","5431.7109375","5431.7109375","5431.7109375"
"1735.256103247","5431.7109375","5431.7109375","5431.7109375"
"1745.255805166","5431.7109375","5431.7109375","5431.7109375"
"1755.255714093","5431.7109375","5431.7109375","5431.7109375"
"1765.256673186","5431.7109375","5431.7109375","5431.7109375"
"1775.255832192","5431.7109375","5431.7109375","5431.7109375"
"1785.256491461","5431.7109375","5431.7109375","5431.7109375"
"1795.256287547","5431.7109375","5431.7109375","5431.7109375"
"1805.256437381","5431.7109375","5431.7109375","5431.7109375"
"1815.258123575","5431.7109375","5431.7109375","5431.7109375"
"1825.255560185","5431.7109375","5431.7109375","5431.7109375"
"1835.25572201","5432.3359375","5432.3359375","5432.3359375"
"1845.256711556","5432.3359375","5432.3359375","5432.3359375"
"1855.256403735","5432.3359375","5432.3359375","5432.3359375"
"1865.256745588","5432.3359375","5432.3359375","5432.3359375"
"1875.256243222","5432.3359375","5432.3359375","5432.3359375"
"1885.25635429","5432.3359375","5432.3359375","5432.3359375"
"1895.25575708","5432.3359375","5432.3359375","5432.3359375"
"1905.256373347","5432.3359375","5432.3359375","5432.3359375"
"1915.256614054","5432.3359375","5432.3359375","5432.3359375"
"1925.256488701","5432.3359375","5432.3359375","5432.3359375"
"1935.256507848","5432.3359375","5432.3359375","5432.3359375"
"1945.255803343","5432.3359375","5432.3359375","5432.3359375"
"1955.257127223","5432.3359375","5432.3359375","5432.3359375"
"1965.255938964","5432.3359375","5432.3359375","5432.3359375"
"1975.256432718","5432.7109375","5432.7109375","5432.7109375"
"1985.255743797","5432.7109375","5432.7109375","5432.7109375"
"1995.256397765","5432.7109375","5432.7109375","5432.7109375"
"2005.256090314","5432.7109375","5432.7109375","5432.7109375"
"2015.256166408","5432.7109375","5432.7109375","5432.7109375"
"2025.256485566","5432.7109375","5432.7109375","5432.7109375"
"2035.256266606","5432.7109375","5432.7109375","5432.7109375"
"2045.256178856","5432.7109375","5432.7109375","5432.7109375"
"2055.256480225","5432.7109375","5432.7109375","5432.7109375"
"2065.257106648","5432.7109375","5432.7109375","5432.7109375"
"2075.255703753","5432.7109375","5432.7109375","5432.7109375"
"2085.25608139","5432.7109375","5432.7109375","5432.7109375"
"2095.256352891","5432.7109375","5432.7109375","5432.7109375"
"2105.256396149","5433.2109375","5433.2109375","5433.2109375"
"2115.256299317","5433.2109375","5433.2109375","5433.2109375"
"2125.256918165","5433.2109375","5433.2109375","5433.2109375"
"2135.256495673","5433.2109375","5433.2109375","5433.2109375"
"2145.256561277","5433.2109375","5433.2109375","5433.2109375"
"2155.256018428","5433.2109375","5433.2109375","5433.2109375"
"2165.255587264","5433.2109375","5433.2109375","5433.2109375"
"2175.256169969","5433.2109375","5433.2109375","5433.2109375"
"2185.255551659","5433.2109375","5433.2109375","5433.2109375"
"2195.256173092","5433.2109375","5433.2109375","5433.2109375"
"2205.256069324","5433.2109375","5433.2109375","5433.2109375"
"2215.255973947","5433.2109375","5433.2109375","5433.2109375"
"2225.256200727","5433.2109375","5433.2109375","5433.2109375"
"2235.255986626","5433.3359375","5433.3359375","5433.3359375"
"2245.256370586","5433.3359375","5433.3359375","5433.3359375"
"2255.255950978","5433.3359375","5433.3359375","5433.3359375"
"2265.255609006","5433.3359375","5433.3359375","5433.3359375"
"2275.256371942","5433.3359375","5433.3359375","5433.3359375"
"2285.25641525","5433.3359375","5433.3359375","5433.3359375"
"2295.256281833","5433.3359375","5433.3359375","5433.3359375"
"2305.255932914","5433.3359375","5433.3359375","5433.3359375"
"2315.256322338","5433.3359375","5433.3359375","5433.3359375"
"2325.256070491","5433.3359375","5433.3359375","5433.3359375"
"2335.256638328","5433.3359375","5433.3359375","5433.3359375"
"2345.256840933","5433.3359375","5433.3359375","5433.3359375"
"2355.255670402","5433.5859375","5433.5859375","5433.5859375"
"2365.256078738","5433.5859375","5433.5859375","5433.5859375"
"2375.25592801","5433.5859375","5433.5859375","5433.5859375"
"2385.255741801","5433.5859375","5433.5859375","5433.5859375"
"2395.256083269","5433.5859375","5433.5859375","5433.5859375"
"2405.25620133","5433.5859375","5433.5859375","5433.5859375"
"2415.255612681","5433.5859375","5433.5859375","5433.5859375"
"2425.255791698","5433.5859375","5433.5859375","5433.5859375"
"2435.256121827","5433.5859375","5433.5859375","5433.5859375"
"2445.256983408","5433.5859375","5433.5859375","5433.5859375"
"2455.256431596","5433.5859375","5433.5859375","5433.5859375"
"2465.256300687","5433.5859375","5433.5859375","5433.5859375"
"2475.25650867","5433.5859375","5433.5859375","5433.5859375"
"2485.25640483","5433.7109375","5433.7109375","5433.7109375"
"2495.255980284","5433.7109375","5433.7109375","5433.7109375"
"2505.257266051","5433.7109375","5433.7109375","5433.7109375"
"2515.255650327","5433.7109375","5433.7109375","5433.7109375"
"2525.256291999","5433.7109375","5433.7109375","5433.7109375"
"2535.255603296","5433.7109375","5433.7109375","5433.7109375"
"2545.256598379","5433.7109375","5433.7109375","5433.7109375"
