"train/global_step","StudyAbroadGPT-7B-continued - _step","StudyAbroadGPT-7B-continued - _step__MIN","StudyAbroadGPT-7B-continued - _step__MAX","StudyAbroadGPT-7B-continued - train/epoch","StudyAbroadGPT-7B-continued - train/epoch__MIN","StudyAbroadGPT-7B-continued - train/epoch__MAX"
"0","0","0","0","0.014059753954305799","0.014059753954305799","0.014059753954305799"
"1","1.5","1","2","0.0210896309314587","0.014059753954305799","0.028119507908611598"
"2","3.5","3","4","0.035149384885764495","0.028119507908611598","0.0421792618629174"
"3","5.5","5","6","0.0492091388400703","0.0421792618629174","0.056239015817223195"
"4","7.5","7","8","0.0632688927943761","0.056239015817223195","0.070298769771529"
"5","9.5","9","10","0.0773286467486819","0.070298769771529","0.0843585237258348"
"6","11.5","11","12","0.0913884007029877","0.0843585237258348","0.0984182776801406"
"7","13.5","13","14","0.10544815465729349","0.0984182776801406","0.11247803163444639"
"8","15.5","15","16","0.1195079086115993","0.11247803163444639","0.1265377855887522"
"9","17.5","17","18","0.1335676625659051","0.1265377855887522","0.140597539543058"
"10","19.5","19","20","0.14762741652021089","0.140597539543058","0.1546572934973638"
"11","21.5","21","22","0.1616871704745167","0.1546572934973638","0.1687170474516696"
"12","23.5","23","24","0.1757469244288225","0.1687170474516696","0.1827768014059754"
"13","25.5","25","26","0.1898066783831283","0.1827768014059754","0.1968365553602812"
"14","27.5","27","28","0.2038664323374341","0.1968365553602812","0.210896309314587"
"15","29.5","29","30","0.21792618629173988","0.210896309314587","0.22495606326889278"
"16","31.5","31","32","0.23198594024604569","0.22495606326889278","0.2390158172231986"
"17","33.5","33","34","0.2460456942003515","0.2390158172231986","0.2530755711775044"
"18","35.5","35","36","0.2601054481546573","0.2530755711775044","0.2671353251318102"
"19","37.5","37","38","0.2741652021089631","0.2671353251318102","0.281195079086116"
"20","39.5","39","40","0.2882249560632689","0.281195079086116","0.29525483304042177"
"21","41.5","41","42","0.3022847100175747","0.29525483304042177","0.3093145869947276"
"22","43.5","43","44","0.3163444639718805","0.3093145869947276","0.3233743409490334"
"23","45.5","45","46","0.3304042179261863","0.3233743409490334","0.3374340949033392"
"24","47.5","47","48","0.3444639718804921","0.3374340949033392","0.351493848857645"
"25","49.5","49","50","0.3585237258347979","0.351493848857645","0.3655536028119508"
"26","51.5","51","52","0.37258347978910367","0.3655536028119508","0.37961335676625657"
"27","53.5","53","54","0.3866432337434095","0.37961335676625657","0.3936731107205624"
"28","55.5","55","56","0.4007029876977153","0.3936731107205624","0.4077328646748682"
"29","57.5","57","58","0.4147627416520211","0.4077328646748682","0.421792618629174"
"30","59.5","59","60","0.4288224956063269","0.421792618629174","0.4358523725834798"
"31","61.5","61","62","0.4428822495606327","0.4358523725834798","0.44991212653778556"
"32","63.5","63","64","0.45694200351493847","0.44991212653778556","0.46397188049209137"
"33","65.5","65","66","0.4710017574692443","0.46397188049209137","0.4780316344463972"
"34","67.5","67","68","0.4850615114235501","0.4780316344463972","0.492091388400703"
"35","69.5","69","70","0.4991212653778559","0.492091388400703","0.5061511423550088"
"36","71.5","71","72","0.5131810193321618","0.5061511423550088","0.5202108963093146"
"37","73.5","73","74","0.5272407732864675","0.5202108963093146","0.5342706502636204"
"38","75.5","75","76","0.5413005272407734","0.5342706502636204","0.5483304042179262"
"39","77.5","77","78","0.5553602811950791","0.5483304042179262","0.562390158172232"
"40","79.5","79","80","0.5694200351493849","0.562390158172232","0.5764499121265377"
"41","81.5","81","82","0.5834797891036907","0.5764499121265377","0.5905096660808435"
"42","83.5","83","84","0.5975395430579964","0.5905096660808435","0.6045694200351494"
"43","85.5","85","86","0.6115992970123023","0.6045694200351494","0.6186291739894552"
"44","87.5","87","88","0.625659050966608","0.6186291739894552","0.632688927943761"
"45","89.5","89","90","0.6397188049209139","0.632688927943761","0.6467486818980668"
"46","91.5","91","92","0.6537785588752196","0.6467486818980668","0.6608084358523726"
"47","93.5","93","94","0.6678383128295255","0.6608084358523726","0.6748681898066784"
"48","95.5","95","96","0.6818980667838312","0.6748681898066784","0.6889279437609842"
"49","97.5","97","98","0.6959578207381372","0.6889279437609842","0.70298769771529"
"50","99.5","99","100","0.7100175746924429","0.70298769771529","0.7170474516695958"
"51","101.5","101","102","0.7240773286467488","0.7170474516695958","0.7311072056239016"
"52","103.5","103","104","0.7381370826010545","0.7311072056239016","0.7451669595782073"
"53","105.5","105","106","0.7521968365553602","0.7451669595782073","0.7592267135325131"
"54","107.5","107","108","0.7662565905096661","0.7592267135325131","0.773286467486819"
"55","109.5","109","110","0.7803163444639718","0.773286467486819","0.7873462214411248"
"56","111.5","111","112","0.7943760984182777","0.7873462214411248","0.8014059753954306"
"57","113.5","113","114","0.8084358523725834","0.8014059753954306","0.8154657293497364"
"58","115.5","115","116","0.8224956063268893","0.8154657293497364","0.8295254833040422"
"59","117.5","117","118","0.836555360281195","0.8295254833040422","0.843585237258348"
"60","119.5","119","120","0.850615114235501","0.843585237258348","0.8576449912126538"
"61","121.5","121","122","0.8646748681898067","0.8576449912126538","0.8717047451669596"
"62","123.5","123","124","0.8787346221441126","0.8717047451669596","0.8857644991212654"
"63","125.5","125","126","0.8927943760984183","0.8857644991212654","0.8998242530755711"
"64","127.5","127","128","0.906854130052724","0.8998242530755711","0.9138840070298769"
"65","129.5","129","130","0.9209138840070299","0.9138840070298769","0.9279437609841827"
"66","131.5","131","132","0.9349736379613356","0.9279437609841827","0.9420035149384886"
"67","133.5","133","134","0.9490333919156415","0.9420035149384886","0.9560632688927944"
"68","135.5","135","136","0.9630931458699472","0.9560632688927944","0.9701230228471002"
"69","137.5","137","138","0.9771528998242531","0.9701230228471002","0.984182776801406"
"70","139.5","139","140","0.9912126537785588","0.984182776801406","0.9982425307557118"
"71","141.5","141","142","0.9991212653778558","0.9982425307557118","1"
"72","144","143","145","1.0070298769771528","1","1.0140597539543057"
"73","146.5","146","147","1.0210896309314585","1.0140597539543057","1.0281195079086116"
"74","148.5","148","149","1.0351493848857645","1.0281195079086116","1.0421792618629173"
"75","150.5","150","151","1.0492091388400704","1.0421792618629173","1.0562390158172232"
"76","152.5","152","153","1.063268892794376","1.0562390158172232","1.070298769771529"
"77","154.5","154","155","1.0773286467486818","1.070298769771529","1.0843585237258349"
"78","156.5","156","157","1.0913884007029877","1.0843585237258349","1.0984182776801406"
"79","158.5","158","159","1.1054481546572936","1.0984182776801406","1.1124780316344465"
"80","160.5","160","161","1.1195079086115993","1.1124780316344465","1.1265377855887522"
"81","162.5","162","163","1.133567662565905","1.1265377855887522","1.140597539543058"
"82","164.5","164","165","1.147627416520211","1.140597539543058","1.1546572934973638"
"83","166.5","166","167","1.1616871704745169","1.1546572934973638","1.1687170474516697"
"84","168.5","168","169","1.1757469244288226","1.1687170474516697","1.1827768014059754"
"85","170.5","170","171","1.1898066783831283","1.1827768014059754","1.196836555360281"
"86","172.5","172","173","1.203866432337434","1.196836555360281","1.210896309314587"
"87","174.5","174","175","1.2179261862917399","1.210896309314587","1.2249560632688927"
"88","176.5","176","177","1.2319859402460458","1.2249560632688927","1.2390158172231986"
"89","178.5","178","179","1.2460456942003515","1.2390158172231986","1.2530755711775043"
"90","180.5","180","181","1.2601054481546572","1.2530755711775043","1.2671353251318103"
"91","182.5","182","183","1.2741652021089631","1.2671353251318103","1.281195079086116"
"92","184.5","184","185","1.288224956063269","1.281195079086116","1.2952548330404219"
"93","186.5","186","187","1.3022847100175747","1.2952548330404219","1.3093145869947276"
"94","188.5","188","189","1.3163444639718804","1.3093145869947276","1.3233743409490333"
"95","190.5","190","191","1.3304042179261861","1.3233743409490333","1.3374340949033392"
"96","192.5","192","193","1.3444639718804923","1.3374340949033392","1.3514938488576451"
"97","194.5","194","195","1.358523725834798","1.3514938488576451","1.3655536028119508"
"98","196.5","196","197","1.3725834797891037","1.3655536028119508","1.3796133567662565"
"99","198.5","198","199","1.3866432337434094","1.3796133567662565","1.3936731107205624"
"100","200.5","200","201","1.4007029876977153","1.3936731107205624","1.4077328646748681"
"101","202.5","202","203","1.4147627416520212","1.4077328646748681","1.421792618629174"
"102","204.5","204","205","1.428822495606327","1.421792618629174","1.4358523725834798"
"103","206.5","206","207","1.4428822495606326","1.4358523725834798","1.4499121265377855"
"104","208.5","208","209","1.4569420035149383","1.4499121265377855","1.4639718804920914"
"105","210.5","210","211","1.4710017574692444","1.4639718804920914","1.4780316344463973"
"106","212.5","212","213","1.4850615114235501","1.4780316344463973","1.492091388400703"
"107","214.5","214","215","1.4991212653778558","1.492091388400703","1.5061511423550087"
"108","216.5","216","217","1.5131810193321615","1.5061511423550087","1.5202108963093146"
"109","218.5","218","219","1.5272407732864677","1.5202108963093146","1.5342706502636205"
"110","220.5","220","221","1.5413005272407734","1.5342706502636205","1.5483304042179262"
"111","222.5","222","223","1.555360281195079","1.5483304042179262","1.562390158172232"
"112","224.5","224","225","1.5694200351493848","1.562390158172232","1.5764499121265376"
"113","226.5","226","227","1.5834797891036905","1.5764499121265376","1.5905096660808435"
"114","228.5","228","229","1.5975395430579966","1.5905096660808435","1.6045694200351495"
"115","230.5","230","231","1.6115992970123023","1.6045694200351495","1.6186291739894552"
"116","232.5","232","233","1.625659050966608","1.6186291739894552","1.6326889279437609"
"117","234.5","234","235","1.6397188049209137","1.6326889279437609","1.6467486818980668"
"118","236.5","236","237","1.6537785588752199","1.6467486818980668","1.6608084358523727"
"119","238.5","238","239","1.6678383128295255","1.6608084358523727","1.6748681898066784"
"120","240.5","240","241","1.6818980667838312","1.6748681898066784","1.688927943760984"
