"Step","StudyAbroadGPT-7B-continued - train/global_step","StudyAbroadGPT-7B-continued - train/global_step__MIN","StudyAbroadGPT-7B-continued - train/global_step__MAX"
"0","0","0","0"
"1","1","1","1"
"2","1","1","1"
"3","2","2","2"
"4","2","2","2"
"5","3","3","3"
"6","3","3","3"
"7","4","4","4"
"8","4","4","4"
"9","5","5","5"
"10","5","5","5"
"11","6","6","6"
"12","6","6","6"
"13","7","7","7"
"14","7","7","7"
"15","8","8","8"
"16","8","8","8"
"17","9","9","9"
"18","9","9","9"
"19","10","10","10"
"20","10","10","10"
"21","11","11","11"
"22","11","11","11"
"23","12","12","12"
"24","12","12","12"
"25","13","13","13"
"26","13","13","13"
"27","14","14","14"
"28","14","14","14"
"29","15","15","15"
"30","15","15","15"
"31","16","16","16"
"32","16","16","16"
"33","17","17","17"
"34","17","17","17"
"35","18","18","18"
"36","18","18","18"
"37","19","19","19"
"38","19","19","19"
"39","20","20","20"
"40","20","20","20"
"41","21","21","21"
"42","21","21","21"
"43","22","22","22"
"44","22","22","22"
"45","23","23","23"
"46","23","23","23"
"47","24","24","24"
"48","24","24","24"
"49","25","25","25"
"50","25","25","25"
"51","26","26","26"
"52","26","26","26"
"53","27","27","27"
"54","27","27","27"
"55","28","28","28"
"56","28","28","28"
"57","29","29","29"
"58","29","29","29"
"59","30","30","30"
"60","30","30","30"
"61","31","31","31"
"62","31","31","31"
"63","32","32","32"
"64","32","32","32"
"65","33","33","33"
"66","33","33","33"
"67","34","34","34"
"68","34","34","34"
"69","35","35","35"
"70","35","35","35"
"71","36","36","36"
"72","36","36","36"
"73","37","37","37"
"74","37","37","37"
"75","38","38","38"
"76","38","38","38"
"77","39","39","39"
"78","39","39","39"
"79","40","40","40"
"80","40","40","40"
"81","41","41","41"
"82","41","41","41"
"83","42","42","42"
"84","42","42","42"
"85","43","43","43"
"86","43","43","43"
"87","44","44","44"
"88","44","44","44"
"89","45","45","45"
"90","45","45","45"
"91","46","46","46"
"92","46","46","46"
"93","47","47","47"
"94","47","47","47"
"95","48","48","48"
"96","48","48","48"
"97","49","49","49"
"98","49","49","49"
"99","50","50","50"
"100","50","50","50"
"101","51","51","51"
"102","51","51","51"
"103","52","52","52"
"104","52","52","52"
"105","53","53","53"
"106","53","53","53"
"107","54","54","54"
