"train/global_step","StudyAbroadGPT-7B-continued - _step","StudyAbroadGPT-7B-continued - _step__MIN","StudyAbroadGPT-7B-continued - _step__MAX","StudyAbroadGPT-7B-continued - train/grad_norm","StudyAbroadGPT-7B-continued - train/grad_norm__MIN","StudyAbroadGPT-7B-continued - train/grad_norm__MAX"
"1","1","1","1","0.38930219411849976","0.38930219411849976","0.38930219411849976"
"2","3","3","3","0.3213101625442505","0.3213101625442505","0.3213101625442505"
"3","5","5","5","0.2760506868362427","0.2760506868362427","0.2760506868362427"
"4","7","7","7","0.25960773229599","0.25960773229599","0.25960773229599"
"5","9","9","9","0.2398909330368042","0.2398909330368042","0.2398909330368042"
"6","11","11","11","0.261783629655838","0.261783629655838","0.261783629655838"
"7","13","13","13","0.3731968104839325","0.3731968104839325","0.3731968104839325"
"8","15","15","15","0.3284946084022522","0.3284946084022522","0.3284946084022522"
"9","17","17","17","0.30992478132247925","0.30992478132247925","0.30992478132247925"
"10","19","19","19","0.29299694299697876","0.29299694299697876","0.29299694299697876"
"11","21","21","21","0.29404217004776","0.29404217004776","0.29404217004776"
"12","23","23","23","0.2855037748813629","0.2855037748813629","0.2855037748813629"
"13","25","25","25","0.2769310176372528","0.2769310176372528","0.2769310176372528"
"14","27","27","27","0.27803951501846313","0.27803951501846313","0.27803951501846313"
"15","29","29","29","0.28509414196014404","0.28509414196014404","0.28509414196014404"
"16","31","31","31","0.2806539833545685","0.2806539833545685","0.2806539833545685"
"17","33","33","33","0.27260148525238037","0.27260148525238037","0.27260148525238037"
"18","35","35","35","0.30068159103393555","0.30068159103393555","0.30068159103393555"
"19","37","37","37","0.29787179827690125","0.29787179827690125","0.29787179827690125"
"20","39","39","39","0.3091053068637848","0.3091053068637848","0.3091053068637848"
"21","41","41","41","0.31350451707839966","0.31350451707839966","0.31350451707839966"
"22","43","43","43","0.28583091497421265","0.28583091497421265","0.28583091497421265"
"23","45","45","45","0.29433563351631165","0.29433563351631165","0.29433563351631165"
"24","47","47","47","0.2857828438282013","0.2857828438282013","0.2857828438282013"
"25","49","49","49","0.27516019344329834","0.27516019344329834","0.27516019344329834"
"26","51","51","51","0.2877040207386017","0.2877040207386017","0.2877040207386017"
"27","53","53","53","0.2753433883190155","0.2753433883190155","0.2753433883190155"
"28","55","55","55","0.27805453538894653","0.27805453538894653","0.27805453538894653"
"29","57","57","57","0.2793097198009491","0.2793097198009491","0.2793097198009491"
"30","59","59","59","0.2857854664325714","0.2857854664325714","0.2857854664325714"
"31","61","61","61","0.28992387652397156","0.28992387652397156","0.28992387652397156"
"32","63","63","63","0.307567298412323","0.307567298412323","0.307567298412323"
"33","65","65","65","0.2984226644039154","0.2984226644039154","0.2984226644039154"
"34","67","67","67","0.2860141694545746","0.2860141694545746","0.2860141694545746"
"35","69","69","69","0.3148638904094696","0.3148638904094696","0.3148638904094696"
"36","71","71","71","0.2938339412212372","0.2938339412212372","0.2938339412212372"
"37","73","73","73","0.2915613353252411","0.2915613353252411","0.2915613353252411"
"38","75","75","75","0.2813927233219147","0.2813927233219147","0.2813927233219147"
"39","77","77","77","0.2915630340576172","0.2915630340576172","0.2915630340576172"
"40","79","79","79","0.2831348180770874","0.2831348180770874","0.2831348180770874"
"41","81","81","81","0.2816983163356781","0.2816983163356781","0.2816983163356781"
"42","83","83","83","0.27409446239471436","0.27409446239471436","0.27409446239471436"
"43","85","85","85","0.2759629487991333","0.2759629487991333","0.2759629487991333"
"44","87","87","87","0.29210221767425537","0.29210221767425537","0.29210221767425537"
"45","89","89","89","0.29411157965660095","0.29411157965660095","0.29411157965660095"
"46","91","91","91","0.281951904296875","0.281951904296875","0.281951904296875"
"47","93","93","93","0.2899705469608307","0.2899705469608307","0.2899705469608307"
"48","95","95","95","0.27880385518074036","0.27880385518074036","0.27880385518074036"
"49","97","97","97","0.2950119972229004","0.2950119972229004","0.2950119972229004"
"50","99","99","99","0.298566073179245","0.298566073179245","0.298566073179245"
"51","101","101","101","0.2925201952457428","0.2925201952457428","0.2925201952457428"
"52","103","103","103","0.2926374673843384","0.2926374673843384","0.2926374673843384"
"53","105","105","105","0.27730095386505127","0.27730095386505127","0.27730095386505127"
"54","107","107","107","0.280107706785202","0.280107706785202","0.280107706785202"
"55","109","109","109","0.2676478624343872","0.2676478624343872","0.2676478624343872"
"56","111","111","111","0.28635022044181824","0.28635022044181824","0.28635022044181824"
"57","113","113","113","0.2814277112483978","0.2814277112483978","0.2814277112483978"
"58","115","115","115","0.2775847613811493","0.2775847613811493","0.2775847613811493"
"59","117","117","117","0.29387709498405457","0.29387709498405457","0.29387709498405457"
"60","119","119","119","0.2721101641654968","0.2721101641654968","0.2721101641654968"
"61","121","121","121","0.2872217893600464","0.2872217893600464","0.2872217893600464"
"62","123","123","123","0.26836636662483215","0.26836636662483215","0.26836636662483215"
"63","125","125","125","0.2778521180152893","0.2778521180152893","0.2778521180152893"
"64","127","127","127","0.27837321162223816","0.27837321162223816","0.27837321162223816"
"65","129","129","129","0.29206717014312744","0.29206717014312744","0.29206717014312744"
"66","131","131","131","0.2713017165660858","0.2713017165660858","0.2713017165660858"
"67","133","133","133","0.26380297541618347","0.26380297541618347","0.26380297541618347"
"68","135","135","135","0.292814165353775","0.292814165353775","0.292814165353775"
"69","137","137","137","0.2676559388637543","0.2676559388637543","0.2676559388637543"
"70","139","139","139","0.2773151695728302","0.2773151695728302","0.2773151695728302"
"71","141","141","141","0.28528574109077454","0.28528574109077454","0.28528574109077454"
"72","143","143","143","1.0886648893356323","1.0886648893356323","1.0886648893356323"
"73","146","146","146","0.40504422783851624","0.40504422783851624","0.40504422783851624"
"74","148","148","148","0.39565348625183105","0.39565348625183105","0.39565348625183105"
"75","150","150","150","0.3676312267780304","0.3676312267780304","0.3676312267780304"
"76","152","152","152","0.31668588519096375","0.31668588519096375","0.31668588519096375"
"77","154","154","154","0.2939896285533905","0.2939896285533905","0.2939896285533905"
"78","156","156","156","0.2792867422103882","0.2792867422103882","0.2792867422103882"
"79","158","158","158","0.30073243379592896","0.30073243379592896","0.30073243379592896"
"80","160","160","160","0.2850273549556732","0.2850273549556732","0.2850273549556732"
"81","162","162","162","0.3160538077354431","0.3160538077354431","0.3160538077354431"
"82","164","164","164","0.3213575482368469","0.3213575482368469","0.3213575482368469"
"83","166","166","166","0.3255126476287842","0.3255126476287842","0.3255126476287842"
"84","168","168","168","0.3158552944660187","0.3158552944660187","0.3158552944660187"
"85","170","170","170","0.32860979437828064","0.32860979437828064","0.32860979437828064"
"86","172","172","172","0.31321144104003906","0.31321144104003906","0.31321144104003906"
"87","174","174","174","0.3135826289653778","0.3135826289653778","0.3135826289653778"
"88","176","176","176","0.32195308804512024","0.32195308804512024","0.32195308804512024"
"89","178","178","178","0.30208781361579895","0.30208781361579895","0.30208781361579895"
"90","180","180","180","0.29228639602661133","0.29228639602661133","0.29228639602661133"
"91","182","182","182","0.28133419156074524","0.28133419156074524","0.28133419156074524"
"92","184","184","184","0.2963568866252899","0.2963568866252899","0.2963568866252899"
"93","186","186","186","0.2823714017868042","0.2823714017868042","0.2823714017868042"
"94","188","188","188","0.28863048553466797","0.28863048553466797","0.28863048553466797"
"95","190","190","190","0.27665427327156067","0.27665427327156067","0.27665427327156067"
