"train/global_step","StudyAbroadGPT-7B-continued - _step","StudyAbroadGPT-7B-continued - _step__MIN","StudyAbroadGPT-7B-continued - _step__MAX","StudyAbroadGPT-7B-continued - train/loss","StudyAbroadGPT-7B-continued - train/loss__MIN","StudyAbroadGPT-7B-continued - train/loss__MAX"
"0","0","0","0","0","0","0"
"1","1.5","1","2","0.4343","0.4343","0.4343"
"2","3.5","3","4","0.4055","0.4055","0.4055"
"3","5.5","5","6","0.392","0.392","0.392"
"4","7.5","7","8","0.3697","0.3697","0.3697"
"5","9.5","9","10","0.379","0.379","0.379"
"6","11.5","11","12","0.3671","0.3671","0.3671"
"7","13.5","13","14","0.3633","0.3633","0.3633"
"8","15.5","15","16","0.3558","0.3558","0.3558"
"9","17.5","17","18","0.356","0.356","0.356"
"10","19.5","19","20","0.3521","0.3521","0.3521"
"11","21.5","21","22","0.3728","0.3728","0.3728"
"12","23.5","23","24","0.3691","0.3691","0.3691"
"13","25.5","25","26","0.3555","0.3555","0.3555"
"14","27.5","27","28","0.3484","0.3484","0.3484"
"15","29.5","29","30","0.3592","0.3592","0.3592"
"16","31.5","31","32","0.358","0.358","0.358"
"17","33.5","33","34","0.3394","0.3394","0.3394"
"18","35.5","35","36","0.3554","0.3554","0.3554"
"19","37.5","37","38","0.3639","0.3639","0.3639"
"20","39.5","39","40","0.3673","0.3673","0.3673"
"21","41.5","41","42","0.3565","0.3565","0.3565"
"22","43.5","43","44","0.3539","0.3539","0.3539"
"23","45.5","45","46","0.358","0.358","0.358"
"24","47.5","47","48","0.3512","0.3512","0.3512"
"25","49.5","49","50","0.3551","0.3551","0.3551"
"26","51.5","51","52","0.3595","0.3595","0.3595"
"27","53.5","53","54","0.3553","0.3553","0.3553"
"28","55.5","55","56","0.331","0.331","0.331"
"29","57.5","57","58","0.3632","0.3632","0.3632"
"30","59.5","59","60","0.3568","0.3568","0.3568"
"31","61.5","61","62","0.363","0.363","0.363"
"32","63.5","63","64","0.3628","0.3628","0.3628"
"33","65.5","65","66","0.3676","0.3676","0.3676"
"34","67.5","67","68","0.3589","0.3589","0.3589"
"35","69.5","69","70","0.3933","0.3933","0.3933"
"36","71.5","71","72","0.3536","0.3536","0.3536"
"37","73.5","73","74","0.3931","0.3931","0.3931"
"38","75.5","75","76","0.3705","0.3705","0.3705"
"39","77.5","77","78","0.3879","0.3879","0.3879"
"40","79.5","79","80","0.3812","0.3812","0.3812"
"41","81.5","81","82","0.377","0.377","0.377"
"42","83.5","83","84","0.3844","0.3844","0.3844"
"43","85.5","85","86","0.3798","0.3798","0.3798"
"44","87.5","87","88","0.3986","0.3986","0.3986"
"45","89.5","89","90","0.3921","0.3921","0.3921"
"46","91.5","91","92","0.3957","0.3957","0.3957"
"47","93.5","93","94","0.4047","0.4047","0.4047"
"48","95.5","95","96","0.388","0.388","0.388"
"49","97.5","97","98","0.3913","0.3913","0.3913"
"50","99.5","99","100","0.4092","0.4092","0.4092"
"51","101.5","101","102","0.4112","0.4112","0.4112"
"52","103.5","103","104","0.4152","0.4152","0.4152"
"53","105.5","105","106","0.4131","0.4131","0.4131"
"54","107.5","107","108","0.4136","0.4136","0.4136"
"55","109.5","109","110","0.4173","0.4173","0.4173"
"56","111.5","111","112","0.4246","0.4246","0.4246"
"57","113.5","113","114","0.4333","0.4333","0.4333"
"58","115.5","115","116","0.4276","0.4276","0.4276"
"59","117.5","117","118","0.4413","0.4413","0.4413"
"60","119.5","119","120","0.454","0.454","0.454"
"61","121.5","121","122","0.4428","0.4428","0.4428"
"62","123.5","123","124","0.4384","0.4384","0.4384"
"63","125.5","125","126","0.4477","0.4477","0.4477"
"64","127.5","127","128","0.4476","0.4476","0.4476"
"65","129.5","129","130","0.4638","0.4638","0.4638"
"66","131.5","131","132","0.4384","0.4384","0.4384"
"67","133.5","133","134","0.4417","0.4417","0.4417"
"68","135.5","135","136","0.4545","0.4545","0.4545"
"69","137.5","137","138","0.4478","0.4478","0.4478"
"70","139.5","139","140","0.4637","0.4637","0.4637"
"71","141.5","141","142","0.4921","0.4921","0.4921"
"72","144","143","145","0.5169","0.5169","0.5169"
"73","146.5","146","147","0.3457","0.3457","0.3457"
"74","148.5","148","149","0.3445","0.3445","0.3445"
"75","150.5","150","151","0.3652","0.3652","0.3652"
"76","152.5","152","153","0.3548","0.3548","0.3548"
"77","154.5","154","155","0.3476","0.3476","0.3476"
"78","156.5","156","157","0.3434","0.3434","0.3434"
"79","158.5","158","159","0.3323","0.3323","0.3323"
"80","160.5","160","161","0.3323","0.3323","0.3323"
"81","162.5","162","163","0.3516","0.3516","0.3516"
"82","164.5","164","165","0.3457","0.3457","0.3457"
"83","166.5","166","167","0.3475","0.3475","0.3475"
"84","168.5","168","169","0.3337","0.3337","0.3337"
"85","170.5","170","171","0.3389","0.3389","0.3389"
"86","172.5","172","173","0.3366","0.3366","0.3366"
"87","174.5","174","175","0.3405","0.3405","0.3405"
"88","176.5","176","177","0.3292","0.3292","0.3292"
"89","178.5","178","179","0.345","0.345","0.345"
"90","180.5","180","181","0.3249","0.3249","0.3249"
"91","182.5","182","183","0.3288","0.3288","0.3288"
"92","184.5","184","185","0.3443","0.3443","0.3443"
"93","186.5","186","187","0.3196","0.3196","0.3196"
