"train/global_step","StudyAbroadGPT-7B-continued - _step","StudyAbroadGPT-7B-continued - _step__MIN","StudyAbroadGPT-7B-continued - _step__MAX","StudyAbroadGPT-7B-continued - train/step","StudyAbroadGPT-7B-continued - train/step__MIN","StudyAbroadGPT-7B-continued - train/step__MAX"
"0","0","0","0","1","1","1"
"1","2","2","2","2","2","2"
"2","4","4","4","3","3","3"
"3","6","6","6","4","4","4"
"4","8","8","8","5","5","5"
"5","10","10","10","6","6","6"
"6","12","12","12","7","7","7"
"7","14","14","14","8","8","8"
"8","16","16","16","9","9","9"
"9","18","18","18","10","10","10"
"10","20","20","20","11","11","11"
"11","22","22","22","12","12","12"
"12","24","24","24","13","13","13"
"13","26","26","26","14","14","14"
"14","28","28","28","15","15","15"
"15","30","30","30","16","16","16"
"16","32","32","32","17","17","17"
"17","34","34","34","18","18","18"
"18","36","36","36","19","19","19"
"19","38","38","38","20","20","20"
"20","40","40","40","21","21","21"
"21","42","42","42","22","22","22"
"22","44","44","44","23","23","23"
"23","46","46","46","24","24","24"
"24","48","48","48","25","25","25"
"25","50","50","50","26","26","26"
"26","52","52","52","27","27","27"
"27","54","54","54","28","28","28"
"28","56","56","56","29","29","29"
"29","58","58","58","30","30","30"
"30","60","60","60","31","31","31"
"31","62","62","62","32","32","32"
"32","64","64","64","33","33","33"
"33","66","66","66","34","34","34"
"34","68","68","68","35","35","35"
"35","70","70","70","36","36","36"
"36","72","72","72","37","37","37"
"37","74","74","74","38","38","38"
"38","76","76","76","39","39","39"
"39","78","78","78","40","40","40"
"40","80","80","80","41","41","41"
"41","82","82","82","42","42","42"
"42","84","84","84","43","43","43"
"43","86","86","86","44","44","44"
"44","88","88","88","45","45","45"
"45","90","90","90","46","46","46"
"46","92","92","92","47","47","47"
"47","94","94","94","48","48","48"
"48","96","96","96","49","49","49"
"49","98","98","98","50","50","50"
"50","100","100","100","51","51","51"
"51","102","102","102","52","52","52"
"52","104","104","104","53","53","53"
"53","106","106","106","54","54","54"
"54","108","108","108","55","55","55"
"55","110","110","110","56","56","56"
"56","112","112","112","57","57","57"
"57","114","114","114","58","58","58"
"58","116","116","116","59","59","59"
"59","118","118","118","60","60","60"
"60","120","120","120","61","61","61"
"61","122","122","122","62","62","62"
"62","124","124","124","63","63","63"
"63","126","126","126","64","64","64"
"64","128","128","128","65","65","65"
"65","130","130","130","66","66","66"
"66","132","132","132","67","67","67"
"67","134","134","134","68","68","68"
"68","136","136","136","69","69","69"
"69","138","138","138","70","70","70"
"70","140","140","140","71","71","71"
"71","142","142","142","72","72","72"
"72","145","145","145","73","73","73"
"73","147","147","147","74","74","74"
"74","149","149","149","75","75","75"
"75","151","151","151","76","76","76"
"76","153","153","153","77","77","77"
"77","155","155","155","78","78","78"
"78","157","157","157","79","79","79"
"79","159","159","159","80","80","80"
"80","161","161","161","81","81","81"
"81","163","163","163","82","82","82"
"82","165","165","165","83","83","83"
"83","167","167","167","84","84","84"
"84","169","169","169","85","85","85"
"85","171","171","171","86","86","86"
"86","173","173","173","87","87","87"
"87","175","175","175","88","88","88"
"88","177","177","177","89","89","89"
"89","179","179","179","90","90","90"
"90","181","181","181","91","91","91"
"91","183","183","183","92","92","92"
"92","185","185","185","93","93","93"
"93","187","187","187","94","94","94"
"94","189","189","189","95","95","95"
"95","191","191","191","96","96","96"
"96","193","193","193","97","97","97"
"97","195","195","195","98","98","98"
"98","197","197","197","99","99","99"
"99","199","199","199","100","100","100"
"100","201","201","201","101","101","101"
"101","203","203","203","102","102","102"
"102","205","205","205","103","103","103"
"103","207","207","207","104","104","104"
"104","209","209","209","105","105","105"
"105","211","211","211","106","106","106"
"106","213","213","213","107","107","107"
"107","215","215","215","108","108","108"
"108","217","217","217","109","109","109"
"109","219","219","219","110","110","110"
"110","221","221","221","111","111","111"
"111","223","223","223","112","112","112"
"112","225","225","225","113","113","113"
"113","227","227","227","114","114","114"
"114","229","229","229","115","115","115"
"115","231","231","231","116","116","116"
"116","233","233","233","117","117","117"
"117","235","235","235","118","118","118"
"118","237","237","237","119","119","119"
"119","239","239","239","120","120","120"
"120","241","241","241","121","121","121"
"121","243","243","243","122","122","122"
"122","245","245","245","123","123","123"
"123","247","247","247","124","124","124"
"124","249","249","249","125","125","125"
"125","251","251","251","126","126","126"
"126","253","253","253","127","127","127"
"127","255","255","255","128","128","128"
"128","257","257","257","129","129","129"
"129","259","259","259","130","130","130"
"130","261","261","261","131","131","131"
"131","263","263","263","132","132","132"
"132","265","265","265","133","133","133"
"133","267","267","267","134","134","134"
"134","269","269","269","135","135","135"
"135","271","271","271","136","136","136"
"136","273","273","273","137","137","137"
"137","275","275","275","138","138","138"
"138","277","277","277","139","139","139"
"139","279","279","279","140","140","140"
"140","281","281","281","141","141","141"
"141","283","283","283","142","142","142"
